"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"bisque4"	TRUE	0.0188	48	86	5	0.058	0.104	"KEGG:04330"	"keg"	1	"Notch signaling pathway"	1	"ENSG00000004975,ENSG00000108773,ENSG00000159692,ENSG00000169733,ENSG00000178498"	NA
"2"	"bisque4"	TRUE	0.0124	44	86	5	0.058	0.114	"KEGG:02010"	"keg"	2	"ABC transporters"	1	"ENSG00000091262,ENSG00000107331,ENSG00000115657,ENSG00000119688,ENSG00000124574"	NA
"3"	"plum2"	TRUE	0.0134	130	97	7	0.072	0.054	"GO:0051092"	"BP"	11	"positive regulation of NF-kappaB transcription factor activity"	1	"ENSG00000115604,ENSG00000115607,ENSG00000143546,ENSG00000151651,ENSG00000163220,ENSG00000163221,ENSG00000232810"	6.87025083866856
"4"	"plum2"	TRUE	0.0455	2040	97	26	0.268	0.013	"GO:0065009"	"BP"	9	"regulation of molecular function"	1	"ENSG00000007908,ENSG00000064547,ENSG00000077984,ENSG00000103313,ENSG00000108691,ENSG00000111913,ENSG00000115604,ENSG00000115607,ENSG00000120149,ENSG00000122861,ENSG00000123975,ENSG00000125910,ENSG00000127084,ENSG00000136997,ENSG00000137642,ENSG00000143546,ENSG00000151651,ENSG00000158517,ENSG00000163220,ENSG00000163221,ENSG00000163421,ENSG00000173334,ENSG00000173535,ENSG00000182885,ENSG00000197019,ENSG00000232810"	3.34058179159684
"5"	"plum2"	TRUE	0.0302	58	97	5	0.052	0.086	"GO:0032602"	"BP"	13	"chemokine production"	1	"ENSG00000103313,ENSG00000126262,ENSG00000143546,ENSG00000163220,ENSG00000232810"	7.44405126159594
"6"	"plum2"	TRUE	0.0165	8	97	3	0.031	0.375	"GO:2000402"	"BP"	4	"negative regulation of lymphocyte migration"	1	"ENSG00000108691,ENSG00000111913,ENSG00000117115"	9.88016774721451
"7"	"plum2"	TRUE	0.000338	866	97	19	0.196	0.022	"GO:0034097"	"BP"	5	"response to cytokine"	1	"ENSG00000007908,ENSG00000081041,ENSG00000099985,ENSG00000103313,ENSG00000108691,ENSG00000111913,ENSG00000113368,ENSG00000115604,ENSG00000115607,ENSG00000117115,ENSG00000118520,ENSG00000119535,ENSG00000136689,ENSG00000136997,ENSG00000143384,ENSG00000180871,ENSG00000184557,ENSG00000185338,ENSG00000232810"	4.57544238437114
"8"	"plum2"	TRUE	0.00293	808	97	17	0.175	0.021	"GO:0071345"	"BP"	5	"cellular response to cytokine stimulus"	1	"ENSG00000081041,ENSG00000099985,ENSG00000108691,ENSG00000111913,ENSG00000113368,ENSG00000115604,ENSG00000115607,ENSG00000117115,ENSG00000118520,ENSG00000119535,ENSG00000136689,ENSG00000136997,ENSG00000143384,ENSG00000180871,ENSG00000184557,ENSG00000185338,ENSG00000232810"	4.7219338032823
"9"	"plum2"	TRUE	0.00166	687	97	16	0.165	0.023	"GO:0019221"	"BP"	5	"cytokine-mediated signaling pathway"	2	"ENSG00000081041,ENSG00000099985,ENSG00000108691,ENSG00000113368,ENSG00000115604,ENSG00000115607,ENSG00000117115,ENSG00000118520,ENSG00000119535,ENSG00000136689,ENSG00000136997,ENSG00000143384,ENSG00000180871,ENSG00000184557,ENSG00000185338,ENSG00000232810"	5.03037212109631
"10"	"plum2"	TRUE	0.000104	7282	97	66	0.68	0.009	"GO:0050896"	"BP"	1	"response to stimulus"	1	"ENSG00000007908,ENSG00000008438,ENSG00000008516,ENSG00000064547,ENSG00000076662,ENSG00000077984,ENSG00000081041,ENSG00000099985,ENSG00000101307,ENSG00000103313,ENSG00000103569,ENSG00000108691,ENSG00000111913,ENSG00000113368,ENSG00000115604,ENSG00000115607,ENSG00000116679,ENSG00000117090,ENSG00000117115,ENSG00000118308,ENSG00000118520,ENSG00000119535,ENSG00000122861,ENSG00000123405,ENSG00000124102,ENSG00000124731,ENSG00000125910,ENSG00000126262,ENSG00000126759,ENSG00000127084,ENSG00000128383,ENSG00000136689,ENSG00000136997,ENSG00000137642,ENSG00000138135,ENSG00000140379,ENSG00000140563,ENSG00000143384,ENSG00000143546,ENSG00000151651,ENSG00000155090,ENSG00000158517,ENSG00000158825,ENSG00000162747,ENSG00000163220,ENSG00000163221,ENSG00000163421,ENSG00000163464,ENSG00000163563,ENSG00000163993,ENSG00000166523,ENSG00000171236,ENSG00000173334,ENSG00000173535,ENSG00000173559,ENSG00000174010,ENSG00000180871,ENSG00000182885,ENSG00000183019,ENSG00000184557,ENSG00000185338,ENSG00000186431,ENSG00000188404,ENSG00000197769,ENSG00000232810,ENSG00000257335"	1.35563016342414
