"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"tan"	TRUE	0.0332	797	216	25	0.116	0.031	"GO:0019752"	"BP"	7	"carboxylic acid metabolic process"	1	"ENSG00000067829,ENSG00000072778,ENSG00000100983,ENSG00000101365,ENSG00000102032,ENSG00000108515,ENSG00000114021,ENSG00000122971,ENSG00000130988,ENSG00000131373,ENSG00000136877,ENSG00000137944,ENSG00000138777,ENSG00000140043,ENSG00000141959,ENSG00000145020,ENSG00000167701,ENSG00000168765,ENSG00000172053,ENSG00000180902,ENSG00000204228,ENSG00000213366,ENSG00000213722,ENSG00000241935,ENSG00000242612"	4.18451345500885
"2"	"tan"	TRUE	0.0161	436	216	18	0.083	0.041	"GO:0055114"	"BP"	9	"oxidation-reduction process"	1	"ENSG00000010256,ENSG00000072778,ENSG00000105373,ENSG00000108515,ENSG00000110717,ENSG00000122971,ENSG00000131373,ENSG00000141959,ENSG00000142082,ENSG00000143224,ENSG00000156873,ENSG00000165568,ENSG00000171298,ENSG00000180902,ENSG00000183048,ENSG00000204228,ENSG00000213619,ENSG00000242612"	4.62044271985946
"3"	"tan"	TRUE	0.00647	1644	216	42	0.194	0.026	"GO:0044281"	"BP"	5	"small molecule metabolic process"	1	"ENSG00000010256,ENSG00000039650,ENSG00000067829,ENSG00000072778,ENSG00000099624,ENSG00000100983,ENSG00000101365,ENSG00000102032,ENSG00000108515,ENSG00000110717,ENSG00000110921,ENSG00000114021,ENSG00000122971,ENSG00000128973,ENSG00000130988,ENSG00000131373,ENSG00000136877,ENSG00000137944,ENSG00000138363,ENSG00000138777,ENSG00000140043,ENSG00000141349,ENSG00000141959,ENSG00000145020,ENSG00000156873,ENSG00000167508,ENSG00000167701,ENSG00000168237,ENSG00000168765,ENSG00000171298,ENSG00000172053,ENSG00000180902,ENSG00000183048,ENSG00000186104,ENSG00000196502,ENSG00000204228,ENSG00000213366,ENSG00000213619,ENSG00000213722,ENSG00000213930,ENSG00000241935,ENSG00000242612"	3.03885756764053
"4"	"tan"	TRUE	0.048	9648	216	147	0.681	0.015	"GO:0005737"	"CC"	2	"cytoplasm"	1	"ENSG00000005206,ENSG00000006712,ENSG00000006756,ENSG00000007255,ENSG00000010256,ENSG00000044446,ENSG00000046651,ENSG00000063660,ENSG00000067829,ENSG00000072778,ENSG00000076928,ENSG00000079616,ENSG00000080573,ENSG00000087191,ENSG00000087884,ENSG00000088992,ENSG00000090097,ENSG00000099624,ENSG00000099901,ENSG00000100239,ENSG00000100299,ENSG00000100324,ENSG00000100983,ENSG00000101199,ENSG00000101365,ENSG00000102032,ENSG00000102119,ENSG00000102316,ENSG00000103197,ENSG00000104823,ENSG00000104883,ENSG00000105373,ENSG00000105612,ENSG00000105669,ENSG00000107874,ENSG00000108515,ENSG00000108784,ENSG00000109113,ENSG00000110717,ENSG00000110921,ENSG00000111671,ENSG00000113108,ENSG00000114021,ENSG00000114735,ENSG00000115073,ENSG00000115255,ENSG00000115525,ENSG00000115661,ENSG00000117262,ENSG00000117362,ENSG00000121680,ENSG00000122971,ENSG00000124713,ENSG00000125434,ENSG00000125968,ENSG00000126709,ENSG00000127452,ENSG00000127586,ENSG00000127922,ENSG00000128973,ENSG00000129535,ENSG00000130304,ENSG00000130653,ENSG00000130724,ENSG00000130762,ENSG00000130988,ENSG00000131373,ENSG00000132323,ENSG00000133661,ENSG00000135912,ENSG00000136877,ENSG00000137133,ENSG00000138363,ENSG00000138777,ENSG00000140365,ENSG00000140983,ENSG00000141349,ENSG00000141959,ENSG00000142082,ENSG00000143224,ENSG00000143486,ENSG00000145020,ENSG00000148180,ENSG00000148341,ENSG00000148832,ENSG00000149182,ENSG00000149599,ENSG00000156873,ENSG00000157379,ENSG00000159348,ENSG00000160226,ENSG00000160783,ENSG00000160948,ENSG00000161395,ENSG00000163832,ENSG00000163882,ENSG00000164062,ENSG00000164877,ENSG00000165568,ENSG00000166311,ENSG00000166333,ENSG00000167508,ENSG00000167578,ENSG00000167701,ENSG00000168237,ENSG00000168765,ENSG00000168936,ENSG00000169727,ENSG00000170037,ENSG00000171298,ENSG00000171853,ENSG00000172053,ENSG00000172500,ENSG00000173818,ENSG00000174917,ENSG00000178814,ENSG00000178982,ENSG00000180902,ENSG00000181038,ENSG00000181404,ENSG00000182154,ENSG00000182179,ENSG00000183048,ENSG00000183571,ENSG00000186104,ENSG00000187609,ENSG00000196502,ENSG00000197561,ENSG00000197858,ENSG00000197912,ENSG00000204228,ENSG00000204348,ENSG00000204435,ENSG00000204572,ENSG00000213221,ENSG00000213366,ENSG00000213619,ENSG00000213676,ENSG00000213689,ENSG00000213722,ENSG00000213930,ENSG00000213977,ENSG00000241935,ENSG00000242612,ENSG00000243477,ENSG00000248487,ENSG00000256060"	1.14744902579554
"5"	"tan"	TRUE	0.00491	8577	216	138	0.639	0.016	"GO:0044444"	"CC"	2	"cytoplasmic part"	2	"ENSG00000005206,ENSG00000006756,ENSG00000007255,ENSG00000010256,ENSG00000044446,ENSG00000046651,ENSG00000063660,ENSG00000067829,ENSG00000072778,ENSG00000076928,ENSG00000079616,ENSG00000080573,ENSG00000087191,ENSG00000088992,ENSG00000090097,ENSG00000099624,ENSG00000099901,ENSG00000100239,ENSG00000100299,ENSG00000100324,ENSG00000100983,ENSG00000101199,ENSG00000101365,ENSG00000102032,ENSG00000102119,ENSG00000102316,ENSG00000103197,ENSG00000104823,ENSG00000104883,ENSG00000105373,ENSG00000105612,ENSG00000105669,ENSG00000107874,ENSG00000108515,ENSG00000108784,ENSG00000109113,ENSG00000110717,ENSG00000110921,ENSG00000111671,ENSG00000113108,ENSG00000114021,ENSG00000114735,ENSG00000115073,ENSG00000115255,ENSG00000115525,ENSG00000115661,ENSG00000117262,ENSG00000117362,ENSG00000121680,ENSG00000122971,ENSG00000124713,ENSG00000125434,ENSG00000125968,ENSG00000126709,ENSG00000127452,ENSG00000127586,ENSG00000127922,ENSG00000128973,ENSG00000129535,ENSG00000130304,ENSG00000130653,ENSG00000130724,ENSG00000130762,ENSG00000131373,ENSG00000132323,ENSG00000133661,ENSG00000135912,ENSG00000136877,ENSG00000137133,ENSG00000138363,ENSG00000138777,ENSG00000140983,ENSG00000141349,ENSG00000141959,ENSG00000142082,ENSG00000143224,ENSG00000143486,ENSG00000145020,ENSG00000148180,ENSG00000148341,ENSG00000148832,ENSG00000149182,ENSG00000149599,ENSG00000156873,ENSG00000157379,ENSG00000159348,ENSG00000160226,ENSG00000160783,ENSG00000160948,ENSG00000161395,ENSG00000163832,ENSG00000163882,ENSG00000164062,ENSG00000164877,ENSG00000165568,ENSG00000166311,ENSG00000166333,ENSG00000167508,ENSG00000167578,ENSG00000167701,ENSG00000168237,ENSG00000168765,ENSG00000168936,ENSG00000169727,ENSG00000170037,ENSG00000171298,ENSG00000171853,ENSG00000172053,ENSG00000172500,ENSG00000174917,ENSG00000178814,ENSG00000178982,ENSG00000180902,ENSG00000181404,ENSG00000182154,ENSG00000182179,ENSG00000183048,ENSG00000183571,ENSG00000186104,ENSG00000196502,ENSG00000197561,ENSG00000197858,ENSG00000197912,ENSG00000204228,ENSG00000204348,ENSG00000204435,ENSG00000204572,ENSG00000213221,ENSG00000213366,ENSG00000213619,ENSG00000213676,ENSG00000213689,ENSG00000213722,ENSG00000213930,ENSG00000213977,ENSG00000241935,ENSG00000242612,ENSG00000256060"	1.41169016510702
"6"	"tan"	TRUE	0.0323	12325	216	177	0.819	0.014	"GO:0005622"	"CC"	8	"intracellular"	1	"ENSG00000005206,ENSG00000006712,ENSG00000006756,ENSG00000007255,ENSG00000010256,ENSG00000039650,ENSG00000044446,ENSG00000046651,ENSG00000063660,ENSG00000067829,ENSG00000072778,ENSG00000076928,ENSG00000079616,ENSG00000080573,ENSG00000083838,ENSG00000087191,ENSG00000087884,ENSG00000088992,ENSG00000090097,ENSG00000099624,ENSG00000099769,ENSG00000099840,ENSG00000099889,ENSG00000099901,ENSG00000100239,ENSG00000100299,ENSG00000100324,ENSG00000100983,ENSG00000101199,ENSG00000101365,ENSG00000101400,ENSG00000102032,ENSG00000102119,ENSG00000102316,ENSG00000103152,ENSG00000103197,ENSG00000104823,ENSG00000104883,ENSG00000105373,ENSG00000105516,ENSG00000105612,ENSG00000105669,ENSG00000107874,ENSG00000108515,ENSG00000108784,ENSG00000109113,ENSG00000110717,ENSG00000110921,ENSG00000111671,ENSG00000113108,ENSG00000114021,ENSG00000114735,ENSG00000115073,ENSG00000115255,ENSG00000115525,ENSG00000115661,ENSG00000117262,ENSG00000117362,ENSG00000119650,ENSG00000119943,ENSG00000121680,ENSG00000122971,ENSG00000124713,ENSG00000125434,ENSG00000125968,ENSG00000126709,ENSG00000127452,ENSG00000127586,ENSG00000127922,ENSG00000128973,ENSG00000129535,ENSG00000130304,ENSG00000130653,ENSG00000130724,ENSG00000130762,ENSG00000130988,ENSG00000131373,ENSG00000132017,ENSG00000132323,ENSG00000133661,ENSG00000135912,ENSG00000136059,ENSG00000136877,ENSG00000137133,ENSG00000138363,ENSG00000138777,ENSG00000140365,ENSG00000140983,ENSG00000141002,ENSG00000141349,ENSG00000141959,ENSG00000142082,ENSG00000143224,ENSG00000143486,ENSG00000145020,ENSG00000148180,ENSG00000148341,ENSG00000148832,ENSG00000149182,ENSG00000149499,ENSG00000149548,ENSG00000149599,ENSG00000156873,ENSG00000157379,ENSG00000159348,ENSG00000160226,ENSG00000160783,ENSG00000160948,ENSG00000161265,ENSG00000161395,ENSG00000162227,ENSG00000162572,ENSG00000163832,ENSG00000163882,ENSG00000164062,ENSG00000164877,ENSG00000165568,ENSG00000166311,ENSG00000166333,ENSG00000167508,ENSG00000167578,ENSG00000167701,ENSG00000168237,ENSG00000168765,ENSG00000168936,ENSG00000169727,ENSG00000170037,ENSG00000170430,ENSG00000170892,ENSG00000171298,ENSG00000171703,ENSG00000171853,ENSG00000172053,ENSG00000172500,ENSG00000173818,ENSG00000174917,ENSG00000176401,ENSG00000178814,ENSG00000178982,ENSG00000180902,ENSG00000181038,ENSG00000181404,ENSG00000182154,ENSG00000182179,ENSG00000182196,ENSG00000182944,ENSG00000183048,ENSG00000183571,ENSG00000184897,ENSG00000186104,ENSG00000187609,ENSG00000187837,ENSG00000196460,ENSG00000196502,ENSG00000197561,ENSG00000197858,ENSG00000197912,ENSG00000204228,ENSG00000204348,ENSG00000204410,ENSG00000204435,ENSG00000204572,ENSG00000213221,ENSG00000213366,ENSG00000213619,ENSG00000213676,ENSG00000213689,ENSG00000213722,ENSG00000213930,ENSG00000213977,ENSG00000215440,ENSG00000241935,ENSG00000242612,ENSG00000243477,ENSG00000248487,ENSG00000256060,ENSG00000266967"	0.535768712823952
"7"	"tan"	TRUE	0.0282	5006	216	90	0.417	0.018	"GO:0003824"	"MF"	10	"catalytic activity"	1	"ENSG00000005206,ENSG00000006756,ENSG00000010256,ENSG00000039650,ENSG00000044446,ENSG00000067829,ENSG00000072778,ENSG00000079616,ENSG00000087191,ENSG00000099624,ENSG00000100299,ENSG00000100983,ENSG00000101365,ENSG00000102032,ENSG00000103152,ENSG00000105612,ENSG00000108515,ENSG00000108784,ENSG00000110717,ENSG00000110921,ENSG00000114021,ENSG00000114735,ENSG00000115525,ENSG00000115661,ENSG00000117362,ENSG00000119943,ENSG00000122971,ENSG00000124713,ENSG00000127452,ENSG00000127586,ENSG00000130304,ENSG00000130653,ENSG00000130988,ENSG00000131373,ENSG00000135912,ENSG00000136877,ENSG00000137944,ENSG00000138363,ENSG00000138777,ENSG00000140043,ENSG00000141349,ENSG00000141959,ENSG00000142082,ENSG00000143224,ENSG00000145020,ENSG00000148832,ENSG00000149451,ENSG00000149599,ENSG00000156873,ENSG00000159348,ENSG00000161395,ENSG00000162227,ENSG00000163882,ENSG00000164062,ENSG00000165568,ENSG00000166311,ENSG00000166333,ENSG00000167508,ENSG00000167701,ENSG00000168237,ENSG00000168765,ENSG00000168936,ENSG00000170430,ENSG00000170892,ENSG00000171298,ENSG00000171853,ENSG00000172053,ENSG00000173818,ENSG00000178814,ENSG00000180902,ENSG00000182179,ENSG00000186104,ENSG00000187609,ENSG00000196502,ENSG00000197561,ENSG00000197858,ENSG00000197912,ENSG00000204228,ENSG00000204348,ENSG00000204410,ENSG00000204435,ENSG00000213366,ENSG00000213619,ENSG00000213689,ENSG00000213722,ENSG00000213930,ENSG00000241935,ENSG00000242612,ENSG00000243477,ENSG00000248487"	1.72337947088162
"8"	"tan"	TRUE	0.00897	86	93	7	0.075	0.081	"KEGG:04146"	"keg"	1	"Peroxisome"	1	"ENSG00000104823,ENSG00000104883,ENSG00000110921,ENSG00000121680,ENSG00000131373,ENSG00000148832,ENSG00000242612"	NA
"9"	"tan"	TRUE	0.00116	1297	93	34	0.366	0.026	"KEGG:01100"	"keg"	3	"Metabolic pathways"	1	"ENSG00000010256,ENSG00000067829,ENSG00000072778,ENSG00000099624,ENSG00000100983,ENSG00000101365,ENSG00000108515,ENSG00000108784,ENSG00000110717,ENSG00000110921,ENSG00000115525,ENSG00000122971,ENSG00000130988,ENSG00000136877,ENSG00000137944,ENSG00000138363,ENSG00000141349,ENSG00000141959,ENSG00000143224,ENSG00000145020,ENSG00000163882,ENSG00000166311,ENSG00000167508,ENSG00000167701,ENSG00000168237,ENSG00000171298,ENSG00000172053,ENSG00000178814,ENSG00000186104,ENSG00000197858,ENSG00000204228,ENSG00000213619,ENSG00000213930,ENSG00000241935"	NA
"10"	"tan"	TRUE	0.00141	117	93	9	0.097	0.077	"KEGG:01200"	"keg"	6	"Carbon metabolism"	1	"ENSG00000067829,ENSG00000101365,ENSG00000108515,ENSG00000122971,ENSG00000130988,ENSG00000141959,ENSG00000145020,ENSG00000167701,ENSG00000168237"	NA
