"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"brown4"	TRUE	0.000334	1297	85	33	0.388	0.025	"KEGG:01100"	"keg"	1	"Metabolic pathways"	1	"ENSG00000014919,ENSG00000066926,ENSG00000086062,ENSG00000088035,ENSG00000088305,ENSG00000102967,ENSG00000114378,ENSG00000116771,ENSG00000120915,ENSG00000136542,ENSG00000138621,ENSG00000143224,ENSG00000143811,ENSG00000144591,ENSG00000148288,ENSG00000158006,ENSG00000160194,ENSG00000160688,ENSG00000162882,ENSG00000163803,ENSG00000163864,ENSG00000169919,ENSG00000171130,ENSG00000175309,ENSG00000177465,ENSG00000178802,ENSG00000178921,ENSG00000183077,ENSG00000184154,ENSG00000185633,ENSG00000188316,ENSG00000213930,ENSG00000243708"	NA
"2"	"white"	TRUE	0.00022	15296	173	169	0.977	0.011	"GO:0008150"	"BP"	1	"biological_process"	1	"ENSG00000008988,ENSG00000011478,ENSG00000042753,ENSG00000049541,ENSG00000062582,ENSG00000063177,ENSG00000071082,ENSG00000083845,ENSG00000084207,ENSG00000088002,ENSG00000089009,ENSG00000089157,ENSG00000089248,ENSG00000089289,ENSG00000090013,ENSG00000090263,ENSG00000100129,ENSG00000100209,ENSG00000100316,ENSG00000100353,ENSG00000104408,ENSG00000105193,ENSG00000105372,ENSG00000105373,ENSG00000105640,ENSG00000106245,ENSG00000106268,ENSG00000108107,ENSG00000108298,ENSG00000109475,ENSG00000110700,ENSG00000111678,ENSG00000112306,ENSG00000112514,ENSG00000114391,ENSG00000114942,ENSG00000115268,ENSG00000116251,ENSG00000117691,ENSG00000118181,ENSG00000119185,ENSG00000122026,ENSG00000122406,ENSG00000123349,ENSG00000124172,ENSG00000124614,ENSG00000124733,ENSG00000125356,ENSG00000125691,ENSG00000125743,ENSG00000126267,ENSG00000126432,ENSG00000126756,ENSG00000127184,ENSG00000127540,ENSG00000128524,ENSG00000129559,ENSG00000130255,ENSG00000130822,ENSG00000131143,ENSG00000131469,ENSG00000131495,ENSG00000132471,ENSG00000133321,ENSG00000134419,ENSG00000134825,ENSG00000135940,ENSG00000136942,ENSG00000137054,ENSG00000137154,ENSG00000137409,ENSG00000137818,ENSG00000138326,ENSG00000142534,ENSG00000142541,ENSG00000142676,ENSG00000142937,ENSG00000142945,ENSG00000143125,ENSG00000143198,ENSG00000143575,ENSG00000143947,ENSG00000144648,ENSG00000144713,ENSG00000145425,ENSG00000145592,ENSG00000145912,ENSG00000147123,ENSG00000147403,ENSG00000147604,ENSG00000147677,ENSG00000147684,ENSG00000148303,ENSG00000149273,ENSG00000149806,ENSG00000150779,ENSG00000156411,ENSG00000156482,ENSG00000156508,ENSG00000156795,ENSG00000161016,ENSG00000161970,ENSG00000162188,ENSG00000162244,ENSG00000163682,ENSG00000163923,ENSG00000164346,ENSG00000164405,ENSG00000164587,ENSG00000164978,ENSG00000165526,ENSG00000166441,ENSG00000166557,ENSG00000167526,ENSG00000167658,ENSG00000168028,ENSG00000169900,ENSG00000169976,ENSG00000170276,ENSG00000170296,ENSG00000170430,ENSG00000171858,ENSG00000171863,ENSG00000172809,ENSG00000173660,ENSG00000174444,ENSG00000174748,ENSG00000175197,ENSG00000175390,ENSG00000177556,ENSG00000177600,ENSG00000177954,ENSG00000178982,ENSG00000181218,ENSG00000182004,ENSG00000182899,ENSG00000183011,ENSG00000183617,ENSG00000184076,ENSG00000185940,ENSG00000186010,ENSG00000188186,ENSG00000188846,ENSG00000196465,ENSG00000196531,ENSG00000196683,ENSG00000197756,ENSG00000197958,ENSG00000198034,ENSG00000198242,ENSG00000198258,ENSG00000198755,ENSG00000198840,ENSG00000198918,ENSG00000204352,ENSG00000204628,ENSG00000205544,ENSG00000213741,ENSG00000214253,ENSG00000221983,ENSG00000228474,ENSG00000229117,ENSG00000229833,ENSG00000231500,ENSG00000233927,ENSG00000241343,ENSG00000241468,ENSG00000254772,ENSG00000265681"	0
"3"	"white"	TRUE	1.3e-17	9371	173	149	0.861	0.016	"GO:0008152"	"BP"	1	"metabolic process"	2	"ENSG00000008988,ENSG00000011478,ENSG00000042753,ENSG00000049541,ENSG00000062582,ENSG00000063177,ENSG00000071082,ENSG00000083845,ENSG00000084207,ENSG00000088002,ENSG00000089009,ENSG00000089157,ENSG00000089248,ENSG00000089289,ENSG00000090013,ENSG00000090263,ENSG00000100129,ENSG00000100209,ENSG00000100316,ENSG00000100353,ENSG00000104408,ENSG00000105193,ENSG00000105372,ENSG00000105373,ENSG00000105640,ENSG00000106245,ENSG00000106268,ENSG00000108107,ENSG00000108298,ENSG00000109475,ENSG00000110700,ENSG00000112306,ENSG00000114391,ENSG00000114942,ENSG00000115268,ENSG00000116251,ENSG00000118181,ENSG00000119185,ENSG00000122026,ENSG00000122406,ENSG00000123349,ENSG00000124172,ENSG00000124614,ENSG00000125356,ENSG00000125691,ENSG00000125743,ENSG00000126432,ENSG00000126756,ENSG00000127184,ENSG00000127540,ENSG00000129559,ENSG00000130255,ENSG00000130822,ENSG00000131143,ENSG00000131469,ENSG00000131495,ENSG00000132471,ENSG00000133321,ENSG00000134419,ENSG00000134825,ENSG00000135940,ENSG00000136942,ENSG00000137054,ENSG00000137154,ENSG00000137409,ENSG00000137818,ENSG00000138326,ENSG00000142534,ENSG00000142541,ENSG00000142676,ENSG00000142937,ENSG00000143125,ENSG00000143198,ENSG00000143575,ENSG00000143947,ENSG00000144713,ENSG00000145425,ENSG00000145592,ENSG00000145912,ENSG00000147403,ENSG00000147604,ENSG00000147677,ENSG00000147684,ENSG00000148303,ENSG00000149273,ENSG00000149806,ENSG00000156482,ENSG00000156508,ENSG00000156795,ENSG00000161016,ENSG00000161970,ENSG00000162188,ENSG00000162244,ENSG00000163682,ENSG00000163923,ENSG00000164346,ENSG00000164405,ENSG00000164587,ENSG00000164978,ENSG00000165526,ENSG00000166441,ENSG00000167526,ENSG00000167658,ENSG00000168028,ENSG00000169900,ENSG00000169976,ENSG00000170296,ENSG00000170430,ENSG00000171858,ENSG00000171863,ENSG00000172809,ENSG00000173660,ENSG00000174444,ENSG00000174748,ENSG00000175197,ENSG00000175390,ENSG00000177600,ENSG00000177954,ENSG00000178982,ENSG00000181218,ENSG00000182004,ENSG00000182899,ENSG00000183617,ENSG00000184076,ENSG00000186010,ENSG00000188186,ENSG00000188846,ENSG00000196531,ENSG00000196683,ENSG00000197756,ENSG00000197958,ENSG00000198034,ENSG00000198242,ENSG00000198258,ENSG00000198755,ENSG00000198840,ENSG00000198918,ENSG00000204628,ENSG00000213741,ENSG00000214253,ENSG00000221983,ENSG00000228474,ENSG00000229117,ENSG00000231500,ENSG00000233927,ENSG00000241343,ENSG00000241468,ENSG00000254772,ENSG00000265681"	1.10347152361181
"4"	"white"	TRUE	5.25e-18	8550	173	143	0.827	0.017	"GO:0044238"	"BP"	1	"primary metabolic process"	3	"ENSG00000008988,ENSG00000011478,ENSG00000042753,ENSG00000049541,ENSG00000062582,ENSG00000063177,ENSG00000071082,ENSG00000083845,ENSG00000084207,ENSG00000088002,ENSG00000089009,ENSG00000089157,ENSG00000089248,ENSG00000089289,ENSG00000090263,ENSG00000100129,ENSG00000100316,ENSG00000100353,ENSG00000104408,ENSG00000105193,ENSG00000105372,ENSG00000105373,ENSG00000105640,ENSG00000106245,ENSG00000106268,ENSG00000108107,ENSG00000108298,ENSG00000109475,ENSG00000110700,ENSG00000112306,ENSG00000114391,ENSG00000114942,ENSG00000115268,ENSG00000116251,ENSG00000118181,ENSG00000119185,ENSG00000122026,ENSG00000122406,ENSG00000123349,ENSG00000124172,ENSG00000124614,ENSG00000125356,ENSG00000125691,ENSG00000125743,ENSG00000126432,ENSG00000126756,ENSG00000127184,ENSG00000129559,ENSG00000130255,ENSG00000130822,ENSG00000131143,ENSG00000131469,ENSG00000131495,ENSG00000132471,ENSG00000133321,ENSG00000134419,ENSG00000134825,ENSG00000135940,ENSG00000136942,ENSG00000137054,ENSG00000137154,ENSG00000137409,ENSG00000137818,ENSG00000138326,ENSG00000142534,ENSG00000142541,ENSG00000142676,ENSG00000142937,ENSG00000143125,ENSG00000143198,ENSG00000143575,ENSG00000143947,ENSG00000144713,ENSG00000145425,ENSG00000145592,ENSG00000145912,ENSG00000147403,ENSG00000147604,ENSG00000147677,ENSG00000147684,ENSG00000148303,ENSG00000149273,ENSG00000149806,ENSG00000156482,ENSG00000156508,ENSG00000156795,ENSG00000161016,ENSG00000161970,ENSG00000162188,ENSG00000162244,ENSG00000163682,ENSG00000163923,ENSG00000164346,ENSG00000164405,ENSG00000164587,ENSG00000164978,ENSG00000165526,ENSG00000166441,ENSG00000167526,ENSG00000167658,ENSG00000168028,ENSG00000169900,ENSG00000169976,ENSG00000170430,ENSG00000171858,ENSG00000171863,ENSG00000172809,ENSG00000173660,ENSG00000174444,ENSG00000174748,ENSG00000175197,ENSG00000175390,ENSG00000177600,ENSG00000177954,ENSG00000178982,ENSG00000181218,ENSG00000182004,ENSG00000182899,ENSG00000183617,ENSG00000184076,ENSG00000186010,ENSG00000188846,ENSG00000196531,ENSG00000197756,ENSG00000197958,ENSG00000198034,ENSG00000198242,ENSG00000198258,ENSG00000198755,ENSG00000198840,ENSG00000198918,ENSG00000204628,ENSG00000213741,ENSG00000214253,ENSG00000221983,ENSG00000228474,ENSG00000229117,ENSG00000231500,ENSG00000233927,ENSG00000241343,ENSG00000241468,ENSG00000254772,ENSG00000265681"	1.36698257719581
"5"	"white"	TRUE	3.86e-21	8164	173	144	0.832	0.018	"GO:0006807"	"BP"	1	"nitrogen compound metabolic process"	3	"ENSG00000008988,ENSG00000011478,ENSG00000042753,ENSG00000049541,ENSG00000062582,ENSG00000063177,ENSG00000071082,ENSG00000083845,ENSG00000084207,ENSG00000088002,ENSG00000089009,ENSG00000089157,ENSG00000089248,ENSG00000089289,ENSG00000090013,ENSG00000090263,ENSG00000100129,ENSG00000100316,ENSG00000100353,ENSG00000104408,ENSG00000105193,ENSG00000105372,ENSG00000105373,ENSG00000105640,ENSG00000106245,ENSG00000106268,ENSG00000108107,ENSG00000108298,ENSG00000109475,ENSG00000110700,ENSG00000112306,ENSG00000114391,ENSG00000114942,ENSG00000115268,ENSG00000116251,ENSG00000118181,ENSG00000119185,ENSG00000122026,ENSG00000122406,ENSG00000123349,ENSG00000124172,ENSG00000124614,ENSG00000125356,ENSG00000125691,ENSG00000125743,ENSG00000126432,ENSG00000126756,ENSG00000127184,ENSG00000129559,ENSG00000130255,ENSG00000130822,ENSG00000131143,ENSG00000131469,ENSG00000131495,ENSG00000132471,ENSG00000133321,ENSG00000134419,ENSG00000134825,ENSG00000135940,ENSG00000136942,ENSG00000137054,ENSG00000137154,ENSG00000137409,ENSG00000137818,ENSG00000138326,ENSG00000142534,ENSG00000142541,ENSG00000142676,ENSG00000142937,ENSG00000143125,ENSG00000143198,ENSG00000143575,ENSG00000143947,ENSG00000144713,ENSG00000145425,ENSG00000145592,ENSG00000145912,ENSG00000147403,ENSG00000147604,ENSG00000147677,ENSG00000147684,ENSG00000148303,ENSG00000149273,ENSG00000149806,ENSG00000156482,ENSG00000156508,ENSG00000156795,ENSG00000161016,ENSG00000161970,ENSG00000162188,ENSG00000162244,ENSG00000163682,ENSG00000163923,ENSG00000164346,ENSG00000164405,ENSG00000164587,ENSG00000164978,ENSG00000165526,ENSG00000166441,ENSG00000167526,ENSG00000167658,ENSG00000168028,ENSG00000169900,ENSG00000169976,ENSG00000170430,ENSG00000171858,ENSG00000171863,ENSG00000172809,ENSG00000173660,ENSG00000174444,ENSG00000174748,ENSG00000175197,ENSG00000175390,ENSG00000177600,ENSG00000177954,ENSG00000178982,ENSG00000181218,ENSG00000182004,ENSG00000182899,ENSG00000183617,ENSG00000184076,ENSG00000186010,ENSG00000188846,ENSG00000196531,ENSG00000197756,ENSG00000197958,ENSG00000198034,ENSG00000198242,ENSG00000198258,ENSG00000198755,ENSG00000198840,ENSG00000198918,ENSG00000204628,ENSG00000213741,ENSG00000214253,ENSG00000221983,ENSG00000228474,ENSG00000229117,ENSG00000231500,ENSG00000233927,ENSG00000241343,ENSG00000241468,ENSG00000254772,ENSG00000265681"	1.93420756307389
"6"	"white"	TRUE	4.16e-36	1991	173	89	0.514	0.045	"GO:0009056"	"BP"	1	"catabolic process"	3	"ENSG00000008988,ENSG00000042753,ENSG00000063177,ENSG00000071082,ENSG00000083845,ENSG00000089009,ENSG00000089157,ENSG00000090013,ENSG00000100316,ENSG00000104408,ENSG00000105193,ENSG00000105372,ENSG00000105373,ENSG00000105640,ENSG00000106268,ENSG00000108107,ENSG00000108298,ENSG00000109475,ENSG00000110700,ENSG00000112306,ENSG00000114391,ENSG00000115268,ENSG00000116251,ENSG00000118181,ENSG00000122026,ENSG00000122406,ENSG00000124614,ENSG00000125691,ENSG00000129559,ENSG00000130255,ENSG00000131469,ENSG00000134419,ENSG00000136942,ENSG00000137154,ENSG00000137818,ENSG00000138326,ENSG00000142534,ENSG00000142541,ENSG00000142676,ENSG00000142937,ENSG00000143575,ENSG00000143947,ENSG00000144713,ENSG00000145425,ENSG00000145592,ENSG00000147403,ENSG00000147604,ENSG00000148303,ENSG00000149273,ENSG00000149806,ENSG00000156482,ENSG00000156508,ENSG00000161016,ENSG00000161970,ENSG00000162244,ENSG00000163682,ENSG00000164587,ENSG00000166441,ENSG00000167526,ENSG00000168028,ENSG00000170296,ENSG00000171858,ENSG00000171863,ENSG00000172809,ENSG00000174444,ENSG00000174748,ENSG00000175197,ENSG00000177600,ENSG00000177954,ENSG00000182899,ENSG00000186010,ENSG00000188186,ENSG00000188846,ENSG00000196683,ENSG00000197756,ENSG00000197958,ENSG00000198034,ENSG00000198242,ENSG00000198755,ENSG00000198918,ENSG00000204628,ENSG00000213741,ENSG00000214253,ENSG00000221983,ENSG00000229117,ENSG00000231500,ENSG00000233927,ENSG00000241343,ENSG00000265681"	3.57415318246847
"7"	"white"	TRUE	7.09e-16	9043	173	144	0.832	0.016	"GO:0071704"	"BP"	1	"organic substance metabolic process"	3	"ENSG00000008988,ENSG00000011478,ENSG00000042753,ENSG00000049541,ENSG00000062582,ENSG00000063177,ENSG00000071082,ENSG00000083845,ENSG00000084207,ENSG00000088002,ENSG00000089009,ENSG00000089157,ENSG00000089248,ENSG00000089289,ENSG00000090013,ENSG00000090263,ENSG00000100129,ENSG00000100316,ENSG00000100353,ENSG00000104408,ENSG00000105193,ENSG00000105372,ENSG00000105373,ENSG00000105640,ENSG00000106245,ENSG00000106268,ENSG00000108107,ENSG00000108298,ENSG00000109475,ENSG00000110700,ENSG00000112306,ENSG00000114391,ENSG00000114942,ENSG00000115268,ENSG00000116251,ENSG00000118181,ENSG00000119185,ENSG00000122026,ENSG00000122406,ENSG00000123349,ENSG00000124172,ENSG00000124614,ENSG00000125356,ENSG00000125691,ENSG00000125743,ENSG00000126432,ENSG00000126756,ENSG00000127184,ENSG00000129559,ENSG00000130255,ENSG00000130822,ENSG00000131143,ENSG00000131469,ENSG00000131495,ENSG00000132471,ENSG00000133321,ENSG00000134419,ENSG00000134825,ENSG00000135940,ENSG00000136942,ENSG00000137054,ENSG00000137154,ENSG00000137409,ENSG00000137818,ENSG00000138326,ENSG00000142534,ENSG00000142541,ENSG00000142676,ENSG00000142937,ENSG00000143125,ENSG00000143198,ENSG00000143575,ENSG00000143947,ENSG00000144713,ENSG00000145425,ENSG00000145592,ENSG00000145912,ENSG00000147403,ENSG00000147604,ENSG00000147677,ENSG00000147684,ENSG00000148303,ENSG00000149273,ENSG00000149806,ENSG00000156482,ENSG00000156508,ENSG00000156795,ENSG00000161016,ENSG00000161970,ENSG00000162188,ENSG00000162244,ENSG00000163682,ENSG00000163923,ENSG00000164346,ENSG00000164405,ENSG00000164587,ENSG00000164978,ENSG00000165526,ENSG00000166441,ENSG00000167526,ENSG00000167658,ENSG00000168028,ENSG00000169900,ENSG00000169976,ENSG00000170430,ENSG00000171858,ENSG00000171863,ENSG00000172809,ENSG00000173660,ENSG00000174444,ENSG00000174748,ENSG00000175197,ENSG00000175390,ENSG00000177600,ENSG00000177954,ENSG00000178982,ENSG00000181218,ENSG00000182004,ENSG00000182899,ENSG00000183617,ENSG00000184076,ENSG00000186010,ENSG00000188846,ENSG00000196531,ENSG00000197756,ENSG00000197958,ENSG00000198034,ENSG00000198242,ENSG00000198258,ENSG00000198755,ENSG00000198840,ENSG00000198918,ENSG00000204628,ENSG00000213741,ENSG00000214253,ENSG00000221983,ENSG00000228474,ENSG00000229117,ENSG00000231500,ENSG00000233927,ENSG00000241343,ENSG00000241468,ENSG00000254772,ENSG00000265681"	1.26232799050953
"8"	"white"	TRUE	1.08e-29	5620	173	131	0.757	0.023	"GO:1901564"	"BP"	1	"organonitrogen compound metabolic process"	4	"ENSG00000008988,ENSG00000011478,ENSG00000042753,ENSG00000062582,ENSG00000063177,ENSG00000071082,ENSG00000083845,ENSG00000084207,ENSG00000088002,ENSG00000089009,ENSG00000089157,ENSG00000089248,ENSG00000089289,ENSG00000090013,ENSG00000090263,ENSG00000100129,ENSG00000100316,ENSG00000100353,ENSG00000104408,ENSG00000105193,ENSG00000105372,ENSG00000105373,ENSG00000105640,ENSG00000106268,ENSG00000108107,ENSG00000108298,ENSG00000109475,ENSG00000110700,ENSG00000112306,ENSG00000114391,ENSG00000114942,ENSG00000115268,ENSG00000116251,ENSG00000118181,ENSG00000119185,ENSG00000122026,ENSG00000122406,ENSG00000124172,ENSG00000124614,ENSG00000125356,ENSG00000125691,ENSG00000127184,ENSG00000129559,ENSG00000130255,ENSG00000130822,ENSG00000131143,ENSG00000131469,ENSG00000131495,ENSG00000132471,ENSG00000133321,ENSG00000134419,ENSG00000134825,ENSG00000135940,ENSG00000136942,ENSG00000137154,ENSG00000137409,ENSG00000137818,ENSG00000138326,ENSG00000142534,ENSG00000142541,ENSG00000142676,ENSG00000142937,ENSG00000143125,ENSG00000143198,ENSG00000143575,ENSG00000143947,ENSG00000144713,ENSG00000145425,ENSG00000145592,ENSG00000145912,ENSG00000147403,ENSG00000147604,ENSG00000147677,ENSG00000147684,ENSG00000148303,ENSG00000149273,ENSG00000149806,ENSG00000156482,ENSG00000156508,ENSG00000156795,ENSG00000161016,ENSG00000161970,ENSG00000162188,ENSG00000162244,ENSG00000163682,ENSG00000163923,ENSG00000164405,ENSG00000164587,ENSG00000165526,ENSG00000166441,ENSG00000167526,ENSG00000167658,ENSG00000168028,ENSG00000169900,ENSG00000171858,ENSG00000171863,ENSG00000172809,ENSG00000173660,ENSG00000174444,ENSG00000174748,ENSG00000175197,ENSG00000175390,ENSG00000177600,ENSG00000177954,ENSG00000178982,ENSG00000182899,ENSG00000183617,ENSG00000184076,ENSG00000186010,ENSG00000188846,ENSG00000196531,ENSG00000197756,ENSG00000197958,ENSG00000198034,ENSG00000198242,ENSG00000198258,ENSG00000198755,ENSG00000198840,ENSG00000198918,ENSG00000204628,ENSG00000213741,ENSG00000214253,ENSG00000221983,ENSG00000228474,ENSG00000229117,ENSG00000231500,ENSG00000233927,ENSG00000241343,ENSG00000241468,ENSG00000254772,ENSG00000265681"	3.29478458047481
"9"	"white"	TRUE	6.11e-38	1639	173	84	0.486	0.051	"GO:1901575"	"BP"	1	"organic substance catabolic process"	4	"ENSG00000008988,ENSG00000042753,ENSG00000063177,ENSG00000071082,ENSG00000083845,ENSG00000089009,ENSG00000089157,ENSG00000090013,ENSG00000100316,ENSG00000104408,ENSG00000105193,ENSG00000105372,ENSG00000105373,ENSG00000105640,ENSG00000106268,ENSG00000108107,ENSG00000108298,ENSG00000109475,ENSG00000110700,ENSG00000112306,ENSG00000114391,ENSG00000115268,ENSG00000116251,ENSG00000118181,ENSG00000122026,ENSG00000122406,ENSG00000124614,ENSG00000125691,ENSG00000129559,ENSG00000130255,ENSG00000131469,ENSG00000134419,ENSG00000136942,ENSG00000137154,ENSG00000137818,ENSG00000138326,ENSG00000142534,ENSG00000142541,ENSG00000142676,ENSG00000142937,ENSG00000143947,ENSG00000144713,ENSG00000145425,ENSG00000145592,ENSG00000147403,ENSG00000147604,ENSG00000148303,ENSG00000149273,ENSG00000149806,ENSG00000156482,ENSG00000156508,ENSG00000161016,ENSG00000161970,ENSG00000162244,ENSG00000163682,ENSG00000164587,ENSG00000166441,ENSG00000167526,ENSG00000168028,ENSG00000171858,ENSG00000171863,ENSG00000172809,ENSG00000174444,ENSG00000174748,ENSG00000175197,ENSG00000177600,ENSG00000177954,ENSG00000182899,ENSG00000186010,ENSG00000188846,ENSG00000197756,ENSG00000197958,ENSG00000198034,ENSG00000198242,ENSG00000198755,ENSG00000198918,ENSG00000204628,ENSG00000213741,ENSG00000221983,ENSG00000229117,ENSG00000231500,ENSG00000233927,ENSG00000241343,ENSG00000265681"	3.8077817577543
"10"	"white"	TRUE	1.89e-13	7540	173	127	0.734	0.017	"GO:0043170"	"BP"	1	"macromolecule metabolic process"	4	"ENSG00000008988,ENSG00000011478,ENSG00000042753,ENSG00000049541,ENSG00000062582,ENSG00000063177,ENSG00000071082,ENSG00000083845,ENSG00000084207,ENSG00000089009,ENSG00000089157,ENSG00000089248,ENSG00000089289,ENSG00000090263,ENSG00000100129,ENSG00000100316,ENSG00000100353,ENSG00000104408,ENSG00000105193,ENSG00000105372,ENSG00000105373,ENSG00000105640,ENSG00000106245,ENSG00000106268,ENSG00000108107,ENSG00000108298,ENSG00000109475,ENSG00000110700,ENSG00000112306,ENSG00000114391,ENSG00000114942,ENSG00000115268,ENSG00000116251,ENSG00000118181,ENSG00000119185,ENSG00000122026,ENSG00000122406,ENSG00000123349,ENSG00000124614,ENSG00000125691,ENSG00000125743,ENSG00000126432,ENSG00000126756,ENSG00000129559,ENSG00000130255,ENSG00000130822,ENSG00000131469,ENSG00000132471,ENSG00000134419,ENSG00000134825,ENSG00000136942,ENSG00000137054,ENSG00000137154,ENSG00000137409,ENSG00000137818,ENSG00000138326,ENSG00000142534,ENSG00000142541,ENSG00000142676,ENSG00000142937,ENSG00000143125,ENSG00000143575,ENSG00000143947,ENSG00000144713,ENSG00000145425,ENSG00000145592,ENSG00000145912,ENSG00000147403,ENSG00000147604,ENSG00000147677,ENSG00000148303,ENSG00000149273,ENSG00000149806,ENSG00000156482,ENSG00000156508,ENSG00000156795,ENSG00000161016,ENSG00000161970,ENSG00000162188,ENSG00000162244,ENSG00000163682,ENSG00000163923,ENSG00000164346,ENSG00000164587,ENSG00000165526,ENSG00000166441,ENSG00000167526,ENSG00000167658,ENSG00000168028,ENSG00000169900,ENSG00000169976,ENSG00000170430,ENSG00000171858,ENSG00000171863,ENSG00000172809,ENSG00000174444,ENSG00000174748,ENSG00000175197,ENSG00000175390,ENSG00000177600,ENSG00000177954,ENSG00000178982,ENSG00000181218,ENSG00000182004,ENSG00000182899,ENSG00000183617,ENSG00000186010,ENSG00000188846,ENSG00000196531,ENSG00000197756,ENSG00000197958,ENSG00000198034,ENSG00000198242,ENSG00000198258,ENSG00000198755,ENSG00000198918,ENSG00000204628,ENSG00000213741,ENSG00000214253,ENSG00000221983,ENSG00000228474,ENSG00000229117,ENSG00000231500,ENSG00000233927,ENSG00000241343,ENSG00000254772,ENSG00000265681"	1.48452897992254
