"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"red"	TRUE	0.00217	320	394	23	0.058	0.072	"GO:0060322"	"BP"	2	"head development"	1	"ENSG00000043355,ENSG00000079432,ENSG00000099284,ENSG00000102678,ENSG00000102924,ENSG00000108515,ENSG00000112139,ENSG00000116035,ENSG00000135333,ENSG00000136848,ENSG00000138162,ENSG00000152208,ENSG00000152977,ENSG00000157933,ENSG00000161509,ENSG00000162992,ENSG00000165186,ENSG00000171316,ENSG00000171532,ENSG00000171943,ENSG00000182580,ENSG00000185920,ENSG00000196576"	4.77943061842107
"2"	"red"	TRUE	0.000134	1403	394	63	0.16	0.045	"GO:0007399"	"BP"	2	"nervous system development"	1	"ENSG00000003393,ENSG00000006468,ENSG00000008710,ENSG00000009694,ENSG00000021645,ENSG00000043355,ENSG00000058404,ENSG00000070182,ENSG00000077782,ENSG00000079432,ENSG00000099284,ENSG00000099365,ENSG00000100987,ENSG00000102678,ENSG00000102924,ENSG00000106341,ENSG00000108515,ENSG00000110076,ENSG00000112139,ENSG00000116035,ENSG00000119401,ENSG00000120254,ENSG00000125966,ENSG00000132872,ENSG00000134115,ENSG00000135124,ENSG00000135333,ENSG00000135407,ENSG00000136531,ENSG00000136848,ENSG00000138162,ENSG00000138675,ENSG00000139767,ENSG00000141738,ENSG00000143858,ENSG00000147894,ENSG00000152208,ENSG00000152214,ENSG00000152977,ENSG00000155760,ENSG00000156299,ENSG00000157933,ENSG00000161509,ENSG00000162065,ENSG00000162494,ENSG00000162992,ENSG00000165186,ENSG00000165617,ENSG00000166886,ENSG00000167281,ENSG00000171316,ENSG00000171532,ENSG00000171943,ENSG00000173404,ENSG00000182580,ENSG00000185920,ENSG00000188730,ENSG00000188779,ENSG00000196576,ENSG00000242419,ENSG00000251664,ENSG00000253731,ENSG00000257923"	3.30888470485359
"3"	"red"	TRUE	0.0282	454	394	26	0.066	0.057	"GO:0007417"	"BP"	2	"central nervous system development"	2	"ENSG00000008710,ENSG00000043355,ENSG00000079432,ENSG00000099284,ENSG00000102678,ENSG00000102924,ENSG00000106341,ENSG00000108515,ENSG00000112139,ENSG00000116035,ENSG00000134115,ENSG00000135333,ENSG00000136848,ENSG00000138162,ENSG00000152208,ENSG00000152977,ENSG00000157933,ENSG00000161509,ENSG00000162992,ENSG00000165186,ENSG00000171316,ENSG00000171532,ENSG00000171943,ENSG00000182580,ENSG00000185920,ENSG00000196576"	4.47556172443583
"4"	"red"	TRUE	0.00302	302	394	22	0.056	0.073	"GO:0007420"	"BP"	2	"brain development"	1	"ENSG00000043355,ENSG00000079432,ENSG00000099284,ENSG00000102678,ENSG00000102924,ENSG00000108515,ENSG00000112139,ENSG00000116035,ENSG00000135333,ENSG00000136848,ENSG00000138162,ENSG00000152208,ENSG00000152977,ENSG00000157933,ENSG00000161509,ENSG00000162992,ENSG00000165186,ENSG00000171532,ENSG00000171943,ENSG00000182580,ENSG00000185920,ENSG00000196576"	4.83582139577594
"5"	"red"	TRUE	0.00374	406	394	26	0.066	0.064	"GO:0022803"	"MF"	1	"passive transmembrane transporter activity"	1	"ENSG00000006283,ENSG00000007402,ENSG00000008710,ENSG00000055118,ENSG00000102057,ENSG00000111262,ENSG00000129159,ENSG00000130054,ENSG00000131398,ENSG00000135124,ENSG00000135502,ENSG00000136295,ENSG00000136531,ENSG00000138741,ENSG00000141837,ENSG00000143630,ENSG00000156026,ENSG00000161509,ENSG00000162494,ENSG00000164418,ENSG00000165269,ENSG00000169427,ENSG00000171365,ENSG00000184185,ENSG00000184408,ENSG00000186510"	4.20994554806003
"6"	"red"	TRUE	0.00357	405	394	26	0.066	0.064	"GO:0015267"	"MF"	1	"channel activity"	2	"ENSG00000006283,ENSG00000007402,ENSG00000008710,ENSG00000055118,ENSG00000102057,ENSG00000111262,ENSG00000129159,ENSG00000130054,ENSG00000131398,ENSG00000135124,ENSG00000135502,ENSG00000136295,ENSG00000136531,ENSG00000138741,ENSG00000141837,ENSG00000143630,ENSG00000156026,ENSG00000161509,ENSG00000162494,ENSG00000164418,ENSG00000165269,ENSG00000169427,ENSG00000171365,ENSG00000184185,ENSG00000184408,ENSG00000186510"	4.20994554806003
"7"	"red"	TRUE	0.014	258	394	19	0.048	0.074	"GO:0022836"	"MF"	1	"gated channel activity"	3	"ENSG00000006283,ENSG00000007402,ENSG00000055118,ENSG00000102057,ENSG00000111262,ENSG00000129159,ENSG00000130054,ENSG00000131398,ENSG00000135124,ENSG00000136295,ENSG00000141837,ENSG00000143630,ENSG00000161509,ENSG00000162494,ENSG00000164418,ENSG00000171365,ENSG00000184185,ENSG00000184408,ENSG00000186510"	4.6343461331704
"8"	"red"	TRUE	0.002	144	394	15	0.038	0.104	"GO:0022832"	"MF"	1	"voltage-gated channel activity"	4	"ENSG00000006283,ENSG00000007402,ENSG00000055118,ENSG00000102057,ENSG00000111262,ENSG00000129159,ENSG00000131398,ENSG00000141837,ENSG00000143630,ENSG00000161509,ENSG00000162494,ENSG00000171365,ENSG00000184185,ENSG00000184408,ENSG00000186510"	5.26834564122765
"9"	"red"	TRUE	0.0125	256	394	19	0.048	0.074	"GO:0022839"	"MF"	1	"ion gated channel activity"	4	"ENSG00000006283,ENSG00000007402,ENSG00000055118,ENSG00000102057,ENSG00000111262,ENSG00000129159,ENSG00000130054,ENSG00000131398,ENSG00000135124,ENSG00000136295,ENSG00000141837,ENSG00000143630,ENSG00000161509,ENSG00000162494,ENSG00000164418,ENSG00000171365,ENSG00000184185,ENSG00000184408,ENSG00000186510"	6.98841318199959
"10"	"red"	TRUE	0.002	144	394	15	0.038	0.104	"GO:0005244"	"MF"	1	"voltage-gated ion channel activity"	5	"ENSG00000006283,ENSG00000007402,ENSG00000055118,ENSG00000102057,ENSG00000111262,ENSG00000129159,ENSG00000131398,ENSG00000141837,ENSG00000143630,ENSG00000161509,ENSG00000162494,ENSG00000171365,ENSG00000184185,ENSG00000184408,ENSG00000186510"	5.26834564122765
"11"	"red"	TRUE	0.00151	387	394	26	0.066	0.067	"GO:0022838"	"MF"	1	"substrate-specific channel activity"	3	"ENSG00000006283,ENSG00000007402,ENSG00000008710,ENSG00000055118,ENSG00000102057,ENSG00000111262,ENSG00000129159,ENSG00000130054,ENSG00000131398,ENSG00000135124,ENSG00000135502,ENSG00000136295,ENSG00000136531,ENSG00000138741,ENSG00000141837,ENSG00000143630,ENSG00000156026,ENSG00000161509,ENSG00000162494,ENSG00000164418,ENSG00000165269,ENSG00000169427,ENSG00000171365,ENSG00000184185,ENSG00000184408,ENSG00000186510"	4.28036298089738
"12"	"red"	TRUE	0.0297	540	394	29	0.074	0.054	"GO:0022890"	"MF"	1	"inorganic cation transmembrane transporter activity"	1	"ENSG00000006283,ENSG00000007402,ENSG00000008710,ENSG00000055118,ENSG00000066230,ENSG00000074370,ENSG00000074803,ENSG00000102057,ENSG00000105143,ENSG00000111262,ENSG00000116039,ENSG00000118160,ENSG00000123643,ENSG00000129159,ENSG00000130054,ENSG00000131398,ENSG00000135124,ENSG00000136531,ENSG00000138741,ENSG00000139540,ENSG00000141837,ENSG00000143630,ENSG00000156026,ENSG00000161509,ENSG00000162494,ENSG00000164418,ENSG00000169427,ENSG00000184185,ENSG00000184408"	4.25674472954917
"13"	"red"	TRUE	0.00129	409	394	27	0.069	0.066	"GO:0046873"	"MF"	1	"metal ion transmembrane transporter activity"	2	"ENSG00000006283,ENSG00000007402,ENSG00000008710,ENSG00000055118,ENSG00000066230,ENSG00000074370,ENSG00000074803,ENSG00000102057,ENSG00000105143,ENSG00000111262,ENSG00000118160,ENSG00000129159,ENSG00000130054,ENSG00000131398,ENSG00000135124,ENSG00000136531,ENSG00000138741,ENSG00000139540,ENSG00000141837,ENSG00000143630,ENSG00000156026,ENSG00000161509,ENSG00000162494,ENSG00000164418,ENSG00000169427,ENSG00000184185,ENSG00000184408"	4.4351427894022
"14"	"red"	TRUE	0.00289	375	394	25	0.063	0.067	"GO:0005216"	"MF"	1	"ion channel activity"	1	"ENSG00000006283,ENSG00000007402,ENSG00000008710,ENSG00000055118,ENSG00000102057,ENSG00000111262,ENSG00000129159,ENSG00000130054,ENSG00000131398,ENSG00000135124,ENSG00000135502,ENSG00000136295,ENSG00000136531,ENSG00000138741,ENSG00000141837,ENSG00000143630,ENSG00000156026,ENSG00000161509,ENSG00000162494,ENSG00000164418,ENSG00000169427,ENSG00000171365,ENSG00000184185,ENSG00000184408,ENSG00000186510"	4.30326474518407
"15"	"red"	TRUE	0.00809	296	394	21	0.053	0.071	"GO:0005261"	"MF"	1	"cation channel activity"	2	"ENSG00000006283,ENSG00000007402,ENSG00000008710,ENSG00000055118,ENSG00000102057,ENSG00000111262,ENSG00000129159,ENSG00000130054,ENSG00000131398,ENSG00000135124,ENSG00000136531,ENSG00000138741,ENSG00000141837,ENSG00000143630,ENSG00000156026,ENSG00000161509,ENSG00000162494,ENSG00000164418,ENSG00000169427,ENSG00000184185,ENSG00000184408"	4.67457093448091
"16"	"red"	TRUE	0.0112	125	394	13	0.033	0.104	"GO:0022843"	"MF"	1	"voltage-gated cation channel activity"	3	"ENSG00000006283,ENSG00000007402,ENSG00000055118,ENSG00000102057,ENSG00000111262,ENSG00000129159,ENSG00000131398,ENSG00000141837,ENSG00000143630,ENSG00000161509,ENSG00000162494,ENSG00000184185,ENSG00000184408"	5.42531560682419
"17"	"red"	TRUE	0.000796	114	136	11	0.081	0.096	"KEGG:04724"	"keg"	5	"Glutamatergic synapse"	1	"ENSG00000051128,ENSG00000069966,ENSG00000101333,ENSG00000105143,ENSG00000124493,ENSG00000127588,ENSG00000141837,ENSG00000152822,ENSG00000161509,ENSG00000164418,ENSG00000243708"	NA
"18"	"red"	TRUE	0.0372	57	202	7	0.035	0.123	"REAC:R-HSA-6794361"	"rea"	4	"Neurexins and neuroligins"	1	"ENSG00000021645,ENSG00000051128,ENSG00000110076,ENSG00000143858,ENSG00000152822,ENSG00000159023,ENSG00000161509"	NA
"19"	"red"	TRUE	5.14e-07	365	202	27	0.134	0.074	"REAC:R-HSA-112316"	"rea"	3	"Neuronal System"	1	"ENSG00000007402,ENSG00000021645,ENSG00000051128,ENSG00000055118,ENSG00000058404,ENSG00000069966,ENSG00000102057,ENSG00000105143,ENSG00000110076,ENSG00000111262,ENSG00000127588,ENSG00000129159,ENSG00000131398,ENSG00000141837,ENSG00000143630,ENSG00000143847,ENSG00000143858,ENSG00000145863,ENSG00000152495,ENSG00000152822,ENSG00000159023,ENSG00000161509,ENSG00000164418,ENSG00000169427,ENSG00000170049,ENSG00000184185,ENSG00000184408"	NA
"20"	"red"	TRUE	0.00695	99	202	10	0.05	0.101	"REAC:R-HSA-1296071"	"rea"	3	"Potassium Channels"	2	"ENSG00000055118,ENSG00000102057,ENSG00000111262,ENSG00000129159,ENSG00000131398,ENSG00000143630,ENSG00000169427,ENSG00000170049,ENSG00000184185,ENSG00000184408"	NA
