"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"red"	TRUE	0.00164	331	496	27	0.054	0.082	"GO:0044782"	"BP"	1	"cilium organization"	1	"ENSG00000058453,ENSG00000094631,ENSG00000101004,ENSG00000110274,ENSG00000114841,ENSG00000126001,ENSG00000126870,ENSG00000138002,ENSG00000141013,ENSG00000141577,ENSG00000142609,ENSG00000151849,ENSG00000153060,ENSG00000154099,ENSG00000157796,ENSG00000159079,ENSG00000163482,ENSG00000168026,ENSG00000171811,ENSG00000179532,ENSG00000186710,ENSG00000188878,ENSG00000198089,ENSG00000213213,ENSG00000213397,ENSG00000214021,ENSG00000249115"	6.18063099862659
"2"	"red"	TRUE	0.0032	322	496	26	0.052	0.081	"GO:0060271"	"BP"	1	"cilium assembly"	2	"ENSG00000058453,ENSG00000094631,ENSG00000101004,ENSG00000110274,ENSG00000114841,ENSG00000126001,ENSG00000126870,ENSG00000138002,ENSG00000141013,ENSG00000141577,ENSG00000142609,ENSG00000151849,ENSG00000153060,ENSG00000154099,ENSG00000157796,ENSG00000159079,ENSG00000163482,ENSG00000171811,ENSG00000179532,ENSG00000186710,ENSG00000188878,ENSG00000198089,ENSG00000213213,ENSG00000213397,ENSG00000214021,ENSG00000249115"	6.12898440976442
"3"	"red"	TRUE	0.00468	66	496	11	0.022	0.167	"GO:0001578"	"BP"	1	"microtubule bundle formation"	1	"ENSG00000114841,ENSG00000137497,ENSG00000141013,ENSG00000142609,ENSG00000154099,ENSG00000167566,ENSG00000171811,ENSG00000179532,ENSG00000186710,ENSG00000213213,ENSG00000214021"	7.43162874159739
"4"	"red"	TRUE	0.0149	48	496	9	0.018	0.188	"GO:0035082"	"BP"	1	"axoneme assembly"	2	"ENSG00000114841,ENSG00000141013,ENSG00000142609,ENSG00000154099,ENSG00000171811,ENSG00000179532,ENSG00000186710,ENSG00000213213,ENSG00000214021"	7.80072620553468
"5"	"red"	TRUE	0.00412	569	496	37	0.075	0.065	"GO:0007017"	"BP"	3	"microtubule-based process"	1	"ENSG00000058453,ENSG00000094631,ENSG00000095066,ENSG00000105146,ENSG00000105255,ENSG00000108773,ENSG00000112659,ENSG00000114841,ENSG00000124006,ENSG00000126001,ENSG00000126870,ENSG00000128159,ENSG00000137497,ENSG00000138002,ENSG00000138100,ENSG00000140983,ENSG00000141013,ENSG00000141577,ENSG00000142609,ENSG00000151849,ENSG00000153060,ENSG00000154099,ENSG00000157796,ENSG00000159079,ENSG00000162004,ENSG00000163462,ENSG00000167566,ENSG00000168026,ENSG00000168071,ENSG00000171811,ENSG00000179532,ENSG00000186710,ENSG00000197912,ENSG00000213213,ENSG00000213397,ENSG00000214021,ENSG00000249115"	4.90540639202114
"6"	"red"	TRUE	0.0184	79	282	10	0.035	0.127	"REAC:R-HSA-380320"	"rea"	2	"Recruitment of NuMA to mitotic centrosomes"	1	"ENSG00000101004,ENSG00000110274,ENSG00000126001,ENSG00000128159,ENSG00000137497,ENSG00000141577,ENSG00000151849,ENSG00000198089,ENSG00000213397,ENSG00000249115"	NA
"7"	"sienna3"	TRUE	0.0416	1174	278	38	0.137	0.032	"GO:0048468"	"BP"	9	"cell development"	1	"ENSG00000011201,ENSG00000017427,ENSG00000077942,ENSG00000087494,ENSG00000092820,ENSG00000101144,ENSG00000106852,ENSG00000110195,ENSG00000114547,ENSG00000115844,ENSG00000117598,ENSG00000125170,ENSG00000134259,ENSG00000135916,ENSG00000136160,ENSG00000136297,ENSG00000139352,ENSG00000143318,ENSG00000144355,ENSG00000154764,ENSG00000154928,ENSG00000157404,ENSG00000158747,ENSG00000161642,ENSG00000162494,ENSG00000163273,ENSG00000164690,ENSG00000167601,ENSG00000178568,ENSG00000182580,ENSG00000183691,ENSG00000184486,ENSG00000187556,ENSG00000188064,ENSG00000188729,ENSG00000188730,ENSG00000196338,ENSG00000197921"	3.66242172010139
"8"	"sienna3"	TRUE	0.00159	148	278	13	0.047	0.088	"GO:0010721"	"BP"	9	"negative regulation of cell development"	1	"ENSG00000017427,ENSG00000077942,ENSG00000101144,ENSG00000115844,ENSG00000135916,ENSG00000136160,ENSG00000139352,ENSG00000144355,ENSG00000154764,ENSG00000163273,ENSG00000183691,ENSG00000188729,ENSG00000197921"	6.09273661937208
"9"	"sienna3"	TRUE	4.41e-05	251	278	19	0.068	0.076	"GO:0001501"	"BP"	7	"skeletal system development"	1	"ENSG00000017427,ENSG00000087494,ENSG00000101144,ENSG00000105880,ENSG00000106624,ENSG00000110693,ENSG00000130287,ENSG00000132692,ENSG00000145681,ENSG00000154764,ENSG00000157399,ENSG00000157404,ENSG00000161642,ENSG00000163273,ENSG00000182600,ENSG00000183691,ENSG00000186153,ENSG00000188064,ENSG00000197921"	5.20068552826187
"10"	"sienna3"	TRUE	0.0084	320	278	18	0.065	0.056	"GO:0060322"	"BP"	6	"head development"	1	"ENSG00000092621,ENSG00000101144,ENSG00000102924,ENSG00000105464,ENSG00000106852,ENSG00000112139,ENSG00000115844,ENSG00000139352,ENSG00000154764,ENSG00000160678,ENSG00000161509,ENSG00000164690,ENSG00000169297,ENSG00000178568,ENSG00000182580,ENSG00000183691,ENSG00000188064,ENSG00000197921"	4.77943061842107
"11"	"sienna3"	TRUE	1.22e-06	1403	278	54	0.194	0.038	"GO:0007399"	"BP"	6	"nervous system development"	1	"ENSG00000011201,ENSG00000092621,ENSG00000092820,ENSG00000101144,ENSG00000102924,ENSG00000105464,ENSG00000105880,ENSG00000105894,ENSG00000106852,ENSG00000110195,ENSG00000112139,ENSG00000114646,ENSG00000115844,ENSG00000117598,ENSG00000124479,ENSG00000125170,ENSG00000130287,ENSG00000130751,ENSG00000132692,ENSG00000134259,ENSG00000135916,ENSG00000136160,ENSG00000136297,ENSG00000139352,ENSG00000139405,ENSG00000144355,ENSG00000145681,ENSG00000148204,ENSG00000154764,ENSG00000154928,ENSG00000158747,ENSG00000160678,ENSG00000161509,ENSG00000162494,ENSG00000162552,ENSG00000164690,ENSG00000165617,ENSG00000168569,ENSG00000169297,ENSG00000171189,ENSG00000177283,ENSG00000178568,ENSG00000180340,ENSG00000182580,ENSG00000183691,ENSG00000184486,ENSG00000187957,ENSG00000188064,ENSG00000188729,ENSG00000188730,ENSG00000196338,ENSG00000197921,ENSG00000198914,ENSG00000256463"	3.30888470485359
"12"	"sienna3"	TRUE	3.46e-05	454	278	26	0.094	0.057	"GO:0007417"	"BP"	6	"central nervous system development"	2	"ENSG00000092621,ENSG00000101144,ENSG00000102924,ENSG00000105464,ENSG00000106852,ENSG00000112139,ENSG00000115844,ENSG00000130287,ENSG00000130751,ENSG00000132692,ENSG00000139352,ENSG00000145681,ENSG00000154764,ENSG00000154928,ENSG00000160678,ENSG00000161509,ENSG00000164690,ENSG00000169297,ENSG00000171189,ENSG00000178568,ENSG00000182580,ENSG00000183691,ENSG00000187957,ENSG00000188064,ENSG00000197921,ENSG00000198914"	4.47556172443583
"13"	"sienna3"	TRUE	0.0037	302	278	18	0.065	0.06	"GO:0007420"	"BP"	6	"brain development"	3	"ENSG00000092621,ENSG00000101144,ENSG00000102924,ENSG00000105464,ENSG00000106852,ENSG00000112139,ENSG00000115844,ENSG00000139352,ENSG00000154764,ENSG00000160678,ENSG00000161509,ENSG00000164690,ENSG00000169297,ENSG00000178568,ENSG00000182580,ENSG00000183691,ENSG00000188064,ENSG00000197921"	4.83582139577594
"14"	"sienna3"	TRUE	0.000562	899	278	36	0.129	0.04	"GO:0022008"	"BP"	6	"neurogenesis"	2	"ENSG00000011201,ENSG00000092820,ENSG00000101144,ENSG00000102924,ENSG00000106852,ENSG00000110195,ENSG00000112139,ENSG00000115844,ENSG00000117598,ENSG00000125170,ENSG00000134259,ENSG00000135916,ENSG00000136160,ENSG00000136297,ENSG00000139352,ENSG00000139405,ENSG00000144355,ENSG00000154764,ENSG00000154928,ENSG00000158747,ENSG00000162494,ENSG00000162552,ENSG00000164690,ENSG00000177283,ENSG00000178568,ENSG00000180340,ENSG00000182580,ENSG00000183691,ENSG00000184486,ENSG00000187957,ENSG00000188064,ENSG00000188729,ENSG00000188730,ENSG00000196338,ENSG00000197921,ENSG00000256463"	3.83685648745455
"15"	"sienna3"	TRUE	0.00126	849	278	34	0.122	0.04	"GO:0048699"	"BP"	6	"generation of neurons"	3	"ENSG00000011201,ENSG00000092820,ENSG00000101144,ENSG00000102924,ENSG00000106852,ENSG00000110195,ENSG00000112139,ENSG00000115844,ENSG00000117598,ENSG00000125170,ENSG00000134259,ENSG00000135916,ENSG00000136160,ENSG00000136297,ENSG00000139352,ENSG00000144355,ENSG00000154764,ENSG00000154928,ENSG00000158747,ENSG00000162494,ENSG00000162552,ENSG00000164690,ENSG00000177283,ENSG00000178568,ENSG00000180340,ENSG00000182580,ENSG00000183691,ENSG00000184486,ENSG00000187957,ENSG00000188064,ENSG00000188729,ENSG00000188730,ENSG00000196338,ENSG00000197921"	3.92248160665552
"16"	"sienna3"	TRUE	0.00159	778	278	32	0.115	0.041	"GO:0030182"	"BP"	6	"neuron differentiation"	4	"ENSG00000011201,ENSG00000092820,ENSG00000101144,ENSG00000102924,ENSG00000106852,ENSG00000110195,ENSG00000112139,ENSG00000115844,ENSG00000117598,ENSG00000125170,ENSG00000134259,ENSG00000135916,ENSG00000136160,ENSG00000136297,ENSG00000139352,ENSG00000144355,ENSG00000154764,ENSG00000154928,ENSG00000158747,ENSG00000162494,ENSG00000162552,ENSG00000164690,ENSG00000177283,ENSG00000178568,ENSG00000180340,ENSG00000182580,ENSG00000184486,ENSG00000188064,ENSG00000188729,ENSG00000188730,ENSG00000196338,ENSG00000197921"	4.06689045776203
"17"	"sienna3"	TRUE	0.0384	116	278	10	0.036	0.086	"GO:0022834"	"MF"	1	"ligand-gated channel activity"	1	"ENSG00000101958,ENSG00000105464,ENSG00000110881,ENSG00000120903,ENSG00000147432,ENSG00000153822,ENSG00000161509,ENSG00000171189,ENSG00000177807,ENSG00000182324"	5.50766664198601
"18"	"sienna3"	TRUE	0.0384	116	278	10	0.036	0.086	"GO:0015276"	"MF"	1	"ligand-gated ion channel activity"	1	"ENSG00000101958,ENSG00000105464,ENSG00000110881,ENSG00000120903,ENSG00000147432,ENSG00000153822,ENSG00000161509,ENSG00000171189,ENSG00000177807,ENSG00000182324"	5.50766664198601
"19"	"sienna3"	TRUE	0.00849	1500	278	47	0.169	0.031	"GO:0098772"	"MF"	8	"molecular function regulator"	1	"ENSG00000017427,ENSG00000046889,ENSG00000087494,ENSG00000101144,ENSG00000101439,ENSG00000102032,ENSG00000103811,ENSG00000105464,ENSG00000105894,ENSG00000109062,ENSG00000114646,ENSG00000115041,ENSG00000123080,ENSG00000124479,ENSG00000128040,ENSG00000132613,ENSG00000134259,ENSG00000145824,ENSG00000146469,ENSG00000147571,ENSG00000148204,ENSG00000150556,ENSG00000150722,ENSG00000154764,ENSG00000157404,ENSG00000158747,ENSG00000161509,ENSG00000162494,ENSG00000162545,ENSG00000162552,ENSG00000164690,ENSG00000164823,ENSG00000165092,ENSG00000168081,ENSG00000170667,ENSG00000170745,ENSG00000170893,ENSG00000171450,ENSG00000173511,ENSG00000176076,ENSG00000178568,ENSG00000179284,ENSG00000185614,ENSG00000187123,ENSG00000188064,ENSG00000197584,ENSG00000241563"	3.61076127240303
"20"	"sienna3"	TRUE	2.07e-05	351	278	23	0.083	0.066	"GO:0030545"	"MF"	8	"receptor regulator activity"	2	"ENSG00000017427,ENSG00000087494,ENSG00000101144,ENSG00000105894,ENSG00000114646,ENSG00000124479,ENSG00000134259,ENSG00000145824,ENSG00000146469,ENSG00000147571,ENSG00000150556,ENSG00000154764,ENSG00000158747,ENSG00000162552,ENSG00000164690,ENSG00000164823,ENSG00000168081,ENSG00000170893,ENSG00000173511,ENSG00000179284,ENSG00000187123,ENSG00000188064,ENSG00000241563"	7.06688479744109
"21"	"sienna3"	TRUE	0.000157	330	278	21	0.076	0.064	"GO:0048018"	"MF"	8	"receptor ligand activity"	1	"ENSG00000017427,ENSG00000087494,ENSG00000101144,ENSG00000105894,ENSG00000114646,ENSG00000124479,ENSG00000134259,ENSG00000145824,ENSG00000146469,ENSG00000147571,ENSG00000154764,ENSG00000158747,ENSG00000162552,ENSG00000164690,ENSG00000164823,ENSG00000168081,ENSG00000170893,ENSG00000173511,ENSG00000179284,ENSG00000188064,ENSG00000241563"	8.18611637331193
"22"	"sienna3"	TRUE	0.0299	63	109	6	0.055	0.095	"KEGG:05217"	"keg"	11	"Basal cell carcinoma"	1	"ENSG00000154764,ENSG00000162552,ENSG00000164690,ENSG00000177283,ENSG00000180340,ENSG00000188064"	NA
"23"	"sienna3"	TRUE	0.0164	199	109	11	0.101	0.055	"KEGG:05205"	"keg"	13	"Proteoglycans in cancer"	1	"ENSG00000017427,ENSG00000029534,ENSG00000092820,ENSG00000154764,ENSG00000162552,ENSG00000164690,ENSG00000172987,ENSG00000177283,ENSG00000178568,ENSG00000180340,ENSG00000188064"	NA
"24"	"sienna3"	TRUE	0.0113	101	109	8	0.073	0.079	"KEGG:04916"	"keg"	3	"Melanogenesis"	1	"ENSG00000136160,ENSG00000154764,ENSG00000155897,ENSG00000157404,ENSG00000162552,ENSG00000177283,ENSG00000180340,ENSG00000188064"	NA
"25"	"sienna3"	TRUE	0.0436	7	159	3	0.019	0.429	"REAC:R-HSA-3595174"	"rea"	12	"Defective CHST14 causes EDS, musculocontractural type"	1	"ENSG00000114646,ENSG00000130287,ENSG00000132692"	NA
"26"	"sienna3"	TRUE	0.0436	7	159	3	0.019	0.429	"REAC:R-HSA-3595177"	"rea"	4	"Defective CHSY1 causes TPBS"	1	"ENSG00000114646,ENSG00000130287,ENSG00000132692"	NA
"27"	"sienna3"	TRUE	0.0373	152	159	10	0.063	0.066	"REAC:R-HSA-112314"	"rea"	10	"Neurotransmitter receptors and postsynaptic signal transmission"	1	"ENSG00000101958,ENSG00000105464,ENSG00000120903,ENSG00000144596,ENSG00000147432,ENSG00000153822,ENSG00000155897,ENSG00000161509,ENSG00000171189,ENSG00000177807"	NA
"28"	"sienna3"	TRUE	0.0132	365	159	17	0.107	0.047	"REAC:R-HSA-112316"	"rea"	2	"Neuronal System"	1	"ENSG00000101958,ENSG00000105464,ENSG00000120903,ENSG00000128683,ENSG00000144596,ENSG00000147432,ENSG00000153822,ENSG00000155897,ENSG00000157103,ENSG00000159248,ENSG00000161509,ENSG00000170745,ENSG00000171189,ENSG00000177807,ENSG00000182324,ENSG00000196338,ENSG00000197584"	NA
"29"	"sienna3"	TRUE	0.0436	7	159	3	0.019	0.429	"REAC:R-HSA-3595172"	"rea"	14	"Defective CHST3 causes SEDCJD"	1	"ENSG00000114646,ENSG00000130287,ENSG00000132692"	NA
"30"	"sienna3"	TRUE	0.000419	453	159	22	0.138	0.049	"REAC:R-HSA-500792"	"rea"	5	"GPCR ligand binding"	1	"ENSG00000087494,ENSG00000101850,ENSG00000109255,ENSG00000115353,ENSG00000117598,ENSG00000119973,ENSG00000136160,ENSG00000144230,ENSG00000146469,ENSG00000147571,ENSG00000154764,ENSG00000162552,ENSG00000164690,ENSG00000166863,ENSG00000168081,ENSG00000170075,ENSG00000170425,ENSG00000170893,ENSG00000177283,ENSG00000180340,ENSG00000188064,ENSG00000241563"	NA
"31"	"sienna3"	TRUE	0.00436	94	159	9	0.057	0.096	"REAC:R-HSA-373080"	"rea"	5	"Class B/2 (Secretin family receptors)"	2	"ENSG00000087494,ENSG00000146469,ENSG00000147571,ENSG00000154764,ENSG00000162552,ENSG00000164690,ENSG00000177283,ENSG00000180340,ENSG00000188064"	NA
"32"	"mediumpurple3"	TRUE	0.0499	23	268	5	0.019	0.217	"GO:2000482"	"BP"	39	"regulation of interleukin-8 secretion"	1	"ENSG00000103490,ENSG00000137462,ENSG00000170458,ENSG00000174125,ENSG00000174130"	8.93570613837366
"33"	"mediumpurple3"	TRUE	1.2e-45	2441	268	137	0.511	0.056	"GO:0002376"	"BP"	2	"immune system process"	1	"ENSG00000005844,ENSG00000006747,ENSG00000010610,ENSG00000010671,ENSG00000011600,ENSG00000012779,ENSG00000015285,ENSG00000019582,ENSG00000026297,ENSG00000030582,ENSG00000051523,ENSG00000066294,ENSG00000066336,ENSG00000068323,ENSG00000073849,ENSG00000076944,ENSG00000081237,ENSG00000082074,ENSG00000086730,ENSG00000095585,ENSG00000095970,ENSG00000096996,ENSG00000100365,ENSG00000100504,ENSG00000101096,ENSG00000101336,ENSG00000102034,ENSG00000103490,ENSG00000104043,ENSG00000104774,ENSG00000104903,ENSG00000104974,ENSG00000105122,ENSG00000105246,ENSG00000105383,ENSG00000106799,ENSG00000107099,ENSG00000110057,ENSG00000110876,ENSG00000111679,ENSG00000112799,ENSG00000114013,ENSG00000115318,ENSG00000118508,ENSG00000119655,ENSG00000121691,ENSG00000123329,ENSG00000123338,ENSG00000123685,ENSG00000125730,ENSG00000128604,ENSG00000130429,ENSG00000130755,ENSG00000134516,ENSG00000135077,ENSG00000137161,ENSG00000137462,ENSG00000137752,ENSG00000140030,ENSG00000140749,ENSG00000140968,ENSG00000141968,ENSG00000142583,ENSG00000143119,ENSG00000143162,ENSG00000143226,ENSG00000150337,ENSG00000150782,ENSG00000154589,ENSG00000155465,ENSG00000155629,ENSG00000155926,ENSG00000159189,ENSG00000159216,ENSG00000160255,ENSG00000161911,ENSG00000161921,ENSG00000162367,ENSG00000163131,ENSG00000163154,ENSG00000165025,ENSG00000165168,ENSG00000166278,ENSG00000167613,ENSG00000167664,ENSG00000167851,ENSG00000168329,ENSG00000168918,ENSG00000169313,ENSG00000169385,ENSG00000169403,ENSG00000169413,ENSG00000169896,ENSG00000170458,ENSG00000170909,ENSG00000171051,ENSG00000171777,ENSG00000171860,ENSG00000172243,ENSG00000172349,ENSG00000173083,ENSG00000173369,ENSG00000173372,ENSG00000174123,ENSG00000174125,ENSG00000174130,ENSG00000174600,ENSG00000179583,ENSG00000180353,ENSG00000180448,ENSG00000182578,ENSG00000185650,ENSG00000185811,ENSG00000185862,ENSG00000186818,ENSG00000187554,ENSG00000196126,ENSG00000196664,ENSG00000196735,ENSG00000197249,ENSG00000197471,ENSG00000197903,ENSG00000198019,ENSG00000203747,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000204472,ENSG00000204482,ENSG00000213654,ENSG00000223865,ENSG00000231389,ENSG00000235568,ENSG00000241839,ENSG00000242574,ENSG00000254415,ENSG00000271605"	2.79342981270393
"34"	"mediumpurple3"	TRUE	9.52e-23	1054	268	69	0.257	0.065	"GO:0002252"	"BP"	2	"immune effector process"	2	"ENSG00000005844,ENSG00000010671,ENSG00000011600,ENSG00000012779,ENSG00000015285,ENSG00000019582,ENSG00000026297,ENSG00000030582,ENSG00000051523,ENSG00000066294,ENSG00000076944,ENSG00000081237,ENSG00000096996,ENSG00000100504,ENSG00000101336,ENSG00000103490,ENSG00000104043,ENSG00000104774,ENSG00000105383,ENSG00000111679,ENSG00000114013,ENSG00000115318,ENSG00000119655,ENSG00000121691,ENSG00000123329,ENSG00000123338,ENSG00000125730,ENSG00000130429,ENSG00000130755,ENSG00000134516,ENSG00000135077,ENSG00000137462,ENSG00000141968,ENSG00000142583,ENSG00000143119,ENSG00000143162,ENSG00000143226,ENSG00000150337,ENSG00000150782,ENSG00000159189,ENSG00000160255,ENSG00000163131,ENSG00000165025,ENSG00000165168,ENSG00000166278,ENSG00000167613,ENSG00000167851,ENSG00000169385,ENSG00000169403,ENSG00000169413,ENSG00000169896,ENSG00000170458,ENSG00000170909,ENSG00000171051,ENSG00000171860,ENSG00000173083,ENSG00000173369,ENSG00000173372,ENSG00000180448,ENSG00000196126,ENSG00000196664,ENSG00000197249,ENSG00000197471,ENSG00000203747,ENSG00000235568,ENSG00000241839,ENSG00000242574,ENSG00000254415,ENSG00000271605"	4.69437938580291
"35"	"mediumpurple3"	TRUE	2.58e-21	748	268	57	0.213	0.076	"GO:0002443"	"BP"	2	"leukocyte mediated immunity"	3	"ENSG00000005844,ENSG00000010671,ENSG00000011600,ENSG00000012779,ENSG00000015285,ENSG00000019582,ENSG00000026297,ENSG00000030582,ENSG00000051523,ENSG00000066294,ENSG00000076944,ENSG00000081237,ENSG00000096996,ENSG00000100504,ENSG00000103490,ENSG00000104043,ENSG00000104774,ENSG00000105383,ENSG00000111679,ENSG00000119655,ENSG00000121691,ENSG00000123329,ENSG00000123338,ENSG00000125730,ENSG00000130755,ENSG00000134516,ENSG00000137462,ENSG00000142583,ENSG00000143119,ENSG00000143162,ENSG00000143226,ENSG00000150782,ENSG00000159189,ENSG00000160255,ENSG00000163131,ENSG00000165025,ENSG00000165168,ENSG00000166278,ENSG00000167613,ENSG00000167851,ENSG00000169385,ENSG00000169403,ENSG00000169896,ENSG00000170458,ENSG00000170909,ENSG00000171051,ENSG00000171860,ENSG00000173083,ENSG00000173369,ENSG00000173372,ENSG00000180448,ENSG00000196126,ENSG00000197249,ENSG00000235568,ENSG00000241839,ENSG00000254415,ENSG00000271605"	5.8296258076508
"36"	"mediumpurple3"	TRUE	3.5e-20	517	268	47	0.175	0.091	"GO:0002444"	"BP"	2	"myeloid leukocyte mediated immunity"	4	"ENSG00000005844,ENSG00000011600,ENSG00000012779,ENSG00000026297,ENSG00000030582,ENSG00000051523,ENSG00000066294,ENSG00000076944,ENSG00000081237,ENSG00000100504,ENSG00000103490,ENSG00000104043,ENSG00000104774,ENSG00000105383,ENSG00000111679,ENSG00000119655,ENSG00000121691,ENSG00000123329,ENSG00000123338,ENSG00000125730,ENSG00000130755,ENSG00000134516,ENSG00000137462,ENSG00000142583,ENSG00000143119,ENSG00000143162,ENSG00000143226,ENSG00000160255,ENSG00000163131,ENSG00000165025,ENSG00000165168,ENSG00000167613,ENSG00000167851,ENSG00000169385,ENSG00000169403,ENSG00000169896,ENSG00000170458,ENSG00000170909,ENSG00000171051,ENSG00000171860,ENSG00000173083,ENSG00000180448,ENSG00000197249,ENSG00000235568,ENSG00000241839,ENSG00000254415,ENSG00000271605"	7.38342663977951
