"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"lightyellow"	TRUE	0.000132	15	133	5	0.038	0.333	"GO:0071025"	"BP"	1	"RNA surveillance"	1	"ENSG00000114127,ENSG00000120699,ENSG00000123737,ENSG00000156502,ENSG00000204348"	8.5302410302655
"2"	"lightyellow"	TRUE	0.00609	14	133	4	0.03	0.286	"GO:0071027"	"BP"	1	"nuclear RNA surveillance"	2	"ENSG00000114127,ENSG00000120699,ENSG00000123737,ENSG00000204348"	8.69058368034067
"3"	"lightyellow"	TRUE	0.00609	14	133	4	0.03	0.286	"GO:0071028"	"BP"	1	"nuclear mRNA surveillance"	3	"ENSG00000114127,ENSG00000120699,ENSG00000123737,ENSG00000204348"	9.34117124648182
"4"	"lightyellow"	TRUE	0.0134	4720	133	59	0.444	0.013	"GO:0060255"	"BP"	2	"regulation of macromolecule metabolic process"	1	"ENSG00000038358,ENSG00000055483,ENSG00000059588,ENSG00000063587,ENSG00000064995,ENSG00000070886,ENSG00000086102,ENSG00000087206,ENSG00000101082,ENSG00000101391,ENSG00000102921,ENSG00000102984,ENSG00000104824,ENSG00000105085,ENSG00000105185,ENSG00000105287,ENSG00000105401,ENSG00000109118,ENSG00000113649,ENSG00000114127,ENSG00000120699,ENSG00000123737,ENSG00000124664,ENSG00000128513,ENSG00000138376,ENSG00000138433,ENSG00000140577,ENSG00000143190,ENSG00000143194,ENSG00000144580,ENSG00000146453,ENSG00000147789,ENSG00000149532,ENSG00000150401,ENSG00000150907,ENSG00000156374,ENSG00000156502,ENSG00000158773,ENSG00000159086,ENSG00000160741,ENSG00000161202,ENSG00000161298,ENSG00000162711,ENSG00000163877,ENSG00000169375,ENSG00000171786,ENSG00000172175,ENSG00000172409,ENSG00000173258,ENSG00000173404,ENSG00000173575,ENSG00000176401,ENSG00000187742,ENSG00000196357,ENSG00000196459,ENSG00000198026,ENSG00000204305,ENSG00000204348,ENSG00000256087"	2.36505662998634
"5"	"lightyellow"	TRUE	0.00573	4834	133	61	0.459	0.013	"GO:1901360"	"BP"	2	"organic cyclic compound metabolic process"	1	"ENSG00000038358,ENSG00000055483,ENSG00000059588,ENSG00000063587,ENSG00000064995,ENSG00000086102,ENSG00000087206,ENSG00000100650,ENSG00000101082,ENSG00000102984,ENSG00000104824,ENSG00000105085,ENSG00000105287,ENSG00000109118,ENSG00000112941,ENSG00000113649,ENSG00000114127,ENSG00000115207,ENSG00000120699,ENSG00000123737,ENSG00000124664,ENSG00000128513,ENSG00000129460,ENSG00000129484,ENSG00000137944,ENSG00000138376,ENSG00000138433,ENSG00000140577,ENSG00000143190,ENSG00000143194,ENSG00000144580,ENSG00000146109,ENSG00000146453,ENSG00000147789,ENSG00000149532,ENSG00000150907,ENSG00000156374,ENSG00000156502,ENSG00000158773,ENSG00000159086,ENSG00000160741,ENSG00000161202,ENSG00000161298,ENSG00000162711,ENSG00000163877,ENSG00000169375,ENSG00000171786,ENSG00000172175,ENSG00000172409,ENSG00000172992,ENSG00000173258,ENSG00000173404,ENSG00000173575,ENSG00000176401,ENSG00000185163,ENSG00000196357,ENSG00000196459,ENSG00000204305,ENSG00000204348,ENSG00000213689,ENSG00000256087"	2.09634866986716
"6"	"lightyellow"	TRUE	0.0483	3222	133	44	0.331	0.014	"GO:1901362"	"BP"	2	"organic cyclic compound biosynthetic process"	2	"ENSG00000059588,ENSG00000063587,ENSG00000064995,ENSG00000086102,ENSG00000087206,ENSG00000101082,ENSG00000102984,ENSG00000105085,ENSG00000105287,ENSG00000109118,ENSG00000113649,ENSG00000114127,ENSG00000115207,ENSG00000124664,ENSG00000128513,ENSG00000138433,ENSG00000140577,ENSG00000143190,ENSG00000143194,ENSG00000144580,ENSG00000146109,ENSG00000147789,ENSG00000149532,ENSG00000150907,ENSG00000156374,ENSG00000158773,ENSG00000159086,ENSG00000160741,ENSG00000161202,ENSG00000161298,ENSG00000162711,ENSG00000169375,ENSG00000171786,ENSG00000172175,ENSG00000172409,ENSG00000172992,ENSG00000173258,ENSG00000173404,ENSG00000173575,ENSG00000176401,ENSG00000196357,ENSG00000196459,ENSG00000204305,ENSG00000256087"	2.57699769597771
"7"	"lightyellow"	TRUE	0.00156	4663	133	61	0.459	0.013	"GO:0006725"	"BP"	2	"cellular aromatic compound metabolic process"	1	"ENSG00000038358,ENSG00000055483,ENSG00000059588,ENSG00000063587,ENSG00000064995,ENSG00000086102,ENSG00000087206,ENSG00000100650,ENSG00000101082,ENSG00000102984,ENSG00000104824,ENSG00000105085,ENSG00000105287,ENSG00000109118,ENSG00000112941,ENSG00000113649,ENSG00000114127,ENSG00000115207,ENSG00000120699,ENSG00000123737,ENSG00000124664,ENSG00000128513,ENSG00000129460,ENSG00000129484,ENSG00000137944,ENSG00000138376,ENSG00000138433,ENSG00000140577,ENSG00000143190,ENSG00000143194,ENSG00000144580,ENSG00000146109,ENSG00000146453,ENSG00000147789,ENSG00000149532,ENSG00000150907,ENSG00000156374,ENSG00000156502,ENSG00000158773,ENSG00000159086,ENSG00000160741,ENSG00000161202,ENSG00000161298,ENSG00000162711,ENSG00000163877,ENSG00000169375,ENSG00000171786,ENSG00000172175,ENSG00000172409,ENSG00000172992,ENSG00000173258,ENSG00000173404,ENSG00000173575,ENSG00000176401,ENSG00000185163,ENSG00000196357,ENSG00000196459,ENSG00000204305,ENSG00000204348,ENSG00000213689,ENSG00000256087"	2.13621682635607
"8"	"lightyellow"	TRUE	0.0189	3107	133	44	0.331	0.014	"GO:0019438"	"BP"	2	"aromatic compound biosynthetic process"	2	"ENSG00000059588,ENSG00000063587,ENSG00000064995,ENSG00000086102,ENSG00000087206,ENSG00000101082,ENSG00000102984,ENSG00000105085,ENSG00000105287,ENSG00000109118,ENSG00000113649,ENSG00000114127,ENSG00000115207,ENSG00000124664,ENSG00000128513,ENSG00000138433,ENSG00000140577,ENSG00000143190,ENSG00000143194,ENSG00000144580,ENSG00000146109,ENSG00000147789,ENSG00000149532,ENSG00000150907,ENSG00000156374,ENSG00000158773,ENSG00000159086,ENSG00000160741,ENSG00000161202,ENSG00000161298,ENSG00000162711,ENSG00000169375,ENSG00000171786,ENSG00000172175,ENSG00000172409,ENSG00000172992,ENSG00000173258,ENSG00000173404,ENSG00000173575,ENSG00000176401,ENSG00000196357,ENSG00000196459,ENSG00000204305,ENSG00000256087"	2.60549020784209
"9"	"lightyellow"	TRUE	0.0032	4641	133	60	0.451	0.013	"GO:0046483"	"BP"	2	"heterocycle metabolic process"	1	"ENSG00000038358,ENSG00000055483,ENSG00000059588,ENSG00000063587,ENSG00000064995,ENSG00000086102,ENSG00000087206,ENSG00000100650,ENSG00000101082,ENSG00000102984,ENSG00000104824,ENSG00000105085,ENSG00000105287,ENSG00000109118,ENSG00000112941,ENSG00000113649,ENSG00000114127,ENSG00000115207,ENSG00000120699,ENSG00000123737,ENSG00000124664,ENSG00000128513,ENSG00000129460,ENSG00000129484,ENSG00000138376,ENSG00000138433,ENSG00000140577,ENSG00000143190,ENSG00000143194,ENSG00000144580,ENSG00000146109,ENSG00000146453,ENSG00000147789,ENSG00000149532,ENSG00000150907,ENSG00000156374,ENSG00000156502,ENSG00000158773,ENSG00000159086,ENSG00000160741,ENSG00000161202,ENSG00000161298,ENSG00000162711,ENSG00000163877,ENSG00000169375,ENSG00000171786,ENSG00000172175,ENSG00000172409,ENSG00000172992,ENSG00000173258,ENSG00000173404,ENSG00000173575,ENSG00000176401,ENSG00000185163,ENSG00000196357,ENSG00000196459,ENSG00000204305,ENSG00000204348,ENSG00000213689,ENSG00000256087"	2.14161737953607
"10"	"lightyellow"	TRUE	0.019	3108	133	44	0.331	0.014	"GO:0018130"	"BP"	2	"heterocycle biosynthetic process"	2	"ENSG00000059588,ENSG00000063587,ENSG00000064995,ENSG00000086102,ENSG00000087206,ENSG00000101082,ENSG00000102984,ENSG00000105085,ENSG00000105287,ENSG00000109118,ENSG00000113649,ENSG00000114127,ENSG00000115207,ENSG00000124664,ENSG00000128513,ENSG00000138433,ENSG00000140577,ENSG00000143190,ENSG00000143194,ENSG00000144580,ENSG00000146109,ENSG00000147789,ENSG00000149532,ENSG00000150907,ENSG00000156374,ENSG00000158773,ENSG00000159086,ENSG00000160741,ENSG00000161202,ENSG00000161298,ENSG00000162711,ENSG00000169375,ENSG00000171786,ENSG00000172175,ENSG00000172409,ENSG00000172992,ENSG00000173258,ENSG00000173404,ENSG00000173575,ENSG00000176401,ENSG00000196357,ENSG00000196459,ENSG00000204305,ENSG00000256087"	2.60657958650888
