"darkturquoise"	"purple"	"brown"	"orange"	"black"	"darkmagenta"	"white"	"saddlebrown"	"sienna3"	"darkgreen"	"violet"	"blue"	"skyblue"	"yellowgreen"	"steelblue"	"cyan"	"darkgrey"	"darkolivegreen"	"midnightblue"	"salmon"	"pink"	"darkred"	"green"	"lightcyan"	"paleturquoise"	"royalblue"	"darkorange"
"Astrocyte"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.94503576758416e-18	1	1	1	0.0216905331097173	1
"Bcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1_Pyramidal"	1	1	1	1	1	1	1	1	1	1	0.0100771790436029	2.51336067981637e-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1.Pyramidal"	1	1	1	1	1	1	1	1	1	1	0.0100771790436029	2.51336067981637e-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CD8Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Basket_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Bergmann_Neuroexpresso"	1	1	1	1	1	1	1	1	1	0.0155060218171216	1	1	1	1	1	1	1	1	1	1	1	1.65297722681118e-09	1	1	1	1	1
"Cerebellum_Golgi_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Granule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Microglia_Neuroexpresso"	1	7.62108597685963e-45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_MicrogliaActivation_Neuroexpresso"	1	1.55909784014451e-21	1	1	1	1	1	0.00190069203649513	1	1.47277477036002e-10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0149942470862596	1
"Cerebellum_MicrogliaDeactivation_Neuroexpresso"	1	4.92336636144328e-54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Oligo_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.03216415580698e-22	1	1	1	1
"Cerebellum_Purkinje_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	0.0054418735818966	1	1	1	1	0.0123290081721385	1	1	1	1	1	1	1	1	1
"Cortex_Astrocyte_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Endothelial_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.5944168555919e-63	1	1	1	1	1	1	1	1
