"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"navajowhite2"	TRUE	0.0345	2227	77	24	0.312	0.011	"GO:0044459"	"CC"	1	"plasma membrane part"	1	"ENSG00000017427,ENSG00000027644,ENSG00000044524,ENSG00000064300,ENSG00000072182,ENSG00000074803,ENSG00000078549,ENSG00000108684,ENSG00000110628,ENSG00000112139,ENSG00000112619,ENSG00000115353,ENSG00000115665,ENSG00000119973,ENSG00000126218,ENSG00000131037,ENSG00000138622,ENSG00000138741,ENSG00000144681,ENSG00000145242,ENSG00000152822,ENSG00000169676,ENSG00000187714,ENSG00000198400"	2.87227165098927
"2"	"black"	TRUE	0.0081	237	340	17	0.05	0.072	"GO:0018212"	"BP"	28	"peptidyl-tyrosine modification"	1	"ENSG00000010671,ENSG00000019582,ENSG00000095970,ENSG00000101336,ENSG00000105329,ENSG00000105639,ENSG00000111679,ENSG00000150782,ENSG00000155307,ENSG00000155926,ENSG00000158517,ENSG00000160255,ENSG00000165025,ENSG00000167851,ENSG00000180353,ENSG00000182578,ENSG00000254087"	5.6074777765781
"3"	"black"	TRUE	0.00682	234	340	17	0.05	0.073	"GO:0018108"	"BP"	28	"peptidyl-tyrosine phosphorylation"	2	"ENSG00000010671,ENSG00000019582,ENSG00000095970,ENSG00000101336,ENSG00000105329,ENSG00000105639,ENSG00000111679,ENSG00000150782,ENSG00000155307,ENSG00000155926,ENSG00000158517,ENSG00000160255,ENSG00000165025,ENSG00000167851,ENSG00000180353,ENSG00000182578,ENSG00000254087"	5.61146979784763
"4"	"black"	TRUE	0.0184	130	340	12	0.035	0.092	"GO:0051092"	"BP"	41	"positive regulation of NF-kappaB transcription factor activity"	1	"ENSG00000010671,ENSG00000103490,ENSG00000114251,ENSG00000129465,ENSG00000143546,ENSG00000150782,ENSG00000163220,ENSG00000168329,ENSG00000168961,ENSG00000174130,ENSG00000198001,ENSG00000198286"	6.87025083866856
"5"	"black"	TRUE	0.00079	49	340	9	0.026	0.184	"GO:0006801"	"BP"	9	"superoxide metabolic process"	1	"ENSG00000051523,ENSG00000105329,ENSG00000116701,ENSG00000158517,ENSG00000160255,ENSG00000165025,ENSG00000165168,ENSG00000169896,ENSG00000174004"	7.53561845512143
"6"	"black"	TRUE	1.54e-05	23	340	8	0.024	0.348	"GO:0042554"	"BP"	9	"superoxide anion generation"	2	"ENSG00000051523,ENSG00000105329,ENSG00000116701,ENSG00000158517,ENSG00000160255,ENSG00000165025,ENSG00000165168,ENSG00000169896"	8.5302410302655
"7"	"black"	TRUE	0.0131	15296	340	318	0.935	0.021	"GO:0008150"	"BP"	1	"biological_process"	1	"ENSG00000005844,ENSG00000006534,ENSG00000006747,ENSG00000010327,ENSG00000010610,ENSG00000010671,ENSG00000011600,ENSG00000012779,ENSG00000015285,ENSG00000019582,ENSG00000026297,ENSG00000026950,ENSG00000030582,ENSG00000038945,ENSG00000042493,ENSG00000042980,ENSG00000049167,ENSG00000051523,ENSG00000053918,ENSG00000054219,ENSG00000059377,ENSG00000060558,ENSG00000066294,ENSG00000066336,ENSG00000072694,ENSG00000073737,ENSG00000073849,ENSG00000075218,ENSG00000076944,ENSG00000078579,ENSG00000079263,ENSG00000079277,ENSG00000081237,ENSG00000082074,ENSG00000086475,ENSG00000086730,ENSG00000087253,ENSG00000089127,ENSG00000089639,ENSG00000089820,ENSG00000090382,ENSG00000095303,ENSG00000095585,ENSG00000095970,ENSG00000099337,ENSG00000100092,ENSG00000100122,ENSG00000100297,ENSG00000100300,ENSG00000100365,ENSG00000100368,ENSG00000100599,ENSG00000100985,ENSG00000101160,ENSG00000101194,ENSG00000101336,ENSG00000102034,ENSG00000102524,ENSG00000103490,ENSG00000103522,ENSG00000104043,ENSG00000104774,ENSG00000104870,ENSG00000104872,ENSG00000104894,ENSG00000104903,ENSG00000104974,ENSG00000105122,ENSG00000105246,ENSG00000105329,ENSG00000105366,ENSG00000105383,ENSG00000105609,ENSG00000105612,ENSG00000105639,ENSG00000105697,ENSG00000106799,ENSG00000107099,ENSG00000107968,ENSG00000108639,ENSG00000108798,ENSG00000108950,ENSG00000109861,ENSG00000110324,ENSG00000110719,ENSG00000110876,ENSG00000111348,ENSG00000111679,ENSG00000111817,ENSG00000112029,ENSG00000112799,ENSG00000112977,ENSG00000114013,ENSG00000114251,ENSG00000115107,ENSG00000115325,ENSG00000115956,ENSG00000116701,ENSG00000116711,ENSG00000117448,ENSG00000117676,ENSG00000118308,ENSG00000118508,ENSG00000118640,ENSG00000118707,ENSG00000119535,ENSG00000119655,ENSG00000120254,ENSG00000121316,ENSG00000121552,ENSG00000121933,ENSG00000123095,ENSG00000123329,ENSG00000123338,ENSG00000124299,ENSG00000124357,ENSG00000124491,ENSG00000125089,ENSG00000125257,ENSG00000125730,ENSG00000126264,ENSG00000127084,ENSG00000127951,ENSG00000128340,ENSG00000128534,ENSG00000128604,ENSG00000129226,ENSG00000129450,ENSG00000129465,ENSG00000129667,ENSG00000129673,ENSG00000130429,ENSG00000130592,ENSG00000130755,ENSG00000131042,ENSG00000132965,ENSG00000133246,ENSG00000133800,ENSG00000134061,ENSG00000134516,ENSG00000134955,ENSG00000135077,ENSG00000135124,ENSG00000136167,ENSG00000137310,ENSG00000137491,ENSG00000137841,ENSG00000137947,ENSG00000138756,ENSG00000138964,ENSG00000139572,ENSG00000139679,ENSG00000140030,ENSG00000140749,ENSG00000140968,ENSG00000141480,ENSG00000141506,ENSG00000141968,ENSG00000141971,ENSG00000142347,ENSG00000142512,ENSG00000142583,ENSG00000143119,ENSG00000143226,ENSG00000143390,ENSG00000143546,ENSG00000145416,ENSG00000145685,ENSG00000146192,ENSG00000148908,ENSG00000149418,ENSG00000149781,ENSG00000150337,ENSG00000150782,ENSG00000151650,ENSG00000154589,ENSG00000154760,ENSG00000155307,ENSG00000155465,ENSG00000155629,ENSG00000155926,ENSG00000157150,ENSG00000158473,ENSG00000158517,ENSG00000158869,ENSG00000159189,ENSG00000159216,ENSG00000159374,ENSG00000159399,ENSG00000159958,ENSG00000160255,ENSG00000160593,ENSG00000160883,ENSG00000161911,ENSG00000161921,ENSG00000162367,ENSG00000162946,ENSG00000163041,ENSG00000163106,ENSG00000163131,ENSG00000163154,ENSG00000163219,ENSG00000163220,ENSG00000163563,ENSG00000163823,ENSG00000164308,ENSG00000164342,ENSG00000164691,ENSG00000164733,ENSG00000165025,ENSG00000165168,ENSG00000165457,ENSG00000165501,ENSG00000166130,ENSG00000166428,ENSG00000167083,ENSG00000167461,ENSG00000167613,ENSG00000167664,ENSG00000167851,ENSG00000167895,ENSG00000168329,ENSG00000168476,ENSG00000168918,ENSG00000168961,ENSG00000169313,ENSG00000169385,ENSG00000169403,ENSG00000169413,ENSG00000169896,ENSG00000170312,ENSG00000170458,ENSG00000170677,ENSG00000170891,ENSG00000170909,ENSG00000171051,ENSG00000171608,ENSG00000171659,ENSG00000171700,ENSG00000171777,ENSG00000171812,ENSG00000171860,ENSG00000172243,ENSG00000173083,ENSG00000173085,ENSG00000173369,ENSG00000173372,ENSG00000174004,ENSG00000174123,ENSG00000174125,ENSG00000174130,ENSG00000174600,ENSG00000175538,ENSG00000175567,ENSG00000177575,ENSG00000178573,ENSG00000179583,ENSG00000180233,ENSG00000180353,ENSG00000180448,ENSG00000181284,ENSG00000181481,ENSG00000181631,ENSG00000182179,ENSG00000182557,ENSG00000182578,ENSG00000183160,ENSG00000184060,ENSG00000184574,ENSG00000184730,ENSG00000184988,ENSG00000185811,ENSG00000185862,ENSG00000186074,ENSG00000186517,ENSG00000186818,ENSG00000188404,ENSG00000196126,ENSG00000196664,ENSG00000196735,ENSG00000197093,ENSG00000197249,ENSG00000197256,ENSG00000197471,ENSG00000197943,ENSG00000197992,ENSG00000198001,ENSG00000198019,ENSG00000198223,ENSG00000198286,ENSG00000198502,ENSG00000198712,ENSG00000198771,ENSG00000198951,ENSG00000203747,ENSG00000203818,ENSG00000204103,ENSG00000204252,ENSG00000204257,ENSG00000204264,ENSG00000204287,ENSG00000204472,ENSG00000204482,ENSG00000205413,ENSG00000213445,ENSG00000213654,ENSG00000216490,ENSG00000217555,ENSG00000223865,ENSG00000231389,ENSG00000234906,ENSG00000235568,ENSG00000239961,ENSG00000239998,ENSG00000242574,ENSG00000244509,ENSG00000254087,ENSG00000271605"	0
"8"	"black"	TRUE	0.00609	1397	340	52	0.153	0.037	"GO:0051704"	"BP"	1	"multi-organism process"	2	"ENSG00000010327,ENSG00000010610,ENSG00000019582,ENSG00000042980,ENSG00000051523,ENSG00000072694,ENSG00000081237,ENSG00000089127,ENSG00000090382,ENSG00000101336,ENSG00000103490,ENSG00000105329,ENSG00000105697,ENSG00000106799,ENSG00000111348,ENSG00000112799,ENSG00000114251,ENSG00000118640,ENSG00000119655,ENSG00000128604,ENSG00000131042,ENSG00000134061,ENSG00000134516,ENSG00000135077,ENSG00000137947,ENSG00000141971,ENSG00000143546,ENSG00000145685,ENSG00000150782,ENSG00000154589,ENSG00000158473,ENSG00000158869,ENSG00000159374,ENSG00000163220,ENSG00000164342,ENSG00000165025,ENSG00000168329,ENSG00000168961,ENSG00000169385,ENSG00000169413,ENSG00000170312,ENSG00000170458,ENSG00000172243,ENSG00000174125,ENSG00000174130,ENSG00000183160,ENSG00000196126,ENSG00000196664,ENSG00000197471,ENSG00000239998,ENSG00000244509,ENSG00000254087"	3.52629472432004
"9"	"black"	TRUE	3.21e-11	986	340	58	0.171	0.059	"GO:0022610"	"BP"	1	"biological adhesion"	2	"ENSG00000005844,ENSG00000010327,ENSG00000066294,ENSG00000072694,ENSG00000081237,ENSG00000101336,ENSG00000103490,ENSG00000105122,ENSG00000105246,ENSG00000105329,ENSG00000105383,ENSG00000105639,ENSG00000107099,ENSG00000107968,ENSG00000110876,ENSG00000111348,ENSG00000111679,ENSG00000114013,ENSG00000115956,ENSG00000121552,ENSG00000123338,ENSG00000128340,ENSG00000131042,ENSG00000133800,ENSG00000135077,ENSG00000138964,ENSG00000141968,ENSG00000143546,ENSG00000149781,ENSG00000150782,ENSG00000158473,ENSG00000159216,ENSG00000160255,ENSG00000160593,ENSG00000163154,ENSG00000163220,ENSG00000163823,ENSG00000165025,ENSG00000167664,ENSG00000167851,ENSG00000168329,ENSG00000168961,ENSG00000169313,ENSG00000169896,ENSG00000171812,ENSG00000173083,ENSG00000181284,ENSG00000186818,ENSG00000188404,ENSG00000196126,ENSG00000197471,ENSG00000198286,ENSG00000204472,ENSG00000213445,ENSG00000223865,ENSG00000231389,ENSG00000242574,ENSG00000254087"	4.04118860061473
"10"	"black"	TRUE	2.36e-11	979	340	58	0.171	0.059	"GO:0007155"	"BP"	1	"cell adhesion"	3	"ENSG00000005844,ENSG00000010327,ENSG00000066294,ENSG00000072694,ENSG00000081237,ENSG00000101336,ENSG00000103490,ENSG00000105122,ENSG00000105246,ENSG00000105329,ENSG00000105383,ENSG00000105639,ENSG00000107099,ENSG00000107968,ENSG00000110876,ENSG00000111348,ENSG00000111679,ENSG00000114013,ENSG00000115956,ENSG00000121552,ENSG00000123338,ENSG00000128340,ENSG00000131042,ENSG00000133800,ENSG00000135077,ENSG00000138964,ENSG00000141968,ENSG00000143546,ENSG00000149781,ENSG00000150782,ENSG00000158473,ENSG00000159216,ENSG00000160255,ENSG00000160593,ENSG00000163154,ENSG00000163220,ENSG00000163823,ENSG00000165025,ENSG00000167664,ENSG00000167851,ENSG00000168329,ENSG00000168961,ENSG00000169313,ENSG00000169896,ENSG00000171812,ENSG00000173083,ENSG00000181284,ENSG00000186818,ENSG00000188404,ENSG00000196126,ENSG00000197471,ENSG00000198286,ENSG00000204472,ENSG00000213445,ENSG00000223865,ENSG00000231389,ENSG00000242574,ENSG00000254087"	4.04702925134427
