"magenta4"	"magenta"	"sienna3"	"mediumpurple3"	"maroon"	"darkseagreen3"	"lightsteelblue1"	"darkgreen"	"lightpink4"	"cyan"	"antiquewhite2"	"green"	"red"	"lightcyan1"	"darkseagreen4"	"grey60"	"greenyellow"	"midnightblue"	"lightcyan"	"coral1"	"brown4"	"skyblue"	"yellow3"	"yellowgreen"	"black"	"lightpink3"	"darkred"	"coral2"	"yellow4"	"sienna4"	"navajowhite2"	"lightcoral"	"blue"	"orangered3"	"steelblue"	"mediumorchid"	"brown2"	"pink4"	"darkorange2"	"paleturquoise"	"palevioletred2"	"coral3"	"darkviolet"	"coral"	"darkorange"	"pink"	"salmon2"	"saddlebrown"	"plum3"	"blue2"	"yellow"	"lavenderblush3"	"thistle3"	"orangered4"	"floralwhite"	"thistle2"	"bisque4"	"skyblue2"	"brown"	"darkturquoise"	"lightsteelblue"	"darkgrey"	"plum1"	"darkmagenta"	"darkolivegreen4"	"darkolivegreen"	"royalblue"	"darkslateblue"	"indianred4"	"skyblue1"	"skyblue3"	"purple"	"tan"	"skyblue4"	"honeydew1"	"mediumpurple4"	"lavenderblush2"	"lightyellow"	"thistle1"	"palevioletred3"	"plum2"	"navajowhite1"	"lightgreen"	"thistle"	"firebrick4"	"salmon4"	"violet"	"plum"	"mediumpurple2"	"honeydew"	"antiquewhite4"	"orange"	"ivory"
"Astrocyte"	1	0.00023779943261119	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000265993554992059	1	1	1	1	1	1	1	1	1	1	1	1	1
"Bcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1_Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	0.0458284313259843	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1.Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	0.0458284313259843	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CD8Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Basket_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Bergmann_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00178448215898331	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Golgi_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Granule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Microglia_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00184417535438183	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0153602512253307	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.91480895010332e-08	1	1	1	1	1	1	1
