"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"grey60"	TRUE	0.00371	167	150	13	0.087	0.078	"KEGG:04621"	"keg"	2	"NOD-like receptor signaling pathway"	1	"ENSG00000082512,ENSG00000104365,ENSG00000105483,ENSG00000106100,ENSG00000111335,ENSG00000117226,ENSG00000125826,ENSG00000126456,ENSG00000137841,ENSG00000139112,ENSG00000170581,ENSG00000185507,ENSG00000213928"	NA
"2"	"grey60"	TRUE	2.54e-05	195	235	19	0.081	0.097	"REAC:R-HSA-913531"	"rea"	1	"Interferon Signaling"	1	"ENSG00000026508,ENSG00000111335,ENSG00000112343,ENSG00000117226,ENSG00000126456,ENSG00000132256,ENSG00000132274,ENSG00000132530,ENSG00000134321,ENSG00000136068,ENSG00000162931,ENSG00000163462,ENSG00000170581,ENSG00000182179,ENSG00000185507,ENSG00000185885,ENSG00000187608,ENSG00000213928,ENSG00000258659"	NA
"3"	"grey60"	TRUE	0.00724	68	235	9	0.038	0.132	"REAC:R-HSA-909733"	"rea"	1	"Interferon alpha/beta signaling"	2	"ENSG00000111335,ENSG00000126456,ENSG00000132530,ENSG00000134321,ENSG00000170581,ENSG00000185507,ENSG00000185885,ENSG00000187608,ENSG00000213928"	NA
"4"	"grey60"	TRUE	0.000263	90	235	12	0.051	0.133	"REAC:R-HSA-877300"	"rea"	1	"Interferon gamma signaling"	2	"ENSG00000026508,ENSG00000111335,ENSG00000112343,ENSG00000117226,ENSG00000126456,ENSG00000132256,ENSG00000132274,ENSG00000162931,ENSG00000163462,ENSG00000185507,ENSG00000213928,ENSG00000258659"	NA
"5"	"paleturquoise"	TRUE	0.0134	311	140	12	0.086	0.039	"GO:0006959"	"BP"	11	"humoral immune response"	1	"ENSG00000110777,ENSG00000124635,ENSG00000132465,ENSG00000180596,ENSG00000184678,ENSG00000197903,ENSG00000211644,ENSG00000211651,ENSG00000211890,ENSG00000211893,ENSG00000211959,ENSG00000244437"	6.05152635072542
"6"	"paleturquoise"	TRUE	0.00158	41	140	6	0.043	0.146	"GO:0019731"	"BP"	18	"antibacterial humoral response"	1	"ENSG00000124635,ENSG00000132465,ENSG00000180596,ENSG00000184678,ENSG00000197903,ENSG00000211890"	7.78302662843527
"7"	"paleturquoise"	TRUE	0.041	21	140	4	0.029	0.19	"GO:0002227"	"BP"	23	"innate immune response in mucosa"	1	"ENSG00000124635,ENSG00000180596,ENSG00000184678,ENSG00000197903"	8.64802406592188
"8"	"paleturquoise"	TRUE	5.16e-07	223	140	15	0.107	0.067	"GO:0071824"	"BP"	15	"protein-DNA complex subunit organization"	1	"ENSG00000124635,ENSG00000158373,ENSG00000158406,ENSG00000180596,ENSG00000181218,ENSG00000183598,ENSG00000184678,ENSG00000185130,ENSG00000196890,ENSG00000197061,ENSG00000197238,ENSG00000197409,ENSG00000197903,ENSG00000203814,ENSG00000233822"	5.91257489063155
"9"	"paleturquoise"	TRUE	6.81e-07	191	140	14	0.1	0.073	"GO:0065004"	"BP"	15	"protein-DNA complex assembly"	2	"ENSG00000124635,ENSG00000158373,ENSG00000158406,ENSG00000180596,ENSG00000183598,ENSG00000184678,ENSG00000185130,ENSG00000196890,ENSG00000197061,ENSG00000197238,ENSG00000197409,ENSG00000197903,ENSG00000203814,ENSG00000233822"	6.02395952089276
"10"	"paleturquoise"	TRUE	1.43e-06	202	140	14	0.1	0.069	"GO:0071103"	"BP"	15	"DNA conformation change"	1	"ENSG00000124635,ENSG00000158373,ENSG00000158406,ENSG00000180596,ENSG00000183598,ENSG00000184678,ENSG00000185130,ENSG00000196890,ENSG00000197061,ENSG00000197238,ENSG00000197409,ENSG00000197903,ENSG00000203814,ENSG00000233822"	5.73930316935752
