"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"magenta"	TRUE	0.0343	18	56	3	0.054	0.167	"REAC:R-HSA-209776"	"rea"	1	"Amine-derived hormones"	1	"ENSG00000115705,ENSG00000129167,ENSG00000196433"	NA
"2"	"royalblue"	TRUE	0.0394	760	124	17	0.137	0.022	"GO:0006396"	"BP"	2	"RNA processing"	1	"ENSG00000047188,ENSG00000104824,ENSG00000110844,ENSG00000115524,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000132485,ENSG00000135486,ENSG00000137200,ENSG00000146963,ENSG00000147274,ENSG00000157110,ENSG00000168066,ENSG00000169045,ENSG00000198563,ENSG00000213782"	4.43281480150599
"3"	"royalblue"	TRUE	0.000102	375	124	15	0.121	0.04	"GO:0008380"	"BP"	2	"RNA splicing"	2	"ENSG00000104824,ENSG00000110844,ENSG00000115524,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000132485,ENSG00000135486,ENSG00000146963,ENSG00000147274,ENSG00000157110,ENSG00000168066,ENSG00000169045,ENSG00000198563,ENSG00000213782"	5.11921555966708
"4"	"royalblue"	TRUE	0.000486	310	124	13	0.105	0.042	"GO:0000375"	"BP"	2	"RNA splicing, via transesterification reactions"	3	"ENSG00000104824,ENSG00000110844,ENSG00000115524,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000135486,ENSG00000146963,ENSG00000147274,ENSG00000157110,ENSG00000168066,ENSG00000169045,ENSG00000198563"	5.57610265401034
"5"	"royalblue"	TRUE	0.000435	307	124	13	0.105	0.042	"GO:0000377"	"BP"	2	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	4	"ENSG00000104824,ENSG00000110844,ENSG00000115524,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000135486,ENSG00000146963,ENSG00000147274,ENSG00000157110,ENSG00000168066,ENSG00000169045,ENSG00000198563"	5.62556872222713
"6"	"royalblue"	TRUE	0.00111	391	124	14	0.113	0.036	"GO:0006397"	"BP"	2	"mRNA processing"	1	"ENSG00000104824,ENSG00000110844,ENSG00000115524,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000135486,ENSG00000137200,ENSG00000146963,ENSG00000147274,ENSG00000157110,ENSG00000168066,ENSG00000169045,ENSG00000198563"	5.10706474188456
"7"	"royalblue"	TRUE	0.000435	307	124	13	0.105	0.042	"GO:0000398"	"BP"	2	"mRNA splicing, via spliceosome"	2	"ENSG00000104824,ENSG00000110844,ENSG00000115524,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000135486,ENSG00000146963,ENSG00000147274,ENSG00000157110,ENSG00000168066,ENSG00000169045,ENSG00000198563"	5.62556872222713
"8"	"royalblue"	TRUE	0.0315	46	124	5	0.04	0.109	"GO:0000380"	"BP"	2	"alternative mRNA splicing, via spliceosome"	3	"ENSG00000104824,ENSG00000116560,ENSG00000119707,ENSG00000135486,ENSG00000147274"	8.04188826235156
"9"	"royalblue"	TRUE	0.000472	166	124	10	0.081	0.06	"GO:0005681"	"CC"	3	"spliceosomal complex"	1	"ENSG00000110844,ENSG00000115524,ENSG00000119707,ENSG00000134186,ENSG00000135486,ENSG00000146963,ENSG00000147274,ENSG00000168066,ENSG00000169045,ENSG00000198563"	5.51004346815086
"10"	"royalblue"	TRUE	0.0365	2783	124	38	0.306	0.014	"GO:0003676"	"MF"	1	"nucleic acid binding"	1	"ENSG00000047188,ENSG00000070444,ENSG00000099622,ENSG00000102908,ENSG00000104177,ENSG00000104824,ENSG00000110844,ENSG00000115524,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000122257,ENSG00000131503,ENSG00000132485,ENSG00000134186,ENSG00000135486,ENSG00000137504,ENSG00000146963,ENSG00000147274,ENSG00000152795,ENSG00000153914,ENSG00000154767,ENSG00000157110,ENSG00000161298,ENSG00000166526,ENSG00000168066,ENSG00000169045,ENSG00000174576,ENSG00000178209,ENSG00000182944,ENSG00000187742,ENSG00000188549,ENSG00000196535,ENSG00000198026,ENSG00000198563,ENSG00000213782,ENSG00000236287,ENSG00000267680"	2.25271138124381
