"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"blue"	TRUE	0.0147	97	119	8	0.067	0.082	"KEGG:00564"	"keg"	2	"Glycerophospholipid metabolism"	1	"ENSG00000100288,ENSG00000102125,ENSG00000105499,ENSG00000130653,ENSG00000172197,ENSG00000174915,ENSG00000184381,ENSG00000243708"	NA
"2"	"blue"	TRUE	0.017	99	119	8	0.067	0.081	"KEGG:04750"	"keg"	1	"Inflammatory mediator regulation of TRP channels"	1	"ENSG00000072182,ENSG00000105499,ENSG00000134716,ENSG00000167723,ENSG00000184381,ENSG00000196689,ENSG00000213199,ENSG00000243708"	NA
"3"	"orange"	TRUE	0.000247	527	123	17	0.138	0.032	"GO:0001816"	"BP"	15	"cytokine production"	1	"ENSG00000000938,ENSG00000018280,ENSG00000103313,ENSG00000105639,ENSG00000121060,ENSG00000126262,ENSG00000137462,ENSG00000143546,ENSG00000151651,ENSG00000153310,ENSG00000163220,ENSG00000163221,ENSG00000167207,ENSG00000168071,ENSG00000171608,ENSG00000174130,ENSG00000254087"	4.58113634993282
"4"	"orange"	TRUE	0.00824	62	123	6	0.049	0.097	"GO:0071887"	"BP"	9	"leukocyte apoptotic process"	1	"ENSG00000105639,ENSG00000151651,ENSG00000167207,ENSG00000171608,ENSG00000182782,ENSG00000254087"	7.08987944787533
"5"	"orange"	TRUE	0.00289	52	123	6	0.049	0.115	"GO:2000106"	"BP"	9	"regulation of leukocyte apoptotic process"	1	"ENSG00000105639,ENSG00000151651,ENSG00000167207,ENSG00000171608,ENSG00000182782,ENSG00000254087"	7.38342663977951
"6"	"orange"	TRUE	0.0227	21	123	4	0.033	0.19	"GO:2000108"	"BP"	9	"positive regulation of leukocyte apoptotic process"	1	"ENSG00000151651,ENSG00000171608,ENSG00000182782,ENSG00000254087"	8.45878206628335
"7"	"orange"	TRUE	0.0332	23	123	4	0.033	0.174	"GO:0009620"	"BP"	11	"response to fungus"	1	"ENSG00000118520,ENSG00000143546,ENSG00000163220,ENSG00000163221"	7.71520403209651
"8"	"orange"	TRUE	0.0185	20	123	4	0.033	0.2	"GO:0050832"	"BP"	11	"defense response to fungus"	1	"ENSG00000118520,ENSG00000143546,ENSG00000163220,ENSG00000163221"	8.18849173654344
"9"	"orange"	TRUE	0.00378	2040	123	33	0.268	0.016	"GO:0065009"	"BP"	6	"regulation of molecular function"	1	"ENSG00000000938,ENSG00000018280,ENSG00000028137,ENSG00000064547,ENSG00000077984,ENSG00000089639,ENSG00000100985,ENSG00000103313,ENSG00000111913,ENSG00000115607,ENSG00000117676,ENSG00000121060,ENSG00000125910,ENSG00000127084,ENSG00000129355,ENSG00000136040,ENSG00000137462,ENSG00000137642,ENSG00000141480,ENSG00000143546,ENSG00000151651,ENSG00000158517,ENSG00000163220,ENSG00000163221,ENSG00000163421,ENSG00000167207,ENSG00000169220,ENSG00000171777,ENSG00000173535,ENSG00000174130,ENSG00000177105,ENSG00000182885,ENSG00000254087"	3.34058179159684
"10"	"orange"	TRUE	0.00877	1533	123	27	0.22	0.018	"GO:0050790"	"BP"	6	"regulation of catalytic activity"	2	"ENSG00000000938,ENSG00000018280,ENSG00000028137,ENSG00000064547,ENSG00000077984,ENSG00000089639,ENSG00000100985,ENSG00000103313,ENSG00000117676,ENSG00000125910,ENSG00000127084,ENSG00000129355,ENSG00000136040,ENSG00000137642,ENSG00000143546,ENSG00000151651,ENSG00000158517,ENSG00000163220,ENSG00000163221,ENSG00000163421,ENSG00000167207,ENSG00000169220,ENSG00000171777,ENSG00000173535,ENSG00000174130,ENSG00000177105,ENSG00000254087"	3.58569278075349
"11"	"orange"	TRUE	0.0121	777	123	18	0.146	0.023	"GO:0051336"	"BP"	6	"regulation of hydrolase activity"	3	"ENSG00000028137,ENSG00000064547,ENSG00000077984,ENSG00000089639,ENSG00000100985,ENSG00000103313,ENSG00000117676,ENSG00000125910,ENSG00000127084,ENSG00000129355,ENSG00000136040,ENSG00000137642,ENSG00000143546,ENSG00000163220,ENSG00000171777,ENSG00000173535,ENSG00000177105,ENSG00000254087"	4.37251602462645
"12"	"orange"	TRUE	0.0056	272	123	11	0.089	0.04	"GO:0052547"	"BP"	6	"regulation of peptidase activity"	4	"ENSG00000028137,ENSG00000077984,ENSG00000100985,ENSG00000103313,ENSG00000117676,ENSG00000129355,ENSG00000137642,ENSG00000143546,ENSG00000163220,ENSG00000173535,ENSG00000254087"	5.54943440692818
"13"	"orange"	TRUE	0.00311	256	123	11	0.089	0.043	"GO:0052548"	"BP"	6	"regulation of endopeptidase activity"	5	"ENSG00000028137,ENSG00000077984,ENSG00000100985,ENSG00000103313,ENSG00000117676,ENSG00000129355,ENSG00000137642,ENSG00000143546,ENSG00000163220,ENSG00000173535,ENSG00000254087"	5.6195019695449
"14"	"orange"	TRUE	0.0175	197	123	9	0.073	0.046	"GO:2000116"	"BP"	6	"regulation of cysteine-type endopeptidase activity"	6	"ENSG00000028137,ENSG00000077984,ENSG00000100985,ENSG00000103313,ENSG00000117676,ENSG00000129355,ENSG00000143546,ENSG00000163220,ENSG00000173535"	6.15965120815739
"15"	"orange"	TRUE	0.0443	123	123	7	0.057	0.057	"GO:0010951"	"BP"	6	"negative regulation of endopeptidase activity"	1	"ENSG00000028137,ENSG00000077984,ENSG00000100985,ENSG00000117676,ENSG00000129355,ENSG00000137642,ENSG00000173535"	6.1665956805102
"16"	"orange"	TRUE	0.000336	5426	123	65	0.528	0.012	"GO:0023052"	"BP"	7	"signaling"	1	"ENSG00000000938,ENSG00000028137,ENSG00000042832,ENSG00000064547,ENSG00000076662,ENSG00000086730,ENSG00000089639,ENSG00000100365,ENSG00000100368,ENSG00000100453,ENSG00000100985,ENSG00000101307,ENSG00000101440,ENSG00000105639,ENSG00000111913,ENSG00000112299,ENSG00000115590,ENSG00000115607,ENSG00000116701,ENSG00000117115,ENSG00000117676,ENSG00000118520,ENSG00000119535,ENSG00000121060,ENSG00000123329,ENSG00000125910,ENSG00000126262,ENSG00000127084,ENSG00000127507,ENSG00000129355,ENSG00000130300,ENSG00000136286,ENSG00000137462,ENSG00000137642,ENSG00000140379,ENSG00000140563,ENSG00000140678,ENSG00000141480,ENSG00000143546,ENSG00000148926,ENSG00000151651,ENSG00000158517,ENSG00000163220,ENSG00000163221,ENSG00000163421,ENSG00000163464,ENSG00000163736,ENSG00000166523,ENSG00000167207,ENSG00000169220,ENSG00000171608,ENSG00000171777,ENSG00000173535,ENSG00000174130,ENSG00000175426,ENSG00000177105,ENSG00000180871,ENSG00000181274,ENSG00000182782,ENSG00000182885,ENSG00000186074,ENSG00000197409,ENSG00000198055,ENSG00000204577,ENSG00000254087"	1.93831330419893
