"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"orangered4"	TRUE	0.0215	13	419	5	0.012	0.385	"GO:0006244"	"BP"	4	"pyrimidine nucleotide catabolic process"	1	"ENSG00000065057,ENSG00000114026,ENSG00000125458,ENSG00000128951,ENSG00000140398"	9.26112853880829
"2"	"orangered4"	TRUE	0.0135	12	419	5	0.012	0.417	"GO:0009223"	"BP"	4	"pyrimidine deoxyribonucleotide catabolic process"	1	"ENSG00000065057,ENSG00000114026,ENSG00000125458,ENSG00000128951,ENSG00000140398"	9.34117124648182
"3"	"orangered4"	TRUE	0.00113	583	419	35	0.084	0.06	"GO:0005815"	"CC"	1	"microtubule organizing center"	1	"ENSG00000013573,ENSG00000058453,ENSG00000079974,ENSG00000094914,ENSG00000101940,ENSG00000104983,ENSG00000108465,ENSG00000108773,ENSG00000110888,ENSG00000111860,ENSG00000119685,ENSG00000121289,ENSG00000122970,ENSG00000128159,ENSG00000130177,ENSG00000132881,ENSG00000134874,ENSG00000135205,ENSG00000138002,ENSG00000141577,ENSG00000148019,ENSG00000154743,ENSG00000160226,ENSG00000161180,ENSG00000166004,ENSG00000175455,ENSG00000180376,ENSG00000184381,ENSG00000188343,ENSG00000188878,ENSG00000198920,ENSG00000204536,ENSG00000213066,ENSG00000249115,ENSG00000258890"	4.43570421583896
"4"	"orangered4"	TRUE	0.0131	138	419	14	0.033	0.101	"GO:0044450"	"CC"	1	"microtubule organizing center part"	2	"ENSG00000058453,ENSG00000079974,ENSG00000121289,ENSG00000128159,ENSG00000134874,ENSG00000135205,ENSG00000141577,ENSG00000166004,ENSG00000175455,ENSG00000180376,ENSG00000188343,ENSG00000188878,ENSG00000198920,ENSG00000204536"	6.08141877649319
"5"	"orangered4"	TRUE	0.014	33	118	5	0.042	0.152	"KEGG:03410"	"keg"	3	"Base excision repair"	1	"ENSG00000065057,ENSG00000114026,ENSG00000132781,ENSG00000140398,ENSG00000166169"	NA
"6"	"orangered4"	TRUE	0.015	10	223	4	0.018	0.4	"REAC:R-HSA-73929"	"rea"	5	"Base-Excision Repair, AP Site Formation"	1	"ENSG00000065057,ENSG00000114026,ENSG00000132781,ENSG00000140398"	NA
"7"	"orangered4"	TRUE	0.037	1395	223	50	0.224	0.036	"REAC:R-HSA-74160"	"rea"	2	"Gene expression (Transcription)"	1	"ENSG00000005075,ENSG00000020426,ENSG00000022976,ENSG00000071894,ENSG00000075407,ENSG00000079134,ENSG00000089335,ENSG00000090905,ENSG00000094631,ENSG00000094914,ENSG00000103197,ENSG00000105136,ENSG00000108773,ENSG00000116478,ENSG00000120784,ENSG00000125846,ENSG00000130684,ENSG00000130726,ENSG00000135423,ENSG00000136709,ENSG00000144026,ENSG00000147117,ENSG00000148290,ENSG00000158373,ENSG00000161551,ENSG00000163161,ENSG00000165684,ENSG00000167377,ENSG00000167528,ENSG00000167555,ENSG00000171295,ENSG00000171817,ENSG00000175787,ENSG00000176293,ENSG00000181135,ENSG00000181666,ENSG00000182983,ENSG00000183598,ENSG00000184678,ENSG00000185024,ENSG00000185513,ENSG00000186777,ENSG00000187187,ENSG00000196378,ENSG00000196890,ENSG00000198298,ENSG00000198939,ENSG00000204227,ENSG00000205937,ENSG00000250312"	NA
"8"	"orangered4"	TRUE	0.0108	1257	223	48	0.215	0.038	"REAC:R-HSA-73857"	"rea"	2	"RNA Polymerase II Transcription"	2	"ENSG00000005075,ENSG00000020426,ENSG00000022976,ENSG00000071894,ENSG00000075407,ENSG00000079134,ENSG00000089335,ENSG00000090905,ENSG00000094631,ENSG00000103197,ENSG00000105136,ENSG00000108773,ENSG00000116478,ENSG00000120784,ENSG00000125846,ENSG00000130684,ENSG00000130726,ENSG00000135423,ENSG00000136709,ENSG00000144026,ENSG00000147117,ENSG00000148290,ENSG00000158373,ENSG00000161551,ENSG00000163161,ENSG00000165684,ENSG00000167377,ENSG00000167528,ENSG00000167555,ENSG00000171295,ENSG00000171817,ENSG00000175787,ENSG00000176293,ENSG00000181135,ENSG00000181666,ENSG00000182983,ENSG00000183598,ENSG00000184678,ENSG00000185513,ENSG00000186777,ENSG00000187187,ENSG00000196378,ENSG00000196890,ENSG00000198298,ENSG00000198939,ENSG00000204227,ENSG00000205937,ENSG00000250312"	NA
"9"	"orangered4"	TRUE	0.0382	1136	223	43	0.193	0.038	"REAC:R-HSA-212436"	"rea"	2	"Generic Transcription Pathway"	3	"ENSG00000005075,ENSG00000020426,ENSG00000022976,ENSG00000075407,ENSG00000089335,ENSG00000090905,ENSG00000094631,ENSG00000103197,ENSG00000105136,ENSG00000108773,ENSG00000116478,ENSG00000120784,ENSG00000125846,ENSG00000130684,ENSG00000130726,ENSG00000135423,ENSG00000144026,ENSG00000147117,ENSG00000148290,ENSG00000158373,ENSG00000161551,ENSG00000163161,ENSG00000167377,ENSG00000167528,ENSG00000167555,ENSG00000171295,ENSG00000171817,ENSG00000175787,ENSG00000176293,ENSG00000181135,ENSG00000181666,ENSG00000182983,ENSG00000183598,ENSG00000184678,ENSG00000185513,ENSG00000186777,ENSG00000187187,ENSG00000196378,ENSG00000196890,ENSG00000198298,ENSG00000198939,ENSG00000204227,ENSG00000250312"	NA
"10"	"tan"	TRUE	1.19e-15	172	320	28	0.087	0.163	"GO:0006457"	"BP"	4	"protein folding"	1	"ENSG00000004478,ENSG00000044574,ENSG00000080824,ENSG00000086061,ENSG00000090273,ENSG00000105993,ENSG00000106211,ENSG00000109971,ENSG00000110172,ENSG00000110958,ENSG00000111664,ENSG00000115541,ENSG00000120438,ENSG00000132002,ENSG00000135924,ENSG00000140403,ENSG00000144381,ENSG00000151929,ENSG00000155660,ENSG00000163468,ENSG00000164070,ENSG00000166598,ENSG00000167280,ENSG00000171497,ENSG00000173110,ENSG00000185615,ENSG00000204388,ENSG00000204389"	6.09273661937208
"11"	"tan"	TRUE	1.36e-07	15	320	8	0.025	0.533	"GO:0042026"	"BP"	4	"protein refolding"	2	"ENSG00000080824,ENSG00000109971,ENSG00000135924,ENSG00000140403,ENSG00000144381,ENSG00000173110,ENSG00000204388,ENSG00000204389"	8.60720207140162
"12"	"tan"	TRUE	0.0465	32	320	6	0.019	0.188	"GO:0006458"	"BP"	4	"'de novo' protein folding"	2	"ENSG00000110958,ENSG00000115541,ENSG00000120438,ENSG00000132002,ENSG00000144381,ENSG00000163468"	7.8748341776884
