"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"brown4"	TRUE	0.00809	4986	147	67	0.456	0.013	"GO:0031974"	"CC"	1	"membrane-enclosed lumen"	1	"ENSG00000007866,ENSG00000010803,ENSG00000013573,ENSG00000014164,ENSG00000031823,ENSG00000068120,ENSG00000070495,ENSG00000074219,ENSG00000077522,ENSG00000078246,ENSG00000082014,ENSG00000088833,ENSG00000089280,ENSG00000099917,ENSG00000100941,ENSG00000104859,ENSG00000105085,ENSG00000105287,ENSG00000105656,ENSG00000108312,ENSG00000108654,ENSG00000111676,ENSG00000112941,ENSG00000113649,ENSG00000116350,ENSG00000116863,ENSG00000118707,ENSG00000123374,ENSG00000125733,ENSG00000126012,ENSG00000126767,ENSG00000129347,ENSG00000129351,ENSG00000130813,ENSG00000134686,ENSG00000135365,ENSG00000136574,ENSG00000137507,ENSG00000137880,ENSG00000139083,ENSG00000141026,ENSG00000141456,ENSG00000143450,ENSG00000148120,ENSG00000155256,ENSG00000157110,ENSG00000161526,ENSG00000161547,ENSG00000163738,ENSG00000166166,ENSG00000168066,ENSG00000168884,ENSG00000169246,ENSG00000171161,ENSG00000171606,ENSG00000172062,ENSG00000172432,ENSG00000173226,ENSG00000173757,ENSG00000181523,ENSG00000182446,ENSG00000184260,ENSG00000185298,ENSG00000185338,ENSG00000198563,ENSG00000217930,ENSG00000243716"	2.31652234550961
"2"	"brown4"	TRUE	0.00809	4986	147	67	0.456	0.013	"GO:0043233"	"CC"	1	"organelle lumen"	1	"ENSG00000007866,ENSG00000010803,ENSG00000013573,ENSG00000014164,ENSG00000031823,ENSG00000068120,ENSG00000070495,ENSG00000074219,ENSG00000077522,ENSG00000078246,ENSG00000082014,ENSG00000088833,ENSG00000089280,ENSG00000099917,ENSG00000100941,ENSG00000104859,ENSG00000105085,ENSG00000105287,ENSG00000105656,ENSG00000108312,ENSG00000108654,ENSG00000111676,ENSG00000112941,ENSG00000113649,ENSG00000116350,ENSG00000116863,ENSG00000118707,ENSG00000123374,ENSG00000125733,ENSG00000126012,ENSG00000126767,ENSG00000129347,ENSG00000129351,ENSG00000130813,ENSG00000134686,ENSG00000135365,ENSG00000136574,ENSG00000137507,ENSG00000137880,ENSG00000139083,ENSG00000141026,ENSG00000141456,ENSG00000143450,ENSG00000148120,ENSG00000155256,ENSG00000157110,ENSG00000161526,ENSG00000161547,ENSG00000163738,ENSG00000166166,ENSG00000168066,ENSG00000168884,ENSG00000169246,ENSG00000171161,ENSG00000171606,ENSG00000172062,ENSG00000172432,ENSG00000173226,ENSG00000173757,ENSG00000181523,ENSG00000182446,ENSG00000184260,ENSG00000185298,ENSG00000185338,ENSG00000198563,ENSG00000217930,ENSG00000243716"	2.32959442707696
"3"	"brown4"	TRUE	0.00809	4986	147	67	0.456	0.013	"GO:0070013"	"CC"	1	"intracellular organelle lumen"	2	"ENSG00000007866,ENSG00000010803,ENSG00000013573,ENSG00000014164,ENSG00000031823,ENSG00000068120,ENSG00000070495,ENSG00000074219,ENSG00000077522,ENSG00000078246,ENSG00000082014,ENSG00000088833,ENSG00000089280,ENSG00000099917,ENSG00000100941,ENSG00000104859,ENSG00000105085,ENSG00000105287,ENSG00000105656,ENSG00000108312,ENSG00000108654,ENSG00000111676,ENSG00000112941,ENSG00000113649,ENSG00000116350,ENSG00000116863,ENSG00000118707,ENSG00000123374,ENSG00000125733,ENSG00000126012,ENSG00000126767,ENSG00000129347,ENSG00000129351,ENSG00000130813,ENSG00000134686,ENSG00000135365,ENSG00000136574,ENSG00000137507,ENSG00000137880,ENSG00000139083,ENSG00000141026,ENSG00000141456,ENSG00000143450,ENSG00000148120,ENSG00000155256,ENSG00000157110,ENSG00000161526,ENSG00000161547,ENSG00000163738,ENSG00000166166,ENSG00000168066,ENSG00000168884,ENSG00000169246,ENSG00000171161,ENSG00000171606,ENSG00000172062,ENSG00000172432,ENSG00000173226,ENSG00000173757,ENSG00000181523,ENSG00000182446,ENSG00000184260,ENSG00000185298,ENSG00000185338,ENSG00000198563,ENSG00000217930,ENSG00000243716"	2.34223377680148
"4"	"brown4"	TRUE	0.0485	5787	147	72	0.49	0.012	"GO:0005634"	"CC"	1	"nucleus"	1	"ENSG00000007866,ENSG00000010803,ENSG00000012211,ENSG00000013573,ENSG00000014164,ENSG00000031823,ENSG00000068120,ENSG00000070495,ENSG00000074219,ENSG00000078246,ENSG00000082014,ENSG00000088833,ENSG00000089280,ENSG00000099917,ENSG00000100941,ENSG00000104859,ENSG00000105085,ENSG00000105287,ENSG00000105556,ENSG00000105656,ENSG00000108312,ENSG00000108654,ENSG00000110844,ENSG00000111676,ENSG00000112941,ENSG00000113649,ENSG00000116350,ENSG00000116863,ENSG00000118707,ENSG00000123374,ENSG00000125450,ENSG00000125733,ENSG00000126012,ENSG00000126767,ENSG00000129347,ENSG00000129351,ENSG00000130813,ENSG00000133275,ENSG00000133422,ENSG00000134686,ENSG00000135365,ENSG00000136574,ENSG00000137507,ENSG00000137880,ENSG00000139083,ENSG00000141026,ENSG00000141456,ENSG00000143450,ENSG00000148120,ENSG00000154144,ENSG00000155256,ENSG00000157110,ENSG00000160271,ENSG00000161526,ENSG00000161547,ENSG00000163660,ENSG00000163795,ENSG00000166166,ENSG00000168066,ENSG00000168884,ENSG00000169246,ENSG00000171161,ENSG00000171606,ENSG00000172062,ENSG00000173226,ENSG00000173757,ENSG00000182446,ENSG00000184260,ENSG00000185298,ENSG00000185338,ENSG00000198563,ENSG00000243716"	1.71060122635403
"5"	"brown4"	TRUE	0.000147	4200	147	64	0.435	0.015	"GO:0044428"	"CC"	1	"nuclear part"	2	"ENSG00000007866,ENSG00000010803,ENSG00000013573,ENSG00000014164,ENSG00000031823,ENSG00000068120,ENSG00000070495,ENSG00000074219,ENSG00000078246,ENSG00000082014,ENSG00000088833,ENSG00000089280,ENSG00000099917,ENSG00000100941,ENSG00000104859,ENSG00000105085,ENSG00000105287,ENSG00000105656,ENSG00000108312,ENSG00000108654,ENSG00000110844,ENSG00000111676,ENSG00000112941,ENSG00000113649,ENSG00000116350,ENSG00000116863,ENSG00000118707,ENSG00000123374,ENSG00000125450,ENSG00000125733,ENSG00000126012,ENSG00000126767,ENSG00000129347,ENSG00000129351,ENSG00000130813,ENSG00000134686,ENSG00000135365,ENSG00000136574,ENSG00000137507,ENSG00000137880,ENSG00000139083,ENSG00000141026,ENSG00000141456,ENSG00000143450,ENSG00000148120,ENSG00000155256,ENSG00000157110,ENSG00000161526,ENSG00000161547,ENSG00000166166,ENSG00000168066,ENSG00000168884,ENSG00000169246,ENSG00000171161,ENSG00000171606,ENSG00000172062,ENSG00000173226,ENSG00000173757,ENSG00000182446,ENSG00000184260,ENSG00000185298,ENSG00000185338,ENSG00000198563,ENSG00000243716"	2.26686113785937
"6"	"brown4"	TRUE	7.57e-05	3933	147	62	0.422	0.016	"GO:0031981"	"CC"	1	"nuclear lumen"	3	"ENSG00000007866,ENSG00000010803,ENSG00000013573,ENSG00000014164,ENSG00000031823,ENSG00000068120,ENSG00000070495,ENSG00000074219,ENSG00000078246,ENSG00000082014,ENSG00000088833,ENSG00000089280,ENSG00000099917,ENSG00000100941,ENSG00000104859,ENSG00000105085,ENSG00000105287,ENSG00000105656,ENSG00000108312,ENSG00000108654,ENSG00000111676,ENSG00000112941,ENSG00000113649,ENSG00000116350,ENSG00000116863,ENSG00000118707,ENSG00000123374,ENSG00000125733,ENSG00000126012,ENSG00000126767,ENSG00000129347,ENSG00000129351,ENSG00000130813,ENSG00000134686,ENSG00000135365,ENSG00000136574,ENSG00000137507,ENSG00000137880,ENSG00000139083,ENSG00000141026,ENSG00000141456,ENSG00000143450,ENSG00000148120,ENSG00000155256,ENSG00000157110,ENSG00000161526,ENSG00000161547,ENSG00000166166,ENSG00000168066,ENSG00000168884,ENSG00000169246,ENSG00000171161,ENSG00000171606,ENSG00000172062,ENSG00000173226,ENSG00000173757,ENSG00000182446,ENSG00000184260,ENSG00000185298,ENSG00000185338,ENSG00000198563,ENSG00000243716"	2.48419377213271
"7"	"brown4"	TRUE	0.000268	3384	147	55	0.374	0.016	"GO:0005654"	"CC"	1	"nucleoplasm"	3	"ENSG00000007866,ENSG00000010803,ENSG00000013573,ENSG00000014164,ENSG00000031823,ENSG00000068120,ENSG00000070495,ENSG00000074219,ENSG00000082014,ENSG00000088833,ENSG00000089280,ENSG00000099917,ENSG00000100941,ENSG00000104859,ENSG00000105085,ENSG00000105287,ENSG00000105656,ENSG00000108312,ENSG00000108654,ENSG00000111676,ENSG00000112941,ENSG00000113649,ENSG00000116350,ENSG00000116863,ENSG00000118707,ENSG00000123374,ENSG00000125733,ENSG00000126012,ENSG00000126767,ENSG00000129351,ENSG00000130813,ENSG00000134686,ENSG00000135365,ENSG00000136574,ENSG00000137507,ENSG00000137880,ENSG00000141026,ENSG00000141456,ENSG00000143450,ENSG00000155256,ENSG00000157110,ENSG00000161526,ENSG00000161547,ENSG00000166166,ENSG00000168066,ENSG00000168884,ENSG00000169246,ENSG00000171161,ENSG00000172062,ENSG00000173226,ENSG00000173757,ENSG00000182446,ENSG00000185338,ENSG00000198563,ENSG00000243716"	2.82602063333852
"8"	"brown4"	TRUE	0.01	138	60	7	0.117	0.051	"KEGG:04910"	"keg"	2	"Insulin signaling pathway"	1	"ENSG00000119729,ENSG00000125733,ENSG00000126767,ENSG00000148082,ENSG00000160691,ENSG00000164776,ENSG00000185338"	NA
"9"	"thistle1"	TRUE	0.00689	211	192	12	0.062	0.057	"GO:0006352"	"BP"	2	"DNA-templated transcription, initiation"	1	"ENSG00000066379,ENSG00000115216,ENSG00000124762,ENSG00000131910,ENSG00000133398,ENSG00000135446,ENSG00000162851,ENSG00000166012,ENSG00000175221,ENSG00000197265,ENSG00000197905,ENSG00000241258"	5.88327852114312
"10"	"thistle1"	TRUE	0.0179	14535	192	178	0.927	0.012	"GO:0005623"	"CC"	1	"cell"	1	"ENSG00000003147,ENSG00000008394,ENSG00000031698,ENSG00000033327,ENSG00000049541,ENSG00000053372,ENSG00000058600,ENSG00000066379,ENSG00000067177,ENSG00000073536,ENSG00000074410,ENSG00000075914,ENSG00000077348,ENSG00000087206,ENSG00000095059,ENSG00000095203,ENSG00000096384,ENSG00000100029,ENSG00000100219,ENSG00000101182,ENSG00000102007,ENSG00000102119,ENSG00000102743,ENSG00000104131,ENSG00000104381,ENSG00000106018,ENSG00000106153,ENSG00000106263,ENSG00000106591,ENSG00000106615,ENSG00000106638,ENSG00000106682,ENSG00000107159,ENSG00000107175,ENSG00000107262,ENSG00000108039,ENSG00000109519,ENSG00000109917,ENSG00000110063,ENSG00000110107,ENSG00000112699,ENSG00000113734,ENSG00000113924,ENSG00000114125,ENSG00000114771,ENSG00000115053,ENSG00000115216,ENSG00000115363,ENSG00000115602,ENSG00000115761,ENSG00000115902,ENSG00000116663,ENSG00000116670,ENSG00000118217,ENSG00000118308,ENSG00000119318,ENSG00000120327,ENSG00000120328,ENSG00000121350,ENSG00000121653,ENSG00000122068,ENSG00000122140,ENSG00000122729,ENSG00000123146,ENSG00000123427,ENSG00000124374,ENSG00000124762,ENSG00000126602,ENSG00000130222,ENSG00000131871,ENSG00000131910,ENSG00000133019,ENSG00000133316,ENSG00000133398,ENSG00000134873,ENSG00000135423,ENSG00000135446,ENSG00000135926,ENSG00000136371,ENSG00000136718,ENSG00000136830,ENSG00000136875,ENSG00000136908,ENSG00000136943,ENSG00000137486,ENSG00000137955,ENSG00000138303,ENSG00000138621,ENSG00000140416,ENSG00000140650,ENSG00000141905,ENSG00000142102,ENSG00000142615,ENSG00000142677,ENSG00000143314,ENSG00000143367,ENSG00000144381,ENSG00000144867,ENSG00000147364,ENSG00000148335,ENSG00000149577,ENSG00000154582,ENSG00000156976,ENSG00000157399,ENSG00000157823,ENSG00000160570,ENSG00000160712,ENSG00000161533,ENSG00000161960,ENSG00000162241,ENSG00000162413,ENSG00000162482,ENSG00000162851,ENSG00000163888,ENSG00000164182,ENSG00000164292,ENSG00000164610,ENSG00000164825,ENSG00000165591,ENSG00000165629,ENSG00000165914,ENSG00000166012,ENSG00000167748,ENSG00000167881,ENSG00000169230,ENSG00000170412,ENSG00000171105,ENSG00000171234,ENSG00000171385,ENSG00000171861,ENSG00000173812,ENSG00000173915,ENSG00000175221,ENSG00000175470,ENSG00000175606,ENSG00000176171,ENSG00000176422,ENSG00000177697,ENSG00000177854,ENSG00000177951,ENSG00000178127,ENSG00000178307,ENSG00000181031,ENSG00000181873,ENSG00000182054,ENSG00000183570,ENSG00000183617,ENSG00000184012,ENSG00000184047,ENSG00000184220,ENSG00000185721,ENSG00000186591,ENSG00000186815,ENSG00000187193,ENSG00000187372,ENSG00000187514,ENSG00000187957,ENSG00000188706,ENSG00000197170,ENSG00000197265,ENSG00000197498,ENSG00000197903,ENSG00000197905,ENSG00000198722,ENSG00000204956,ENSG00000206013,ENSG00000213213,ENSG00000229314,ENSG00000239789,ENSG00000241258,ENSG00000242247,ENSG00000242498,ENSG00000244187,ENSG00000253305,ENSG00000253731,ENSG00000253846,ENSG00000261934,ENSG00000262576"	0.26449720077231
