"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"salmon4"	TRUE	0.0406	133	198	9	0.045	0.068	"GO:0017157"	"BP"	1	"regulation of exocytosis"	1	"ENSG00000073350,ENSG00000099365,ENSG00000103528,ENSG00000142765,ENSG00000149043,ENSG00000167964,ENSG00000184702,ENSG00000196557,ENSG00000198722"	6.627580865004
"2"	"salmon4"	TRUE	0.00427	53	198	7	0.035	0.132	"GO:0017158"	"BP"	3	"regulation of calcium ion-dependent exocytosis"	1	"ENSG00000099365,ENSG00000103528,ENSG00000142765,ENSG00000149043,ENSG00000184702,ENSG00000196557,ENSG00000198722"	7.8748341776884
"3"	"salmon4"	TRUE	0.0263	67	110	6	0.055	0.09	"REAC:R-HSA-1650814"	"rea"	2	"Collagen biosynthesis and modifying enzymes"	1	"ENSG00000114270,ENSG00000124749,ENSG00000138316,ENSG00000169031,ENSG00000188153,ENSG00000196739"	NA
"4"	"salmon4"	TRUE	0.0349	44	110	5	0.045	0.114	"REAC:R-HSA-8948216"	"rea"	2	"Collagen chain trimerization"	2	"ENSG00000114270,ENSG00000124749,ENSG00000169031,ENSG00000188153,ENSG00000196739"	NA
"5"	"grey60"	TRUE	0.00529	12325	263	215	0.817	0.017	"GO:0005622"	"CC"	1	"intracellular"	1	"ENSG00000003147,ENSG00000004777,ENSG00000005206,ENSG00000005961,ENSG00000006530,ENSG00000007392,ENSG00000010322,ENSG00000014914,ENSG00000044446,ENSG00000046651,ENSG00000053900,ENSG00000058453,ENSG00000059145,ENSG00000060140,ENSG00000061273,ENSG00000064607,ENSG00000068400,ENSG00000070610,ENSG00000071894,ENSG00000072778,ENSG00000073169,ENSG00000075826,ENSG00000076344,ENSG00000079134,ENSG00000079974,ENSG00000084636,ENSG00000090686,ENSG00000091592,ENSG00000092094,ENSG00000092529,ENSG00000096093,ENSG00000099326,ENSG00000099958,ENSG00000100038,ENSG00000100151,ENSG00000100201,ENSG00000100288,ENSG00000100299,ENSG00000100359,ENSG00000100429,ENSG00000100445,ENSG00000100650,ENSG00000100836,ENSG00000100941,ENSG00000101019,ENSG00000101883,ENSG00000102125,ENSG00000102878,ENSG00000102901,ENSG00000103024,ENSG00000103091,ENSG00000104852,ENSG00000104859,ENSG00000105185,ENSG00000105401,ENSG00000105717,ENSG00000106258,ENSG00000107331,ENSG00000107672,ENSG00000107819,ENSG00000108465,ENSG00000108773,ENSG00000108848,ENSG00000110274,ENSG00000110844,ENSG00000110888,ENSG00000113108,ENSG00000114388,ENSG00000115073,ENSG00000115274,ENSG00000115694,ENSG00000116809,ENSG00000117360,ENSG00000117480,ENSG00000119688,ENSG00000120662,ENSG00000121310,ENSG00000122965,ENSG00000124222,ENSG00000126215,ENSG00000126456,ENSG00000127054,ENSG00000127415,ENSG00000127419,ENSG00000127511,ENSG00000128159,ENSG00000128298,ENSG00000128699,ENSG00000128951,ENSG00000129204,ENSG00000129946,ENSG00000130702,ENSG00000130997,ENSG00000131368,ENSG00000132424,ENSG00000132485,ENSG00000132680,ENSG00000132793,ENSG00000132879,ENSG00000132952,ENSG00000133247,ENSG00000134884,ENSG00000134905,ENSG00000135164,ENSG00000135437,ENSG00000135473,ENSG00000135722,ENSG00000135723,ENSG00000136147,ENSG00000137504,ENSG00000138834,ENSG00000139613,ENSG00000140398,ENSG00000140983,ENSG00000141258,ENSG00000141524,ENSG00000141562,ENSG00000141577,ENSG00000143224,ENSG00000143882,ENSG00000144045,ENSG00000144524,ENSG00000145020,ENSG00000145029,ENSG00000145908,ENSG00000147162,ENSG00000147535,ENSG00000148384,ENSG00000149499,ENSG00000150967,ENSG00000153291,ENSG00000154358,ENSG00000154832,ENSG00000155256,ENSG00000155287,ENSG00000156097,ENSG00000158106,ENSG00000158552,ENSG00000158773,ENSG00000159263,ENSG00000160678,ENSG00000160948,ENSG00000161265,ENSG00000162004,ENSG00000162032,ENSG00000164073,ENSG00000165188,ENSG00000165819,ENSG00000166987,ENSG00000167103,ENSG00000167280,ENSG00000168395,ENSG00000168906,ENSG00000169045,ENSG00000169231,ENSG00000169914,ENSG00000170004,ENSG00000171962,ENSG00000172613,ENSG00000172830,ENSG00000172890,ENSG00000175106,ENSG00000175265,ENSG00000175455,ENSG00000176454,ENSG00000176978,ENSG00000178028,ENSG00000178188,ENSG00000178605,ENSG00000178814,ENSG00000179698,ENSG00000180098,ENSG00000180113,ENSG00000180902,ENSG00000181240,ENSG00000182979,ENSG00000183426,ENSG00000183513,ENSG00000183793,ENSG00000183889,ENSG00000185189,ENSG00000185386,ENSG00000185513,ENSG00000186787,ENSG00000188735,ENSG00000197070,ENSG00000197976,ENSG00000198089,ENSG00000198276,ENSG00000203780,ENSG00000203879,ENSG00000204231,ENSG00000204248,ENSG00000204305,ENSG00000204348,ENSG00000204351,ENSG00000204536,ENSG00000205356,ENSG00000205560,ENSG00000213339,ENSG00000213366,ENSG00000213658,ENSG00000213865,ENSG00000213983,ENSG00000214021,ENSG00000215252,ENSG00000221978,ENSG00000242028,ENSG00000243708,ENSG00000249115,ENSG00000250506,ENSG00000254636,ENSG00000254852,ENSG00000256525,ENSG00000258366"	0.535768712823952
"6"	"grey60"	TRUE	0.00214	12227	263	215	0.817	0.018	"GO:0044424"	"CC"	1	"intracellular part"	2	"ENSG00000003147,ENSG00000004777,ENSG00000005206,ENSG00000005961,ENSG00000006530,ENSG00000007392,ENSG00000010322,ENSG00000014914,ENSG00000044446,ENSG00000046651,ENSG00000053900,ENSG00000058453,ENSG00000059145,ENSG00000060140,ENSG00000061273,ENSG00000064607,ENSG00000068400,ENSG00000070610,ENSG00000071894,ENSG00000072778,ENSG00000073169,ENSG00000075826,ENSG00000076344,ENSG00000079134,ENSG00000079974,ENSG00000084636,ENSG00000090686,ENSG00000091592,ENSG00000092094,ENSG00000092529,ENSG00000096093,ENSG00000099326,ENSG00000099958,ENSG00000100038,ENSG00000100151,ENSG00000100201,ENSG00000100288,ENSG00000100299,ENSG00000100359,ENSG00000100429,ENSG00000100445,ENSG00000100650,ENSG00000100836,ENSG00000100941,ENSG00000101019,ENSG00000101883,ENSG00000102125,ENSG00000102878,ENSG00000102901,ENSG00000103024,ENSG00000103091,ENSG00000104852,ENSG00000104859,ENSG00000105185,ENSG00000105401,ENSG00000105717,ENSG00000106258,ENSG00000107331,ENSG00000107672,ENSG00000107819,ENSG00000108465,ENSG00000108773,ENSG00000108848,ENSG00000110274,ENSG00000110844,ENSG00000110888,ENSG00000113108,ENSG00000114388,ENSG00000115073,ENSG00000115274,ENSG00000115694,ENSG00000116809,ENSG00000117360,ENSG00000117480,ENSG00000119688,ENSG00000120662,ENSG00000121310,ENSG00000122965,ENSG00000124222,ENSG00000126215,ENSG00000126456,ENSG00000127054,ENSG00000127415,ENSG00000127419,ENSG00000127511,ENSG00000128159,ENSG00000128298,ENSG00000128699,ENSG00000128951,ENSG00000129204,ENSG00000129946,ENSG00000130702,ENSG00000130997,ENSG00000131368,ENSG00000132424,ENSG00000132485,ENSG00000132680,ENSG00000132793,ENSG00000132879,ENSG00000132952,ENSG00000133247,ENSG00000134884,ENSG00000134905,ENSG00000135164,ENSG00000135437,ENSG00000135473,ENSG00000135722,ENSG00000135723,ENSG00000136147,ENSG00000137504,ENSG00000138834,ENSG00000139613,ENSG00000140398,ENSG00000140983,ENSG00000141258,ENSG00000141524,ENSG00000141562,ENSG00000141577,ENSG00000143224,ENSG00000143882,ENSG00000144045,ENSG00000144524,ENSG00000145020,ENSG00000145029,ENSG00000145908,ENSG00000147162,ENSG00000147535,ENSG00000148384,ENSG00000149499,ENSG00000150967,ENSG00000153291,ENSG00000154358,ENSG00000154832,ENSG00000155256,ENSG00000155287,ENSG00000156097,ENSG00000158106,ENSG00000158552,ENSG00000158773,ENSG00000159263,ENSG00000160678,ENSG00000160948,ENSG00000161265,ENSG00000162004,ENSG00000162032,ENSG00000164073,ENSG00000165188,ENSG00000165819,ENSG00000166987,ENSG00000167103,ENSG00000167280,ENSG00000168395,ENSG00000168906,ENSG00000169045,ENSG00000169231,ENSG00000169914,ENSG00000170004,ENSG00000171962,ENSG00000172613,ENSG00000172830,ENSG00000172890,ENSG00000175106,ENSG00000175265,ENSG00000175455,ENSG00000176454,ENSG00000176978,ENSG00000178028,ENSG00000178188,ENSG00000178605,ENSG00000178814,ENSG00000179698,ENSG00000180098,ENSG00000180113,ENSG00000180902,ENSG00000181240,ENSG00000182979,ENSG00000183426,ENSG00000183513,ENSG00000183793,ENSG00000183889,ENSG00000185189,ENSG00000185386,ENSG00000185513,ENSG00000186787,ENSG00000188735,ENSG00000197070,ENSG00000197976,ENSG00000198089,ENSG00000198276,ENSG00000203780,ENSG00000203879,ENSG00000204231,ENSG00000204248,ENSG00000204305,ENSG00000204348,ENSG00000204351,ENSG00000204536,ENSG00000205356,ENSG00000205560,ENSG00000213339,ENSG00000213366,ENSG00000213658,ENSG00000213865,ENSG00000213983,ENSG00000214021,ENSG00000215252,ENSG00000221978,ENSG00000242028,ENSG00000243708,ENSG00000249115,ENSG00000250506,ENSG00000254636,ENSG00000254852,ENSG00000256525,ENSG00000258366"	0.550802445394251
"7"	"lightcyan"	TRUE	0.00669	172	234	12	0.051	0.07	"GO:0048568"	"BP"	10	"embryonic organ development"	1	"ENSG00000074219,ENSG00000081189,ENSG00000100311,ENSG00000106538,ENSG00000112782,ENSG00000121068,ENSG00000128052,ENSG00000128652,ENSG00000132688,ENSG00000164683,ENSG00000164736,ENSG00000167244"	5.38353772980163
"8"	"lightcyan"	TRUE	0.000303	5426	234	109	0.466	0.02	"GO:0023052"	"BP"	14	"signaling"	1	"ENSG00000004399,ENSG00000044524,ENSG00000046889,ENSG00000061918,ENSG00000074219,ENSG00000075884,ENSG00000081041,ENSG00000081189,ENSG00000082175,ENSG00000085276,ENSG00000095370,ENSG00000099250,ENSG00000099282,ENSG00000100311,ENSG00000102010,ENSG00000105650,ENSG00000105808,ENSG00000106018,ENSG00000106025,ENSG00000106113,ENSG00000106483,ENSG00000106633,ENSG00000108387,ENSG00000108622,ENSG00000108797,ENSG00000110492,ENSG00000113319,ENSG00000113555,ENSG00000115252,ENSG00000115353,ENSG00000115461,ENSG00000116833,ENSG00000117407,ENSG00000120318,ENSG00000120328,ENSG00000120738,ENSG00000120949,ENSG00000121236,ENSG00000121797,ENSG00000122679,ENSG00000123360,ENSG00000126785,ENSG00000127920,ENSG00000128052,ENSG00000128652,ENSG00000128656,ENSG00000128917,ENSG00000129244,ENSG00000129467,ENSG00000130303,ENSG00000130988,ENSG00000133116,ENSG00000135299,ENSG00000135324,ENSG00000139318,ENSG00000141837,ENSG00000142279,ENSG00000142611,ENSG00000143248,ENSG00000149489,ENSG00000150594,ENSG00000151746,ENSG00000152402,ENSG00000152689,ENSG00000152804,ENSG00000154146,ENSG00000154589,ENSG00000156049,ENSG00000157554,ENSG00000162618,ENSG00000164683,ENSG00000164736,ENSG00000164742,ENSG00000165194,ENSG00000165409,ENSG00000167244,ENSG00000167332,ENSG00000167371,ENSG00000169291,ENSG00000169894,ENSG00000170667,ENSG00000172889,ENSG00000173269,ENSG00000173535,ENSG00000174175,ENSG00000174233,ENSG00000175544,ENSG00000175899,ENSG00000177839,ENSG00000179097,ENSG00000179776,ENSG00000182732,ENSG00000182963,ENSG00000185187,ENSG00000185291,ENSG00000185551,ENSG00000187244,ENSG00000187266,ENSG00000187800,ENSG00000188130,ENSG00000196839,ENSG00000197859,ENSG00000197943,ENSG00000198932,ENSG00000204301,ENSG00000204882,ENSG00000204936,ENSG00000240771,ENSG00000272636"	1.93831330419893
"9"	"lightcyan"	TRUE	0.000325	5433	234	109	0.466	0.02	"GO:0007154"	"BP"	14	"cell communication"	1	"ENSG00000004399,ENSG00000044524,ENSG00000046889,ENSG00000061918,ENSG00000074219,ENSG00000075884,ENSG00000081041,ENSG00000081189,ENSG00000082175,ENSG00000085276,ENSG00000095370,ENSG00000099250,ENSG00000099282,ENSG00000100311,ENSG00000102010,ENSG00000105650,ENSG00000105808,ENSG00000106018,ENSG00000106025,ENSG00000106113,ENSG00000106483,ENSG00000106633,ENSG00000108387,ENSG00000108622,ENSG00000108797,ENSG00000110492,ENSG00000113319,ENSG00000113555,ENSG00000115252,ENSG00000115353,ENSG00000115461,ENSG00000116833,ENSG00000117407,ENSG00000120318,ENSG00000120328,ENSG00000120738,ENSG00000120949,ENSG00000121236,ENSG00000121797,ENSG00000122679,ENSG00000123360,ENSG00000126785,ENSG00000127920,ENSG00000128052,ENSG00000128652,ENSG00000128656,ENSG00000128917,ENSG00000129244,ENSG00000129467,ENSG00000130303,ENSG00000130988,ENSG00000133116,ENSG00000135299,ENSG00000135324,ENSG00000139318,ENSG00000141837,ENSG00000142279,ENSG00000142611,ENSG00000143248,ENSG00000149489,ENSG00000150594,ENSG00000151746,ENSG00000152402,ENSG00000152689,ENSG00000152804,ENSG00000154146,ENSG00000154589,ENSG00000156049,ENSG00000157554,ENSG00000162618,ENSG00000164683,ENSG00000164736,ENSG00000164742,ENSG00000165194,ENSG00000165409,ENSG00000167244,ENSG00000167332,ENSG00000167371,ENSG00000169291,ENSG00000169894,ENSG00000170667,ENSG00000172889,ENSG00000173269,ENSG00000173535,ENSG00000174175,ENSG00000174233,ENSG00000175544,ENSG00000175899,ENSG00000177839,ENSG00000179097,ENSG00000179776,ENSG00000182732,ENSG00000182963,ENSG00000185187,ENSG00000185291,ENSG00000185551,ENSG00000187244,ENSG00000187266,ENSG00000187800,ENSG00000188130,ENSG00000196839,ENSG00000197859,ENSG00000197943,ENSG00000198932,ENSG00000204301,ENSG00000204882,ENSG00000204936,ENSG00000240771,ENSG00000272636"	1.91056296352098
"10"	"lightcyan"	TRUE	0.00434	5007	234	99	0.423	0.02	"GO:0007165"	"BP"	14	"signal transduction"	1	"ENSG00000004399,ENSG00000044524,ENSG00000046889,ENSG00000061918,ENSG00000074219,ENSG00000075884,ENSG00000081041,ENSG00000081189,ENSG00000082175,ENSG00000085276,ENSG00000095370,ENSG00000099250,ENSG00000099282,ENSG00000100311,ENSG00000102010,ENSG00000105650,ENSG00000105808,ENSG00000106018,ENSG00000106025,ENSG00000106113,ENSG00000106483,ENSG00000108387,ENSG00000108622,ENSG00000108797,ENSG00000110492,ENSG00000113319,ENSG00000115252,ENSG00000115353,ENSG00000115461,ENSG00000116833,ENSG00000117407,ENSG00000120318,ENSG00000120738,ENSG00000120949,ENSG00000121236,ENSG00000121797,ENSG00000122679,ENSG00000123360,ENSG00000126785,ENSG00000127920,ENSG00000128052,ENSG00000128652,ENSG00000128656,ENSG00000128917,ENSG00000129467,ENSG00000130303,ENSG00000130988,ENSG00000133116,ENSG00000135299,ENSG00000135324,ENSG00000139318,ENSG00000142279,ENSG00000142611,ENSG00000143248,ENSG00000149489,ENSG00000150594,ENSG00000151746,ENSG00000152402,ENSG00000152689,ENSG00000152804,ENSG00000154146,ENSG00000154589,ENSG00000156049,ENSG00000157554,ENSG00000162618,ENSG00000164683,ENSG00000164736,ENSG00000164742,ENSG00000165409,ENSG00000167244,ENSG00000167332,ENSG00000169291,ENSG00000169894,ENSG00000170667,ENSG00000172889,ENSG00000173269,ENSG00000173535,ENSG00000174175,ENSG00000174233,ENSG00000175544,ENSG00000175899,ENSG00000179097,ENSG00000179776,ENSG00000182732,ENSG00000185187,ENSG00000185291,ENSG00000185551,ENSG00000187244,ENSG00000187266,ENSG00000187800,ENSG00000188130,ENSG00000196839,ENSG00000197859,ENSG00000197943,ENSG00000198932,ENSG00000204301,ENSG00000204882,ENSG00000204936,ENSG00000240771"	2.05440891835454
