"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"green"	TRUE	0.0387	331	247	16	0.065	0.048	"GO:0044782"	"BP"	3	"cilium organization"	1	"ENSG00000116213,ENSG00000118096,ENSG00000119333,ENSG00000121289,ENSG00000132881,ENSG00000137343,ENSG00000141577,ENSG00000155530,ENSG00000160050,ENSG00000182923,ENSG00000185324,ENSG00000187049,ENSG00000188878,ENSG00000204852,ENSG00000214021,ENSG00000249115"	6.18063099862659
"2"	"green"	TRUE	0.0275	322	247	16	0.065	0.05	"GO:0060271"	"BP"	3	"cilium assembly"	1	"ENSG00000116213,ENSG00000118096,ENSG00000119333,ENSG00000121289,ENSG00000132881,ENSG00000137343,ENSG00000141577,ENSG00000155530,ENSG00000160050,ENSG00000182923,ENSG00000185324,ENSG00000187049,ENSG00000188878,ENSG00000204852,ENSG00000214021,ENSG00000249115"	6.12898440976442
"3"	"green"	TRUE	0.0427	11197	247	186	0.753	0.017	"GO:0043226"	"CC"	1	"organelle"	1	"ENSG00000003509,ENSG00000004777,ENSG00000004975,ENSG00000006025,ENSG00000007541,ENSG00000013573,ENSG00000015532,ENSG00000046647,ENSG00000054148,ENSG00000061273,ENSG00000068028,ENSG00000073050,ENSG00000074582,ENSG00000077312,ENSG00000085998,ENSG00000088035,ENSG00000088682,ENSG00000088766,ENSG00000092208,ENSG00000094914,ENSG00000099326,ENSG00000100124,ENSG00000100227,ENSG00000100258,ENSG00000100299,ENSG00000100372,ENSG00000100395,ENSG00000100416,ENSG00000100836,ENSG00000101181,ENSG00000101460,ENSG00000103932,ENSG00000104518,ENSG00000104983,ENSG00000105298,ENSG00000105705,ENSG00000107317,ENSG00000108469,ENSG00000108591,ENSG00000109103,ENSG00000110169,ENSG00000110871,ENSG00000111364,ENSG00000112599,ENSG00000112855,ENSG00000113108,ENSG00000113722,ENSG00000114026,ENSG00000114388,ENSG00000114735,ENSG00000115275,ENSG00000116213,ENSG00000117262,ENSG00000118096,ENSG00000119333,ENSG00000121289,ENSG00000121542,ENSG00000123415,ENSG00000124574,ENSG00000124608,ENSG00000125746,ENSG00000126091,ENSG00000126456,ENSG00000127586,ENSG00000128335,ENSG00000130177,ENSG00000130813,ENSG00000131650,ENSG00000132275,ENSG00000132323,ENSG00000132781,ENSG00000132881,ENSG00000133943,ENSG00000134152,ENSG00000134262,ENSG00000134597,ENSG00000135437,ENSG00000135845,ENSG00000135929,ENSG00000136059,ENSG00000136271,ENSG00000137074,ENSG00000137221,ENSG00000137343,ENSG00000138617,ENSG00000139546,ENSG00000139624,ENSG00000140326,ENSG00000140488,ENSG00000141404,ENSG00000141577,ENSG00000142252,ENSG00000142330,ENSG00000142920,ENSG00000143224,ENSG00000143554,ENSG00000143633,ENSG00000143793,ENSG00000143811,ENSG00000144182,ENSG00000144524,ENSG00000144580,ENSG00000146063,ENSG00000148341,ENSG00000148362,ENSG00000148985,ENSG00000149091,ENSG00000149196,ENSG00000149600,ENSG00000149929,ENSG00000154832,ENSG00000155287,ENSG00000155530,ENSG00000155636,ENSG00000156345,ENSG00000156469,ENSG00000157379,ENSG00000159445,ENSG00000160050,ENSG00000162729,ENSG00000164815,ENSG00000166169,ENSG00000166261,ENSG00000167113,ENSG00000167272,ENSG00000167702,ENSG00000167967,ENSG00000168101,ENSG00000168434,ENSG00000168517,ENSG00000168818,ENSG00000169592,ENSG00000169598,ENSG00000170037,ENSG00000170631,ENSG00000172613,ENSG00000172732,ENSG00000174871,ENSG00000174943,ENSG00000175130,ENSG00000175564,ENSG00000176732,ENSG00000177082,ENSG00000177225,ENSG00000178685,ENSG00000178802,ENSG00000180089,ENSG00000180758,ENSG00000181392,ENSG00000182173,ENSG00000182872,ENSG00000182923,ENSG00000184209,ENSG00000185049,ENSG00000185252,ENSG00000185324,ENSG00000185917,ENSG00000186395,ENSG00000186787,ENSG00000187049,ENSG00000187848,ENSG00000187954,ENSG00000188735,ENSG00000188878,ENSG00000196378,ENSG00000196510,ENSG00000197114,ENSG00000197562,ENSG00000198830,ENSG00000204227,ENSG00000204305,ENSG00000204371,ENSG00000204536,ENSG00000204852,ENSG00000204859,ENSG00000205593,ENSG00000213339,ENSG00000213928,ENSG00000213930,ENSG00000214021,ENSG00000217930,ENSG00000231925,ENSG00000243943,ENSG00000249115,ENSG00000250506,ENSG00000258472"	0.760772938189011
"4"	"green"	TRUE	0.00173	8082	247	150	0.607	0.019	"GO:0044422"	"CC"	1	"organelle part"	1	"ENSG00000003509,ENSG00000004975,ENSG00000006025,ENSG00000007541,ENSG00000013573,ENSG00000015532,ENSG00000046647,ENSG00000061273,ENSG00000073050,ENSG00000074582,ENSG00000077312,ENSG00000085998,ENSG00000088035,ENSG00000088682,ENSG00000088766,ENSG00000092208,ENSG00000094914,ENSG00000100227,ENSG00000100258,ENSG00000100299,ENSG00000100372,ENSG00000100395,ENSG00000100416,ENSG00000100836,ENSG00000101181,ENSG00000101460,ENSG00000104518,ENSG00000104983,ENSG00000105298,ENSG00000105705,ENSG00000107317,ENSG00000108469,ENSG00000108591,ENSG00000109103,ENSG00000110169,ENSG00000110871,ENSG00000111364,ENSG00000112599,ENSG00000112855,ENSG00000114026,ENSG00000114388,ENSG00000115275,ENSG00000116213,ENSG00000117262,ENSG00000118096,ENSG00000119333,ENSG00000121289,ENSG00000121542,ENSG00000123415,ENSG00000124574,ENSG00000125746,ENSG00000126091,ENSG00000126456,ENSG00000127586,ENSG00000128335,ENSG00000130177,ENSG00000130813,ENSG00000131650,ENSG00000132275,ENSG00000132323,ENSG00000132781,ENSG00000132881,ENSG00000133943,ENSG00000134152,ENSG00000134262,ENSG00000134597,ENSG00000135437,ENSG00000135845,ENSG00000135929,ENSG00000136271,ENSG00000137074,ENSG00000137343,ENSG00000138617,ENSG00000139546,ENSG00000139624,ENSG00000141577,ENSG00000142252,ENSG00000142920,ENSG00000143224,ENSG00000143793,ENSG00000143811,ENSG00000144182,ENSG00000144524,ENSG00000146063,ENSG00000148341,ENSG00000148362,ENSG00000148985,ENSG00000149091,ENSG00000149196,ENSG00000149929,ENSG00000154832,ENSG00000155287,ENSG00000155530,ENSG00000156345,ENSG00000156469,ENSG00000159445,ENSG00000160050,ENSG00000164815,ENSG00000166169,ENSG00000167272,ENSG00000167702,ENSG00000167967,ENSG00000168434,ENSG00000168517,ENSG00000168818,ENSG00000169592,ENSG00000169598,ENSG00000170037,ENSG00000170631,ENSG00000172613,ENSG00000172732,ENSG00000174871,ENSG00000174943,ENSG00000175564,ENSG00000177082,ENSG00000178685,ENSG00000180089,ENSG00000180758,ENSG00000181392,ENSG00000182173,ENSG00000182872,ENSG00000182923,ENSG00000184209,ENSG00000185049,ENSG00000185252,ENSG00000185324,ENSG00000185917,ENSG00000186395,ENSG00000186787,ENSG00000187049,ENSG00000187848,ENSG00000187954,ENSG00000188735,ENSG00000188878,ENSG00000196378,ENSG00000196510,ENSG00000197562,ENSG00000204227,ENSG00000204305,ENSG00000204371,ENSG00000204536,ENSG00000204852,ENSG00000204859,ENSG00000213339,ENSG00000213928,ENSG00000214021,ENSG00000217930,ENSG00000231925,ENSG00000249115,ENSG00000258472"	1.42400670158964
"5"	"green"	TRUE	0.0206	10321	247	176	0.713	0.017	"GO:0043229"	"CC"	1	"intracellular organelle"	1	"ENSG00000003509,ENSG00000004777,ENSG00000004975,ENSG00000006025,ENSG00000007541,ENSG00000013573,ENSG00000015532,ENSG00000046647,ENSG00000061273,ENSG00000068028,ENSG00000073050,ENSG00000074582,ENSG00000077312,ENSG00000085998,ENSG00000088035,ENSG00000088682,ENSG00000088766,ENSG00000092208,ENSG00000094914,ENSG00000099326,ENSG00000100124,ENSG00000100227,ENSG00000100258,ENSG00000100299,ENSG00000100372,ENSG00000100395,ENSG00000100416,ENSG00000100836,ENSG00000101181,ENSG00000101460,ENSG00000103932,ENSG00000104518,ENSG00000104983,ENSG00000105298,ENSG00000105705,ENSG00000107317,ENSG00000108469,ENSG00000108591,ENSG00000109103,ENSG00000110169,ENSG00000110871,ENSG00000111364,ENSG00000112855,ENSG00000113108,ENSG00000113722,ENSG00000114026,ENSG00000114388,ENSG00000114735,ENSG00000115275,ENSG00000116213,ENSG00000117262,ENSG00000118096,ENSG00000119333,ENSG00000121289,ENSG00000121542,ENSG00000123415,ENSG00000124574,ENSG00000124608,ENSG00000125746,ENSG00000126091,ENSG00000126456,ENSG00000127586,ENSG00000128335,ENSG00000130177,ENSG00000130813,ENSG00000131650,ENSG00000132275,ENSG00000132323,ENSG00000132781,ENSG00000132881,ENSG00000133943,ENSG00000134152,ENSG00000134262,ENSG00000134597,ENSG00000135437,ENSG00000135845,ENSG00000135929,ENSG00000136059,ENSG00000136271,ENSG00000137074,ENSG00000137221,ENSG00000137343,ENSG00000138617,ENSG00000139546,ENSG00000139624,ENSG00000140326,ENSG00000140488,ENSG00000141577,ENSG00000142252,ENSG00000142330,ENSG00000142920,ENSG00000143224,ENSG00000143554,ENSG00000143633,ENSG00000143793,ENSG00000143811,ENSG00000144182,ENSG00000144524,ENSG00000144580,ENSG00000146063,ENSG00000148341,ENSG00000148362,ENSG00000148985,ENSG00000149091,ENSG00000149196,ENSG00000149600,ENSG00000149929,ENSG00000154832,ENSG00000155287,ENSG00000155530,ENSG00000155636,ENSG00000156345,ENSG00000156469,ENSG00000157379,ENSG00000159445,ENSG00000160050,ENSG00000164815,ENSG00000166169,ENSG00000166261,ENSG00000167113,ENSG00000167272,ENSG00000167702,ENSG00000167967,ENSG00000168101,ENSG00000168434,ENSG00000168517,ENSG00000168818,ENSG00000169592,ENSG00000169598,ENSG00000170037,ENSG00000170631,ENSG00000172613,ENSG00000172732,ENSG00000174871,ENSG00000174943,ENSG00000175564,ENSG00000176732,ENSG00000177082,ENSG00000178685,ENSG00000180089,ENSG00000181392,ENSG00000182173,ENSG00000182872,ENSG00000182923,ENSG00000184209,ENSG00000185049,ENSG00000185252,ENSG00000185324,ENSG00000185917,ENSG00000186395,ENSG00000186787,ENSG00000187848,ENSG00000187954,ENSG00000188735,ENSG00000188878,ENSG00000196378,ENSG00000196510,ENSG00000197114,ENSG00000197562,ENSG00000198830,ENSG00000204227,ENSG00000204305,ENSG00000204371,ENSG00000204536,ENSG00000204859,ENSG00000205593,ENSG00000213339,ENSG00000213928,ENSG00000213930,ENSG00000214021,ENSG00000217930,ENSG00000231925,ENSG00000243943,ENSG00000249115,ENSG00000250506,ENSG00000258472"	0.883484947044495
"6"	"green"	TRUE	0.00537	7923	247	146	0.591	0.018	"GO:0044446"	"CC"	1	"intracellular organelle part"	2	"ENSG00000003509,ENSG00000004975,ENSG00000006025,ENSG00000007541,ENSG00000013573,ENSG00000015532,ENSG00000046647,ENSG00000061273,ENSG00000073050,ENSG00000074582,ENSG00000077312,ENSG00000085998,ENSG00000088035,ENSG00000088682,ENSG00000088766,ENSG00000092208,ENSG00000094914,ENSG00000100227,ENSG00000100258,ENSG00000100299,ENSG00000100372,ENSG00000100395,ENSG00000100416,ENSG00000100836,ENSG00000101181,ENSG00000101460,ENSG00000104518,ENSG00000104983,ENSG00000105298,ENSG00000105705,ENSG00000107317,ENSG00000108469,ENSG00000108591,ENSG00000109103,ENSG00000110169,ENSG00000110871,ENSG00000111364,ENSG00000112855,ENSG00000114026,ENSG00000114388,ENSG00000115275,ENSG00000116213,ENSG00000117262,ENSG00000118096,ENSG00000119333,ENSG00000121289,ENSG00000121542,ENSG00000123415,ENSG00000124574,ENSG00000125746,ENSG00000126091,ENSG00000126456,ENSG00000127586,ENSG00000128335,ENSG00000130177,ENSG00000130813,ENSG00000131650,ENSG00000132275,ENSG00000132323,ENSG00000132781,ENSG00000132881,ENSG00000133943,ENSG00000134152,ENSG00000134262,ENSG00000134597,ENSG00000135437,ENSG00000135845,ENSG00000135929,ENSG00000136271,ENSG00000137074,ENSG00000137343,ENSG00000138617,ENSG00000139546,ENSG00000139624,ENSG00000141577,ENSG00000142252,ENSG00000142920,ENSG00000143224,ENSG00000143793,ENSG00000143811,ENSG00000144182,ENSG00000144524,ENSG00000146063,ENSG00000148341,ENSG00000148362,ENSG00000148985,ENSG00000149091,ENSG00000149196,ENSG00000149929,ENSG00000154832,ENSG00000155287,ENSG00000155530,ENSG00000156345,ENSG00000156469,ENSG00000159445,ENSG00000160050,ENSG00000164815,ENSG00000166169,ENSG00000167272,ENSG00000167702,ENSG00000167967,ENSG00000168434,ENSG00000168517,ENSG00000168818,ENSG00000169592,ENSG00000169598,ENSG00000170037,ENSG00000170631,ENSG00000172613,ENSG00000172732,ENSG00000174871,ENSG00000174943,ENSG00000175564,ENSG00000177082,ENSG00000178685,ENSG00000180089,ENSG00000181392,ENSG00000182173,ENSG00000182872,ENSG00000182923,ENSG00000184209,ENSG00000185049,ENSG00000185252,ENSG00000185324,ENSG00000185917,ENSG00000186395,ENSG00000186787,ENSG00000187848,ENSG00000187954,ENSG00000188735,ENSG00000188878,ENSG00000196378,ENSG00000196510,ENSG00000197562,ENSG00000204227,ENSG00000204305,ENSG00000204371,ENSG00000204536,ENSG00000204859,ENSG00000213339,ENSG00000213928,ENSG00000214021,ENSG00000217930,ENSG00000231925,ENSG00000249115,ENSG00000258472"	1.46724466181727
"7"	"green"	TRUE	0.00239	33	82	5	0.061	0.152	"KEGG:03410"	"keg"	2	"Base excision repair"	1	"ENSG00000073050,ENSG00000114026,ENSG00000123415,ENSG00000132781,ENSG00000166169"	NA
"8"	"thistle3"	TRUE	0.000223	576	180	22	0.122	0.038	"GO:0030029"	"BP"	6	"actin filament-based process"	1	"ENSG00000015285,ENSG00000042493,ENSG00000064666,ENSG00000072110,ENSG00000075624,ENSG00000101336,ENSG00000103490,ENSG00000111348,ENSG00000125753,ENSG00000130429,ENSG00000130598,ENSG00000131236,ENSG00000135596,ENSG00000136167,ENSG00000142185,ENSG00000146904,ENSG00000159840,ENSG00000162704,ENSG00000163466,ENSG00000177105,ENSG00000184922,ENSG00000241553"	4.98767269542248
"9"	"thistle3"	TRUE	0.0115	275	180	13	0.072	0.047	"GO:0032970"	"BP"	6	"regulation of actin filament-based process"	2	"ENSG00000015285,ENSG00000042493,ENSG00000064666,ENSG00000101336,ENSG00000103490,ENSG00000111348,ENSG00000125753,ENSG00000130429,ENSG00000142185,ENSG00000146904,ENSG00000162704,ENSG00000163466,ENSG00000241553"	5.77398872734541
"10"	"thistle3"	TRUE	0.000223	480	180	20	0.111	0.042	"GO:0030036"	"BP"	6	"actin cytoskeleton organization"	2	"ENSG00000015285,ENSG00000042493,ENSG00000072110,ENSG00000075624,ENSG00000101336,ENSG00000103490,ENSG00000111348,ENSG00000125753,ENSG00000130429,ENSG00000131236,ENSG00000135596,ENSG00000136167,ENSG00000142185,ENSG00000146904,ENSG00000159840,ENSG00000162704,ENSG00000163466,ENSG00000177105,ENSG00000184922,ENSG00000241553"	5.11312169559275
