"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"orange"	TRUE	0.00278	272	189	14	0.074	0.051	"GO:0052547"	"BP"	9	"regulation of peptidase activity"	1	"ENSG00000011422,ENSG00000019991,ENSG00000106100,ENSG00000136997,ENSG00000137409,ENSG00000137801,ENSG00000140564,ENSG00000163565,ENSG00000168610,ENSG00000169242,ENSG00000172071,ENSG00000173530,ENSG00000177076,ENSG00000197442"	5.54943440692818
"2"	"orange"	TRUE	0.00135	256	189	14	0.074	0.055	"GO:0052548"	"BP"	9	"regulation of endopeptidase activity"	2	"ENSG00000011422,ENSG00000019991,ENSG00000106100,ENSG00000136997,ENSG00000137409,ENSG00000137801,ENSG00000140564,ENSG00000163565,ENSG00000168610,ENSG00000169242,ENSG00000172071,ENSG00000173530,ENSG00000177076,ENSG00000197442"	5.6195019695449
"3"	"orange"	TRUE	0.0183	197	189	11	0.058	0.056	"GO:2000116"	"BP"	9	"regulation of cysteine-type endopeptidase activity"	3	"ENSG00000011422,ENSG00000019991,ENSG00000106100,ENSG00000136997,ENSG00000137409,ENSG00000137801,ENSG00000163565,ENSG00000172071,ENSG00000173530,ENSG00000177076,ENSG00000197442"	6.15965120815739
"4"	"orange"	TRUE	0.0479	143	189	9	0.048	0.063	"GO:0010952"	"BP"	9	"positive regulation of peptidase activity"	2	"ENSG00000106100,ENSG00000136997,ENSG00000137409,ENSG00000163565,ENSG00000168610,ENSG00000169242,ENSG00000172071,ENSG00000177076,ENSG00000197442"	6.49820172748024
"5"	"orange"	TRUE	0.034	137	189	9	0.048	0.066	"GO:0010950"	"BP"	9	"positive regulation of endopeptidase activity"	3	"ENSG00000106100,ENSG00000136997,ENSG00000137409,ENSG00000163565,ENSG00000168610,ENSG00000169242,ENSG00000172071,ENSG00000177076,ENSG00000197442"	6.57380446822319
"6"	"orange"	TRUE	0.0209	163	189	10	0.053	0.061	"GO:0043281"	"BP"	9	"regulation of cysteine-type endopeptidase activity involved in apoptotic process"	1	"ENSG00000011422,ENSG00000019991,ENSG00000106100,ENSG00000136997,ENSG00000137409,ENSG00000137801,ENSG00000172071,ENSG00000173530,ENSG00000177076,ENSG00000197442"	6.23882923786957
"7"	"orange"	TRUE	0.0261	2441	189	48	0.254	0.02	"GO:0002376"	"BP"	2	"immune system process"	1	"ENSG00000011422,ENSG00000013364,ENSG00000064932,ENSG00000067182,ENSG00000069974,ENSG00000077238,ENSG00000086300,ENSG00000100219,ENSG00000103064,ENSG00000104856,ENSG00000106100,ENSG00000108691,ENSG00000112062,ENSG00000113749,ENSG00000113916,ENSG00000116670,ENSG00000123685,ENSG00000125347,ENSG00000125730,ENSG00000132589,ENSG00000133048,ENSG00000135503,ENSG00000136997,ENSG00000137312,ENSG00000137801,ENSG00000138496,ENSG00000141574,ENSG00000142166,ENSG00000143322,ENSG00000148175,ENSG00000159110,ENSG00000159216,ENSG00000159403,ENSG00000162889,ENSG00000163565,ENSG00000163840,ENSG00000165030,ENSG00000168610,ENSG00000168884,ENSG00000171206,ENSG00000172216,ENSG00000173530,ENSG00000173762,ENSG00000184584,ENSG00000185201,ENSG00000188313,ENSG00000196396,ENSG00000198805"	2.79342981270393
"8"	"orange"	TRUE	0.000402	9371	189	134	0.709	0.014	"GO:0008152"	"BP"	2	"metabolic process"	1	"ENSG00000006625,ENSG00000010030,ENSG00000010818,ENSG00000011198,ENSG00000011422,ENSG00000013364,ENSG00000019991,ENSG00000060138,ENSG00000062038,ENSG00000064932,ENSG00000065911,ENSG00000067182,ENSG00000068366,ENSG00000069399,ENSG00000069974,ENSG00000071282,ENSG00000075213,ENSG00000075426,ENSG00000084734,ENSG00000086544,ENSG00000095794,ENSG00000097046,ENSG00000100219,ENSG00000103064,ENSG00000104856,ENSG00000105559,ENSG00000105656,ENSG00000105835,ENSG00000106100,ENSG00000106624,ENSG00000107249,ENSG00000108179,ENSG00000108576,ENSG00000108691,ENSG00000108960,ENSG00000109332,ENSG00000112033,ENSG00000112062,ENSG00000112096,ENSG00000112679,ENSG00000113916,ENSG00000115738,ENSG00000116670,ENSG00000117407,ENSG00000120254,ENSG00000123411,ENSG00000123685,ENSG00000124216,ENSG00000124762,ENSG00000125347,ENSG00000125730,ENSG00000128335,ENSG00000130513,ENSG00000131459,ENSG00000132589,ENSG00000133048,ENSG00000133874,ENSG00000134333,ENSG00000134851,ENSG00000135048,ENSG00000135503,ENSG00000136997,ENSG00000137193,ENSG00000137312,ENSG00000137409,ENSG00000137801,ENSG00000138496,ENSG00000140285,ENSG00000140564,ENSG00000141458,ENSG00000143322,ENSG00000143384,ENSG00000145332,ENSG00000146281,ENSG00000146373,ENSG00000148154,ENSG00000148834,ENSG00000148840,ENSG00000150347,ENSG00000151151,ENSG00000153071,ENSG00000153250,ENSG00000153721,ENSG00000154582,ENSG00000156711,ENSG00000157110,ENSG00000158470,ENSG00000158859,ENSG00000159216,ENSG00000159403,ENSG00000160408,ENSG00000161813,ENSG00000162433,ENSG00000162889,ENSG00000163565,ENSG00000163638,ENSG00000163840,ENSG00000165030,ENSG00000165704,ENSG00000165732,ENSG00000165806,ENSG00000167470,ENSG00000168610,ENSG00000168734,ENSG00000168884,ENSG00000169242,ENSG00000169813,ENSG00000170832,ENSG00000171105,ENSG00000171206,ENSG00000171940,ENSG00000172071,ENSG00000172216,ENSG00000173221,ENSG00000173530,ENSG00000177000,ENSG00000177076,ENSG00000182752,ENSG00000184254,ENSG00000184584,ENSG00000185989,ENSG00000186281,ENSG00000188313,ENSG00000188706,ENSG00000189067,ENSG00000196396,ENSG00000196639,ENSG00000196843,ENSG00000196954,ENSG00000197045,ENSG00000197442,ENSG00000198805,ENSG00000198879,ENSG00000231852"	1.10347152361181
"9"	"orange"	TRUE	0.00148	8550	189	124	0.656	0.015	"GO:0044238"	"BP"	2	"primary metabolic process"	2	"ENSG00000010030,ENSG00000010818,ENSG00000011198,ENSG00000011422,ENSG00000013364,ENSG00000019991,ENSG00000060138,ENSG00000064932,ENSG00000067182,ENSG00000068366,ENSG00000069399,ENSG00000071282,ENSG00000075213,ENSG00000075426,ENSG00000084734,ENSG00000095794,ENSG00000097046,ENSG00000100219,ENSG00000103064,ENSG00000104856,ENSG00000105559,ENSG00000105656,ENSG00000105835,ENSG00000106100,ENSG00000106624,ENSG00000107249,ENSG00000108179,ENSG00000108691,ENSG00000108960,ENSG00000109332,ENSG00000112033,ENSG00000112062,ENSG00000112096,ENSG00000112679,ENSG00000113916,ENSG00000115738,ENSG00000116670,ENSG00000117407,ENSG00000120254,ENSG00000123411,ENSG00000123685,ENSG00000124216,ENSG00000124762,ENSG00000125347,ENSG00000125730,ENSG00000128335,ENSG00000130513,ENSG00000131459,ENSG00000132589,ENSG00000133048,ENSG00000133874,ENSG00000134333,ENSG00000134851,ENSG00000135503,ENSG00000136997,ENSG00000137193,ENSG00000137312,ENSG00000137409,ENSG00000137801,ENSG00000138496,ENSG00000140285,ENSG00000140564,ENSG00000141458,ENSG00000143322,ENSG00000145332,ENSG00000146281,ENSG00000146373,ENSG00000148154,ENSG00000148834,ENSG00000148840,ENSG00000150347,ENSG00000153071,ENSG00000153250,ENSG00000153721,ENSG00000154582,ENSG00000156711,ENSG00000157110,ENSG00000158470,ENSG00000158859,ENSG00000159216,ENSG00000159403,ENSG00000160408,ENSG00000161813,ENSG00000162433,ENSG00000162889,ENSG00000163565,ENSG00000163638,ENSG00000163840,ENSG00000165030,ENSG00000165704,ENSG00000165732,ENSG00000165806,ENSG00000167470,ENSG00000168610,ENSG00000168734,ENSG00000168884,ENSG00000169242,ENSG00000169813,ENSG00000170832,ENSG00000171105,ENSG00000171206,ENSG00000171940,ENSG00000172071,ENSG00000172216,ENSG00000173221,ENSG00000173530,ENSG00000177000,ENSG00000177076,ENSG00000182752,ENSG00000184254,ENSG00000184584,ENSG00000185989,ENSG00000186281,ENSG00000188313,ENSG00000188706,ENSG00000189067,ENSG00000196396,ENSG00000196639,ENSG00000196843,ENSG00000196954,ENSG00000197045,ENSG00000197442,ENSG00000198805,ENSG00000231852"	1.36698257719581
"10"	"orange"	TRUE	2.56e-06	4749	189	89	0.471	0.019	"GO:0009058"	"BP"	2	"biosynthetic process"	2	"ENSG00000006625,ENSG00000010030,ENSG00000010818,ENSG00000011198,ENSG00000019991,ENSG00000060138,ENSG00000062038,ENSG00000064932,ENSG00000067182,ENSG00000068366,ENSG00000069399,ENSG00000069974,ENSG00000075426,ENSG00000084734,ENSG00000095794,ENSG00000097046,ENSG00000100219,ENSG00000104856,ENSG00000105559,ENSG00000105656,ENSG00000105835,ENSG00000106100,ENSG00000106624,ENSG00000107249,ENSG00000108576,ENSG00000108691,ENSG00000109332,ENSG00000112033,ENSG00000112062,ENSG00000112096,ENSG00000112679,ENSG00000113916,ENSG00000115738,ENSG00000116670,ENSG00000120254,ENSG00000123411,ENSG00000123685,ENSG00000124216,ENSG00000124762,ENSG00000125347,ENSG00000125730,ENSG00000130513,ENSG00000131459,ENSG00000134333,ENSG00000134851,ENSG00000135503,ENSG00000136997,ENSG00000137193,ENSG00000137801,ENSG00000138496,ENSG00000140564,ENSG00000141458,ENSG00000148154,ENSG00000148834,ENSG00000148840,ENSG00000150347,ENSG00000153071,ENSG00000153250,ENSG00000154582,ENSG00000158470,ENSG00000159216,ENSG00000160408,ENSG00000161813,ENSG00000162433,ENSG00000163565,ENSG00000163840,ENSG00000165030,ENSG00000165704,ENSG00000165732,ENSG00000168610,ENSG00000168884,ENSG00000169242,ENSG00000171105,ENSG00000171206,ENSG00000171940,ENSG00000172071,ENSG00000172216,ENSG00000177076,ENSG00000184254,ENSG00000184584,ENSG00000186281,ENSG00000188313,ENSG00000188706,ENSG00000189067,ENSG00000196639,ENSG00000196843,ENSG00000197442,ENSG00000198805,ENSG00000231852"	2.18753292921599
