"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"darkslateblue"	TRUE	0.00787	483	264	22	0.083	0.046	"GO:0097435"	"BP"	15	"supramolecular fiber organization"	1	"ENSG00000042493,ENSG00000057294,ENSG00000072864,ENSG00000075618,ENSG00000092820,ENSG00000100092,ENSG00000105887,ENSG00000111229,ENSG00000115091,ENSG00000130164,ENSG00000130779,ENSG00000136238,ENSG00000136754,ENSG00000147889,ENSG00000149925,ENSG00000151239,ENSG00000163466,ENSG00000164251,ENSG00000184292,ENSG00000185043,ENSG00000198087,ENSG00000241685"	8.7815554585464
"2"	"darkslateblue"	TRUE	0.0187	292	264	16	0.061	0.055	"GO:0007015"	"BP"	15	"actin filament organization"	1	"ENSG00000042493,ENSG00000075618,ENSG00000092820,ENSG00000100092,ENSG00000105887,ENSG00000111229,ENSG00000115091,ENSG00000136238,ENSG00000136754,ENSG00000149925,ENSG00000151239,ENSG00000163466,ENSG00000164251,ENSG00000184292,ENSG00000198087,ENSG00000241685"	5.73250812622469
"3"	"darkslateblue"	TRUE	0.0196	141	264	11	0.042	0.078	"GO:0008154"	"BP"	15	"actin polymerization or depolymerization"	2	"ENSG00000042493,ENSG00000100092,ENSG00000105887,ENSG00000111229,ENSG00000115091,ENSG00000136238,ENSG00000136754,ENSG00000151239,ENSG00000163466,ENSG00000164251,ENSG00000241685"	6.51287191722804
"4"	"darkslateblue"	TRUE	0.0306	1521	264	44	0.167	0.029	"GO:0012501"	"BP"	4	"programmed cell death"	1	"ENSG00000005022,ENSG00000026508,ENSG00000030110,ENSG00000035664,ENSG00000054967,ENSG00000057294,ENSG00000074800,ENSG00000092295,ENSG00000092871,ENSG00000104055,ENSG00000104419,ENSG00000111057,ENSG00000111640,ENSG00000112715,ENSG00000113575,ENSG00000117676,ENSG00000126003,ENSG00000126432,ENSG00000128604,ENSG00000129521,ENSG00000134757,ENSG00000135503,ENSG00000137331,ENSG00000137393,ENSG00000138376,ENSG00000141503,ENSG00000142867,ENSG00000147889,ENSG00000149418,ENSG00000152256,ENSG00000159399,ENSG00000161642,ENSG00000167772,ENSG00000168209,ENSG00000172939,ENSG00000173848,ENSG00000181284,ENSG00000181649,ENSG00000182782,ENSG00000185043,ENSG00000185624,ENSG00000186832,ENSG00000196954,ENSG00000241794"	3.53003025350512
"5"	"darkslateblue"	TRUE	0.0063	207	264	14	0.053	0.068	"GO:0032535"	"BP"	18	"regulation of cellular component size"	1	"ENSG00000042493,ENSG00000100092,ENSG00000105887,ENSG00000111229,ENSG00000112715,ENSG00000115091,ENSG00000124209,ENSG00000136238,ENSG00000136802,ENSG00000144674,ENSG00000151239,ENSG00000163466,ENSG00000164251,ENSG00000241685"	5.8885416911874
"6"	"darkslateblue"	TRUE	0.00455	98	264	10	0.038	0.102	"GO:1902652"	"BP"	1	"secondary alcohol metabolic process"	1	"ENSG00000052802,ENSG00000079459,ENSG00000099194,ENSG00000104549,ENSG00000109929,ENSG00000112972,ENSG00000147155,ENSG00000147383,ENSG00000167508,ENSG00000172893"	6.74467353128536
"7"	"darkslateblue"	TRUE	0.00244	486	264	23	0.087	0.047	"GO:0090407"	"BP"	1	"organophosphate biosynthetic process"	1	"ENSG00000074800,ENSG00000099194,ENSG00000102144,ENSG00000107679,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000115919,ENSG00000123983,ENSG00000138018,ENSG00000148926,ENSG00000149925,ENSG00000151726,ENSG00000152256,ENSG00000156515,ENSG00000159399,ENSG00000163931,ENSG00000165195,ENSG00000167508,ENSG00000170525,ENSG00000171314,ENSG00000198805"	4.90048269915936
"8"	"darkslateblue"	TRUE	0.0089	1644	264	48	0.182	0.029	"GO:0044281"	"BP"	1	"small molecule metabolic process"	1	"ENSG00000026508,ENSG00000052802,ENSG00000062485,ENSG00000074800,ENSG00000079385,ENSG00000079459,ENSG00000099194,ENSG00000102144,ENSG00000103044,ENSG00000103089,ENSG00000104549,ENSG00000109107,ENSG00000109929,ENSG00000111424,ENSG00000111640,ENSG00000111669,ENSG00000112972,ENSG00000114268,ENSG00000115919,ENSG00000117308,ENSG00000117394,ENSG00000123983,ENSG00000129521,ENSG00000130821,ENSG00000131069,ENSG00000141526,ENSG00000147155,ENSG00000147383,ENSG00000148334,ENSG00000148926,ENSG00000149925,ENSG00000151726,ENSG00000152256,ENSG00000156515,ENSG00000159399,ENSG00000163931,ENSG00000164300,ENSG00000166855,ENSG00000167508,ENSG00000169299,ENSG00000170525,ENSG00000171314,ENSG00000172893,ENSG00000178741,ENSG00000180817,ENSG00000185624,ENSG00000198018,ENSG00000198805"	3.03885756764053
"9"	"darkslateblue"	TRUE	0.0317	608	264	24	0.091	0.039	"GO:0055086"	"BP"	1	"nucleobase-containing small molecule metabolic process"	2	"ENSG00000074800,ENSG00000099194,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000115919,ENSG00000123983,ENSG00000148926,ENSG00000149925,ENSG00000151726,ENSG00000152256,ENSG00000156515,ENSG00000159399,ENSG00000163931,ENSG00000166855,ENSG00000167508,ENSG00000169299,ENSG00000170525,ENSG00000171314,ENSG00000178741,ENSG00000198018,ENSG00000198805"	4.54125698370122
"10"	"darkslateblue"	TRUE	0.0379	242	264	14	0.053	0.058	"GO:0062012"	"BP"	1	"regulation of small molecule metabolic process"	2	"ENSG00000074800,ENSG00000079385,ENSG00000079459,ENSG00000099194,ENSG00000104549,ENSG00000109929,ENSG00000111424,ENSG00000112972,ENSG00000114268,ENSG00000152256,ENSG00000167508,ENSG00000170525,ENSG00000171314,ENSG00000172893"	NA
"11"	"darkslateblue"	TRUE	3.43e-06	564	264	30	0.114	0.053	"GO:0044283"	"BP"	1	"small molecule biosynthetic process"	2	"ENSG00000052802,ENSG00000074800,ENSG00000079385,ENSG00000079459,ENSG00000099194,ENSG00000102144,ENSG00000103044,ENSG00000104549,ENSG00000109107,ENSG00000109929,ENSG00000111424,ENSG00000111640,ENSG00000111669,ENSG00000112972,ENSG00000114268,ENSG00000115919,ENSG00000147155,ENSG00000147383,ENSG00000148334,ENSG00000148926,ENSG00000149925,ENSG00000156515,ENSG00000159399,ENSG00000163931,ENSG00000164300,ENSG00000167508,ENSG00000170525,ENSG00000171314,ENSG00000172893,ENSG00000198805"	5.10585774113453
"12"	"darkslateblue"	TRUE	0.0017	110	264	11	0.042	0.1	"GO:0046165"	"BP"	1	"alcohol biosynthetic process"	3	"ENSG00000052802,ENSG00000079459,ENSG00000099194,ENSG00000104549,ENSG00000109929,ENSG00000111424,ENSG00000112972,ENSG00000147155,ENSG00000147383,ENSG00000167508,ENSG00000172893"	6.4647857305604
"13"	"darkslateblue"	TRUE	3.39e-05	59	264	10	0.038	0.169	"GO:1902653"	"BP"	1	"secondary alcohol biosynthetic process"	4	"ENSG00000052802,ENSG00000079459,ENSG00000099194,ENSG00000104549,ENSG00000109929,ENSG00000112972,ENSG00000147155,ENSG00000147383,ENSG00000167508,ENSG00000172893"	7.6364231542434
"14"	"darkslateblue"	TRUE	0.0107	64	264	8	0.03	0.125	"GO:1902930"	"BP"	1	"regulation of alcohol biosynthetic process"	4	"ENSG00000079459,ENSG00000099194,ENSG00000104549,ENSG00000109929,ENSG00000111424,ENSG00000112972,ENSG00000167508,ENSG00000172893"	7.81874471103735
"15"	"darkslateblue"	TRUE	0.00261	139	264	12	0.045	0.086	"GO:0034404"	"BP"	1	"nucleobase-containing small molecule biosynthetic process"	3	"ENSG00000074800,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000149925,ENSG00000156515,ENSG00000159399,ENSG00000170525,ENSG00000171314,ENSG00000198805"	Inf
"16"	"darkslateblue"	TRUE	1.1e-06	124	264	15	0.057	0.121	"GO:0072524"	"BP"	1	"pyridine-containing compound metabolic process"	1	"ENSG00000074800,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000115919,ENSG00000149925,ENSG00000156515,ENSG00000159399,ENSG00000163931,ENSG00000169299,ENSG00000170525,ENSG00000171314,ENSG00000198805"	6.47897036555236
"17"	"darkslateblue"	TRUE	0.000615	449	264	23	0.087	0.051	"GO:0051186"	"BP"	1	"cofactor metabolic process"	1	"ENSG00000074800,ENSG00000099194,ENSG00000102144,ENSG00000105755,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000115919,ENSG00000117394,ENSG00000123983,ENSG00000136238,ENSG00000149925,ENSG00000151726,ENSG00000152256,ENSG00000156515,ENSG00000159399,ENSG00000163931,ENSG00000167508,ENSG00000169299,ENSG00000170525,ENSG00000171314,ENSG00000198805"	5.40445562846331
"18"	"darkslateblue"	TRUE	6.82e-06	293	264	21	0.08	0.072	"GO:0006732"	"BP"	1	"coenzyme metabolic process"	2	"ENSG00000074800,ENSG00000099194,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000115919,ENSG00000117394,ENSG00000123983,ENSG00000149925,ENSG00000151726,ENSG00000152256,ENSG00000156515,ENSG00000159399,ENSG00000163931,ENSG00000167508,ENSG00000169299,ENSG00000170525,ENSG00000171314,ENSG00000198805"	5.62759917977752
"19"	"darkslateblue"	TRUE	2.67e-06	132	264	15	0.057	0.114	"GO:0006733"	"BP"	1	"oxidoreduction coenzyme metabolic process"	3	"ENSG00000074800,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000115919,ENSG00000149925,ENSG00000156515,ENSG00000159399,ENSG00000163931,ENSG00000169299,ENSG00000170525,ENSG00000171314,ENSG00000198805"	6.43245034991746
"20"	"darkslateblue"	TRUE	4.12e-05	211	264	17	0.064	0.081	"GO:0051188"	"BP"	1	"cofactor biosynthetic process"	2	"ENSG00000074800,ENSG00000099194,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000115919,ENSG00000123983,ENSG00000149925,ENSG00000151726,ENSG00000152256,ENSG00000156515,ENSG00000159399,ENSG00000170525,ENSG00000171314,ENSG00000198805"	6.34961434433831
"21"	"darkslateblue"	TRUE	1.27e-06	168	264	17	0.064	0.101	"GO:0009108"	"BP"	1	"coenzyme biosynthetic process"	3	"ENSG00000074800,ENSG00000099194,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000115919,ENSG00000123983,ENSG00000149925,ENSG00000151726,ENSG00000152256,ENSG00000156515,ENSG00000159399,ENSG00000170525,ENSG00000171314,ENSG00000198805"	6.62207120919303
"22"	"darkslateblue"	TRUE	0.0159	322	264	17	0.064	0.053	"GO:0016053"	"BP"	1	"organic acid biosynthetic process"	1	"ENSG00000074800,ENSG00000079385,ENSG00000099194,ENSG00000102144,ENSG00000103044,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000115919,ENSG00000148334,ENSG00000149925,ENSG00000156515,ENSG00000159399,ENSG00000164300,ENSG00000170525,ENSG00000171314"	5.72351930165626
"23"	"darkslateblue"	TRUE	0.00262	381	264	20	0.076	0.052	"GO:0005975"	"BP"	1	"carbohydrate metabolic process"	1	"ENSG00000062485,ENSG00000074800,ENSG00000102144,ENSG00000103044,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000115339,ENSG00000117308,ENSG00000117394,ENSG00000142583,ENSG00000149925,ENSG00000152256,ENSG00000156515,ENSG00000159399,ENSG00000163931,ENSG00000169299,ENSG00000170525,ENSG00000171314"	4.35017192690243
"24"	"darkslateblue"	TRUE	0.0042	200	264	14	0.053	0.07	"GO:0005996"	"BP"	1	"monosaccharide metabolic process"	2	"ENSG00000074800,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000117308,ENSG00000117394,ENSG00000149925,ENSG00000152256,ENSG00000156515,ENSG00000159399,ENSG00000163931,ENSG00000169299,ENSG00000171314"	5.59954122698236
"25"	"darkslateblue"	TRUE	0.0107	159	264	12	0.045	0.075	"GO:0019318"	"BP"	1	"hexose metabolic process"	3	"ENSG00000074800,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000117308,ENSG00000149925,ENSG00000152256,ENSG00000156515,ENSG00000159399,ENSG00000169299,ENSG00000171314"	5.80992073657147
"26"	"darkslateblue"	TRUE	0.0379	124	264	10	0.038	0.081	"GO:0006006"	"BP"	1	"glucose metabolic process"	4	"ENSG00000074800,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000149925,ENSG00000152256,ENSG00000156515,ENSG00000159399,ENSG00000171314"	5.9710059740674
"27"	"darkslateblue"	TRUE	0.0139	136	264	11	0.042	0.081	"GO:0016051"	"BP"	1	"carbohydrate biosynthetic process"	2	"ENSG00000074800,ENSG00000102144,ENSG00000103044,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000117394,ENSG00000149925,ENSG00000163931,ENSG00000169299,ENSG00000171314"	6.2848143511114
"28"	"darkslateblue"	TRUE	0.0107	64	264	8	0.03	0.125	"GO:0046364"	"BP"	1	"monosaccharide biosynthetic process"	3	"ENSG00000074800,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000149925,ENSG00000163931,ENSG00000171314"	7.12559753047741
"29"	"darkslateblue"	TRUE	0.0394	2583	264	64	0.242	0.025	"GO:0006796"	"BP"	1	"phosphate-containing compound metabolic process"	1	"ENSG00000026508,ENSG00000028116,ENSG00000035664,ENSG00000069956,ENSG00000074800,ENSG00000079385,ENSG00000079459,ENSG00000092820,ENSG00000096063,ENSG00000099194,ENSG00000102144,ENSG00000107679,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000112237,ENSG00000112715,ENSG00000113575,ENSG00000113648,ENSG00000113712,ENSG00000114268,ENSG00000115919,ENSG00000123983,ENSG00000130164,ENSG00000133275,ENSG00000133703,ENSG00000135503,ENSG00000136238,ENSG00000136754,ENSG00000138018,ENSG00000138376,ENSG00000141503,ENSG00000142273,ENSG00000142867,ENSG00000143125,ENSG00000144118,ENSG00000147889,ENSG00000148926,ENSG00000149925,ENSG00000151239,ENSG00000151726,ENSG00000152256,ENSG00000156515,ENSG00000159399,ENSG00000163931,ENSG00000164086,ENSG00000164251,ENSG00000164300,ENSG00000165195,ENSG00000166855,ENSG00000167508,ENSG00000168209,ENSG00000169299,ENSG00000170425,ENSG00000170525,ENSG00000171314,ENSG00000172939,ENSG00000178741,ENSG00000180817,ENSG00000181467,ENSG00000185043,ENSG00000198805,ENSG00000213281,ENSG00000241484"	2.95766461159782
"30"	"darkslateblue"	TRUE	0.0074	519	264	23	0.087	0.044	"GO:0006753"	"BP"	1	"nucleoside phosphate metabolic process"	2	"ENSG00000074800,ENSG00000099194,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000115919,ENSG00000123983,ENSG00000148926,ENSG00000149925,ENSG00000151726,ENSG00000152256,ENSG00000156515,ENSG00000159399,ENSG00000163931,ENSG00000166855,ENSG00000167508,ENSG00000169299,ENSG00000170525,ENSG00000171314,ENSG00000178741,ENSG00000198805"	4.79080929698873
"31"	"darkslateblue"	TRUE	7.87e-05	248	264	18	0.068	0.073	"GO:1901293"	"BP"	1	"nucleoside phosphate biosynthetic process"	3	"ENSG00000074800,ENSG00000099194,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000115919,ENSG00000123983,ENSG00000148926,ENSG00000149925,ENSG00000151726,ENSG00000152256,ENSG00000156515,ENSG00000159399,ENSG00000170525,ENSG00000171314,ENSG00000198805"	5.52345892052492
"32"	"darkslateblue"	TRUE	0.00155	109	264	11	0.042	0.101	"GO:0009142"	"BP"	1	"nucleoside triphosphate biosynthetic process"	4	"ENSG00000074800,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000149925,ENSG00000156515,ENSG00000159399,ENSG00000170525,ENSG00000171314"	7.02205685153657
"33"	"darkslateblue"	TRUE	0.000644	100	264	11	0.042	0.11	"GO:0009201"	"BP"	1	"ribonucleoside triphosphate biosynthetic process"	5	"ENSG00000074800,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000149925,ENSG00000156515,ENSG00000159399,ENSG00000170525,ENSG00000171314"	7.20110508298555
"34"	"darkslateblue"	TRUE	0.000581	99	264	11	0.042	0.111	"GO:0009145"	"BP"	1	"purine nucleoside triphosphate biosynthetic process"	5	"ENSG00000074800,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000149925,ENSG00000156515,ENSG00000159399,ENSG00000170525,ENSG00000171314"	7.48227247441614
"35"	"darkslateblue"	TRUE	0.000581	99	264	11	0.042	0.111	"GO:0009206"	"BP"	1	"purine ribonucleoside triphosphate biosynthetic process"	6	"ENSG00000074800,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000149925,ENSG00000156515,ENSG00000159399,ENSG00000170525,ENSG00000171314"	7.52201280306566
"36"	"darkslateblue"	TRUE	1.7e-05	71	264	11	0.042	0.155	"GO:0009132"	"BP"	1	"nucleoside diphosphate metabolic process"	3	"ENSG00000074800,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000149925,ENSG00000156515,ENSG00000159399,ENSG00000170525,ENSG00000171314"	6.76983209092152
"37"	"darkslateblue"	TRUE	3.8e-06	62	264	11	0.042	0.177	"GO:0009135"	"BP"	1	"purine nucleoside diphosphate metabolic process"	4	"ENSG00000074800,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000149925,ENSG00000156515,ENSG00000159399,ENSG00000170525,ENSG00000171314"	7.00579633066479
"38"	"darkslateblue"	TRUE	5.41e-06	64	264	11	0.042	0.172	"GO:0009185"	"BP"	1	"ribonucleoside diphosphate metabolic process"	4	"ENSG00000074800,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000149925,ENSG00000156515,ENSG00000159399,ENSG00000170525,ENSG00000171314"	7.03858615348778
"39"	"darkslateblue"	TRUE	3.8e-06	62	264	11	0.042	0.177	"GO:0009179"	"BP"	1	"purine ribonucleoside diphosphate metabolic process"	5	"ENSG00000074800,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000149925,ENSG00000156515,ENSG00000159399,ENSG00000170525,ENSG00000171314"	7.05539327180416
"40"	"darkslateblue"	TRUE	0.0059	512	264	23	0.087	0.045	"GO:0009117"	"BP"	1	"nucleotide metabolic process"	3	"ENSG00000074800,ENSG00000099194,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000115919,ENSG00000123983,ENSG00000148926,ENSG00000149925,ENSG00000151726,ENSG00000152256,ENSG00000156515,ENSG00000159399,ENSG00000163931,ENSG00000166855,ENSG00000167508,ENSG00000169299,ENSG00000170525,ENSG00000171314,ENSG00000178741,ENSG00000198805"	4.84043607863062
"41"	"darkslateblue"	TRUE	6.08e-07	119	264	15	0.057	0.126	"GO:0019362"	"BP"	1	"pyridine nucleotide metabolic process"	4	"ENSG00000074800,ENSG00000102144,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000114268,ENSG00000115919,ENSG00000149925,ENSG00000156515,ENSG00000159399,ENSG00000163931,ENSG00000169299,ENSG00000170525,ENSG00000171314,ENSG00000198805"	6.58963593343988
