"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"1"	"purple"	TRUE	0.0409	4200	276	96	0.348	0.023	"GO:0044428"	"CC"	2	"nuclear part"	1	"ENSG00000005206,ENSG00000011243,ENSG00000013573,ENSG00000038358,ENSG00000039650,ENSG00000044090,ENSG00000064961,ENSG00000071894,ENSG00000072778,ENSG00000076201,ENSG00000076924,ENSG00000092094,ENSG00000094631,ENSG00000100056,ENSG00000100083,ENSG00000100241,ENSG00000100429,ENSG00000100726,ENSG00000102878,ENSG00000102901,ENSG00000102977,ENSG00000103168,ENSG00000103249,ENSG00000103549,ENSG00000104852,ENSG00000104907,ENSG00000105221,ENSG00000108465,ENSG00000108773,ENSG00000108840,ENSG00000110274,ENSG00000116809,ENSG00000122515,ENSG00000122678,ENSG00000125755,ENSG00000126456,ENSG00000127054,ENSG00000127511,ENSG00000128482,ENSG00000128563,ENSG00000130254,ENSG00000130475,ENSG00000130726,ENSG00000132005,ENSG00000132207,ENSG00000132781,ENSG00000133316,ENSG00000136271,ENSG00000137497,ENSG00000137802,ENSG00000140400,ENSG00000141524,ENSG00000145020,ENSG00000145214,ENSG00000148335,ENSG00000148341,ENSG00000149091,ENSG00000154222,ENSG00000154832,ENSG00000155229,ENSG00000158941,ENSG00000161265,ENSG00000164880,ENSG00000165684,ENSG00000166986,ENSG00000167895,ENSG00000167967,ENSG00000168255,ENSG00000169249,ENSG00000169592,ENSG00000172613,ENSG00000174669,ENSG00000176248,ENSG00000176444,ENSG00000177595,ENSG00000178028,ENSG00000180900,ENSG00000181045,ENSG00000182179,ENSG00000182872,ENSG00000183426,ENSG00000183889,ENSG00000185024,ENSG00000185163,ENSG00000185324,ENSG00000186111,ENSG00000196284,ENSG00000197774,ENSG00000198026,ENSG00000204227,ENSG00000204463,ENSG00000204859,ENSG00000228049,ENSG00000239382,ENSG00000242802,ENSG00000243716"	2.26686113785937
"2"	"purple"	TRUE	0.0481	3933	276	91	0.33	0.023	"GO:0031981"	"CC"	2	"nuclear lumen"	2	"ENSG00000005206,ENSG00000011243,ENSG00000013573,ENSG00000038358,ENSG00000039650,ENSG00000064961,ENSG00000071894,ENSG00000072778,ENSG00000076201,ENSG00000076924,ENSG00000092094,ENSG00000094631,ENSG00000100083,ENSG00000100241,ENSG00000100429,ENSG00000100726,ENSG00000102878,ENSG00000102901,ENSG00000102977,ENSG00000103168,ENSG00000103249,ENSG00000103549,ENSG00000104852,ENSG00000104907,ENSG00000105221,ENSG00000108465,ENSG00000108773,ENSG00000108840,ENSG00000110274,ENSG00000116809,ENSG00000122515,ENSG00000122678,ENSG00000125755,ENSG00000126456,ENSG00000127054,ENSG00000127511,ENSG00000128482,ENSG00000128563,ENSG00000130254,ENSG00000130475,ENSG00000130726,ENSG00000132005,ENSG00000132207,ENSG00000132781,ENSG00000133316,ENSG00000136271,ENSG00000137497,ENSG00000140400,ENSG00000145020,ENSG00000145214,ENSG00000148335,ENSG00000148341,ENSG00000149091,ENSG00000154222,ENSG00000154832,ENSG00000155229,ENSG00000158941,ENSG00000161265,ENSG00000164880,ENSG00000165684,ENSG00000166986,ENSG00000167967,ENSG00000168255,ENSG00000169249,ENSG00000169592,ENSG00000172613,ENSG00000174669,ENSG00000176248,ENSG00000176444,ENSG00000177595,ENSG00000178028,ENSG00000180900,ENSG00000181045,ENSG00000182179,ENSG00000182872,ENSG00000183426,ENSG00000183889,ENSG00000185024,ENSG00000185163,ENSG00000185324,ENSG00000186111,ENSG00000196284,ENSG00000197774,ENSG00000198026,ENSG00000204227,ENSG00000204463,ENSG00000204859,ENSG00000228049,ENSG00000239382,ENSG00000242802,ENSG00000243716"	2.48419377213271
"3"	"purple"	TRUE	0.0279	3384	276	82	0.297	0.024	"GO:0005654"	"CC"	2	"nucleoplasm"	2	"ENSG00000005206,ENSG00000011243,ENSG00000013573,ENSG00000038358,ENSG00000039650,ENSG00000064961,ENSG00000071894,ENSG00000076201,ENSG00000076924,ENSG00000092094,ENSG00000094631,ENSG00000100083,ENSG00000100241,ENSG00000100429,ENSG00000100726,ENSG00000102878,ENSG00000102901,ENSG00000102977,ENSG00000103168,ENSG00000103249,ENSG00000103549,ENSG00000104852,ENSG00000104907,ENSG00000105221,ENSG00000108773,ENSG00000108840,ENSG00000110274,ENSG00000116809,ENSG00000122515,ENSG00000122678,ENSG00000125755,ENSG00000126456,ENSG00000127054,ENSG00000127511,ENSG00000128482,ENSG00000130254,ENSG00000130475,ENSG00000130726,ENSG00000132005,ENSG00000132207,ENSG00000132781,ENSG00000137497,ENSG00000140400,ENSG00000145020,ENSG00000145214,ENSG00000148335,ENSG00000148341,ENSG00000149091,ENSG00000154222,ENSG00000154832,ENSG00000155229,ENSG00000158941,ENSG00000161265,ENSG00000164880,ENSG00000165684,ENSG00000167967,ENSG00000168255,ENSG00000169249,ENSG00000169592,ENSG00000172613,ENSG00000176248,ENSG00000176444,ENSG00000177595,ENSG00000178028,ENSG00000180900,ENSG00000181045,ENSG00000182179,ENSG00000182872,ENSG00000183426,ENSG00000183889,ENSG00000185024,ENSG00000185324,ENSG00000186111,ENSG00000196284,ENSG00000198026,ENSG00000204227,ENSG00000204463,ENSG00000204859,ENSG00000228049,ENSG00000239382,ENSG00000242802,ENSG00000243716"	2.82602063333852
"4"	"purple"	TRUE	0.0415	8082	276	160	0.58	0.02	"GO:0044422"	"CC"	4	"organelle part"	1	"ENSG00000005206,ENSG00000007516,ENSG00000011243,ENSG00000013573,ENSG00000038358,ENSG00000039523,ENSG00000039650,ENSG00000044090,ENSG00000058453,ENSG00000064961,ENSG00000069424,ENSG00000071894,ENSG00000072778,ENSG00000075826,ENSG00000076201,ENSG00000076924,ENSG00000079974,ENSG00000080573,ENSG00000092094,ENSG00000094631,ENSG00000099821,ENSG00000100056,ENSG00000100083,ENSG00000100197,ENSG00000100241,ENSG00000100258,ENSG00000100299,ENSG00000100429,ENSG00000100726,ENSG00000102878,ENSG00000102901,ENSG00000102977,ENSG00000103168,ENSG00000103227,ENSG00000103249,ENSG00000103549,ENSG00000104852,ENSG00000104907,ENSG00000105221,ENSG00000105726,ENSG00000107331,ENSG00000108465,ENSG00000108773,ENSG00000108840,ENSG00000109063,ENSG00000109736,ENSG00000110274,ENSG00000110697,ENSG00000111203,ENSG00000114841,ENSG00000116809,ENSG00000117385,ENSG00000117480,ENSG00000122515,ENSG00000122678,ENSG00000124574,ENSG00000125447,ENSG00000125746,ENSG00000125755,ENSG00000126001,ENSG00000126456,ENSG00000127054,ENSG00000127415,ENSG00000127419,ENSG00000127511,ENSG00000128159,ENSG00000128298,ENSG00000128482,ENSG00000128563,ENSG00000130175,ENSG00000130254,ENSG00000130475,ENSG00000130726,ENSG00000131748,ENSG00000132005,ENSG00000132207,ENSG00000132376,ENSG00000132781,ENSG00000133316,ENSG00000136271,ENSG00000137497,ENSG00000137802,ENSG00000138002,ENSG00000138834,ENSG00000140400,ENSG00000140474,ENSG00000140983,ENSG00000141524,ENSG00000141577,ENSG00000143793,ENSG00000144589,ENSG00000145020,ENSG00000145214,ENSG00000148335,ENSG00000148341,ENSG00000149091,ENSG00000154222,ENSG00000154832,ENSG00000155229,ENSG00000158941,ENSG00000160226,ENSG00000160323,ENSG00000161265,ENSG00000162004,ENSG00000162241,ENSG00000164880,ENSG00000165684,ENSG00000166986,ENSG00000167702,ENSG00000167895,ENSG00000167967,ENSG00000168067,ENSG00000168071,ENSG00000168255,ENSG00000169249,ENSG00000169592,ENSG00000172613,ENSG00000173653,ENSG00000174669,ENSG00000176248,ENSG00000176444,ENSG00000176945,ENSG00000177239,ENSG00000177595,ENSG00000178028,ENSG00000180448,ENSG00000180900,ENSG00000181045,ENSG00000182179,ENSG00000182872,ENSG00000183426,ENSG00000183889,ENSG00000184381,ENSG00000185000,ENSG00000185024,ENSG00000185163,ENSG00000185324,ENSG00000185359,ENSG00000186111,ENSG00000188603,ENSG00000188878,ENSG00000196187,ENSG00000196284,ENSG00000197774,ENSG00000198026,ENSG00000204227,ENSG00000204463,ENSG00000204859,ENSG00000205560,ENSG00000213339,ENSG00000213983,ENSG00000215305,ENSG00000223501,ENSG00000228049,ENSG00000239382,ENSG00000242802,ENSG00000243708,ENSG00000243716,ENSG00000246922,ENSG00000262246"	1.42400670158964
"5"	"purple"	TRUE	9.08e-06	12325	276	233	0.844	0.019	"GO:0005622"	"CC"	3	"intracellular"	1	"ENSG00000004534,ENSG00000005206,ENSG00000007516,ENSG00000010322,ENSG00000011243,ENSG00000013573,ENSG00000038358,ENSG00000039523,ENSG00000039650,ENSG00000044090,ENSG00000053702,ENSG00000058453,ENSG00000061938,ENSG00000064961,ENSG00000069424,ENSG00000071894,ENSG00000072778,ENSG00000075826,ENSG00000076201,ENSG00000076924,ENSG00000076928,ENSG00000076984,ENSG00000078061,ENSG00000079974,ENSG00000080573,ENSG00000088038,ENSG00000089820,ENSG00000092094,ENSG00000094631,ENSG00000099326,ENSG00000099821,ENSG00000099840,ENSG00000099949,ENSG00000100038,ENSG00000100056,ENSG00000100083,ENSG00000100197,ENSG00000100241,ENSG00000100258,ENSG00000100288,ENSG00000100299,ENSG00000100359,ENSG00000100429,ENSG00000100445,ENSG00000100726,ENSG00000101199,ENSG00000102878,ENSG00000102901,ENSG00000102977,ENSG00000103126,ENSG00000103168,ENSG00000103197,ENSG00000103227,ENSG00000103249,ENSG00000103549,ENSG00000104825,ENSG00000104852,ENSG00000104907,ENSG00000104946,ENSG00000104960,ENSG00000105063,ENSG00000105221,ENSG00000105726,ENSG00000107331,ENSG00000107829,ENSG00000108465,ENSG00000108773,ENSG00000108840,ENSG00000109063,ENSG00000109736,ENSG00000110274,ENSG00000110697,ENSG00000111203,ENSG00000112659,ENSG00000114735,ENSG00000114841,ENSG00000115694,ENSG00000116809,ENSG00000117385,ENSG00000117480,ENSG00000119943,ENSG00000121310,ENSG00000122515,ENSG00000122678,ENSG00000124574,ENSG00000124608,ENSG00000125447,ENSG00000125746,ENSG00000125755,ENSG00000126001,ENSG00000126456,ENSG00000127054,ENSG00000127415,ENSG00000127419,ENSG00000127511,ENSG00000127527,ENSG00000128159,ENSG00000128298,ENSG00000128482,ENSG00000128563,ENSG00000130175,ENSG00000130254,ENSG00000130475,ENSG00000130653,ENSG00000130726,ENSG00000130758,ENSG00000131748,ENSG00000132005,ENSG00000132207,ENSG00000132376,ENSG00000132740,ENSG00000132781,ENSG00000132879,ENSG00000133316,ENSG00000135622,ENSG00000136059,ENSG00000136271,ENSG00000137497,ENSG00000137802,ENSG00000137841,ENSG00000138002,ENSG00000138834,ENSG00000140400,ENSG00000140474,ENSG00000140488,ENSG00000140983,ENSG00000141002,ENSG00000141503,ENSG00000141524,ENSG00000141577,ENSG00000142002,ENSG00000142102,ENSG00000142330,ENSG00000142765,ENSG00000143793,ENSG00000144589,ENSG00000145020,ENSG00000145214,ENSG00000148335,ENSG00000148341,ENSG00000149091,ENSG00000149499,ENSG00000151006,ENSG00000154222,ENSG00000154832,ENSG00000155229,ENSG00000156873,ENSG00000157353,ENSG00000158717,ENSG00000158941,ENSG00000159753,ENSG00000160226,ENSG00000160323,ENSG00000161265,ENSG00000162004,ENSG00000162241,ENSG00000162572,ENSG00000164880,ENSG00000165684,ENSG00000166986,ENSG00000167657,ENSG00000167702,ENSG00000167895,ENSG00000167967,ENSG00000168067,ENSG00000168071,ENSG00000168255,ENSG00000168397,ENSG00000169249,ENSG00000169592,ENSG00000172613,ENSG00000173653,ENSG00000174669,ENSG00000175115,ENSG00000176248,ENSG00000176293,ENSG00000176444,ENSG00000176945,ENSG00000177239,ENSG00000177548,ENSG00000177595,ENSG00000178028,ENSG00000178950,ENSG00000179698,ENSG00000180448,ENSG00000180900,ENSG00000181045,ENSG00000181790,ENSG00000182179,ENSG00000182872,ENSG00000183426,ENSG00000183889,ENSG00000184381,ENSG00000185000,ENSG00000185024,ENSG00000185163,ENSG00000185324,ENSG00000185359,ENSG00000186111,ENSG00000187609,ENSG00000188566,ENSG00000188603,ENSG00000188747,ENSG00000188878,ENSG00000196187,ENSG00000196284,ENSG00000197530,ENSG00000197774,ENSG00000197948,ENSG00000198026,ENSG00000198089,ENSG00000204227,ENSG00000204348,ENSG00000204351,ENSG00000204463,ENSG00000204859,ENSG00000205560,ENSG00000205702,ENSG00000205744,ENSG00000213339,ENSG00000213445,ENSG00000213930,ENSG00000213931,ENSG00000213983,ENSG00000215305,ENSG00000223501,ENSG00000228049,ENSG00000239382,ENSG00000242802,ENSG00000243708,ENSG00000243716,ENSG00000246922,ENSG00000262246"	0.535768712823952
"6"	"purple"	TRUE	1.77e-05	12227	276	231	0.837	0.019	"GO:0044424"	"CC"	3	"intracellular part"	2	"ENSG00000004534,ENSG00000005206,ENSG00000007516,ENSG00000010322,ENSG00000011243,ENSG00000013573,ENSG00000038358,ENSG00000039523,ENSG00000039650,ENSG00000044090,ENSG00000053702,ENSG00000058453,ENSG00000061938,ENSG00000064961,ENSG00000069424,ENSG00000071894,ENSG00000072778,ENSG00000075826,ENSG00000076201,ENSG00000076924,ENSG00000076928,ENSG00000076984,ENSG00000078061,ENSG00000079974,ENSG00000080573,ENSG00000088038,ENSG00000089820,ENSG00000092094,ENSG00000094631,ENSG00000099326,ENSG00000099821,ENSG00000099840,ENSG00000099949,ENSG00000100038,ENSG00000100056,ENSG00000100083,ENSG00000100197,ENSG00000100241,ENSG00000100258,ENSG00000100288,ENSG00000100299,ENSG00000100359,ENSG00000100429,ENSG00000100445,ENSG00000100726,ENSG00000101199,ENSG00000102878,ENSG00000102901,ENSG00000102977,ENSG00000103126,ENSG00000103168,ENSG00000103197,ENSG00000103227,ENSG00000103249,ENSG00000103549,ENSG00000104825,ENSG00000104852,ENSG00000104907,ENSG00000104946,ENSG00000104960,ENSG00000105063,ENSG00000105221,ENSG00000105726,ENSG00000107331,ENSG00000107829,ENSG00000108465,ENSG00000108773,ENSG00000108840,ENSG00000109063,ENSG00000109736,ENSG00000110274,ENSG00000110697,ENSG00000111203,ENSG00000112659,ENSG00000114735,ENSG00000114841,ENSG00000115694,ENSG00000116809,ENSG00000117385,ENSG00000117480,ENSG00000121310,ENSG00000122515,ENSG00000122678,ENSG00000124574,ENSG00000124608,ENSG00000125447,ENSG00000125746,ENSG00000125755,ENSG00000126001,ENSG00000126456,ENSG00000127054,ENSG00000127415,ENSG00000127419,ENSG00000127511,ENSG00000127527,ENSG00000128159,ENSG00000128298,ENSG00000128482,ENSG00000128563,ENSG00000130175,ENSG00000130254,ENSG00000130475,ENSG00000130653,ENSG00000130726,ENSG00000130758,ENSG00000131748,ENSG00000132005,ENSG00000132207,ENSG00000132376,ENSG00000132740,ENSG00000132781,ENSG00000132879,ENSG00000133316,ENSG00000135622,ENSG00000136059,ENSG00000136271,ENSG00000137497,ENSG00000137802,ENSG00000137841,ENSG00000138002,ENSG00000138834,ENSG00000140400,ENSG00000140474,ENSG00000140488,ENSG00000140983,ENSG00000141002,ENSG00000141503,ENSG00000141524,ENSG00000141577,ENSG00000142002,ENSG00000142102,ENSG00000142330,ENSG00000142765,ENSG00000143793,ENSG00000144589,ENSG00000145020,ENSG00000145214,ENSG00000148335,ENSG00000148341,ENSG00000149091,ENSG00000149499,ENSG00000151006,ENSG00000154222,ENSG00000154832,ENSG00000155229,ENSG00000156873,ENSG00000157353,ENSG00000158941,ENSG00000159753,ENSG00000160226,ENSG00000160323,ENSG00000161265,ENSG00000162004,ENSG00000162241,ENSG00000162572,ENSG00000164880,ENSG00000165684,ENSG00000166986,ENSG00000167657,ENSG00000167702,ENSG00000167895,ENSG00000167967,ENSG00000168067,ENSG00000168071,ENSG00000168255,ENSG00000168397,ENSG00000169249,ENSG00000169592,ENSG00000172613,ENSG00000173653,ENSG00000174669,ENSG00000175115,ENSG00000176248,ENSG00000176293,ENSG00000176444,ENSG00000176945,ENSG00000177239,ENSG00000177548,ENSG00000177595,ENSG00000178028,ENSG00000178950,ENSG00000179698,ENSG00000180448,ENSG00000180900,ENSG00000181045,ENSG00000181790,ENSG00000182179,ENSG00000182872,ENSG00000183426,ENSG00000183889,ENSG00000184381,ENSG00000185000,ENSG00000185024,ENSG00000185163,ENSG00000185324,ENSG00000185359,ENSG00000186111,ENSG00000187609,ENSG00000188566,ENSG00000188603,ENSG00000188747,ENSG00000188878,ENSG00000196187,ENSG00000196284,ENSG00000197530,ENSG00000197774,ENSG00000197948,ENSG00000198026,ENSG00000198089,ENSG00000204227,ENSG00000204348,ENSG00000204351,ENSG00000204463,ENSG00000204859,ENSG00000205560,ENSG00000205702,ENSG00000205744,ENSG00000213339,ENSG00000213445,ENSG00000213930,ENSG00000213931,ENSG00000213983,ENSG00000215305,ENSG00000223501,ENSG00000228049,ENSG00000239382,ENSG00000242802,ENSG00000243708,ENSG00000243716,ENSG00000246922,ENSG00000262246"	0.550802445394251
"7"	"purple"	TRUE	0.00167	10321	276	199	0.721	0.019	"GO:0043229"	"CC"	3	"intracellular organelle"	3	"ENSG00000004534,ENSG00000005206,ENSG00000007516,ENSG00000011243,ENSG00000013573,ENSG00000038358,ENSG00000039523,ENSG00000039650,ENSG00000044090,ENSG00000058453,ENSG00000061938,ENSG00000064961,ENSG00000069424,ENSG00000071894,ENSG00000072778,ENSG00000075826,ENSG00000076201,ENSG00000076924,ENSG00000076984,ENSG00000078061,ENSG00000079974,ENSG00000080573,ENSG00000088038,ENSG00000092094,ENSG00000094631,ENSG00000099326,ENSG00000099821,ENSG00000099840,ENSG00000099949,ENSG00000100038,ENSG00000100056,ENSG00000100083,ENSG00000100197,ENSG00000100241,ENSG00000100258,ENSG00000100299,ENSG00000100429,ENSG00000100445,ENSG00000100726,ENSG00000102878,ENSG00000102901,ENSG00000102977,ENSG00000103126,ENSG00000103168,ENSG00000103197,ENSG00000103227,ENSG00000103249,ENSG00000103549,ENSG00000104852,ENSG00000104907,ENSG00000104946,ENSG00000104960,ENSG00000105221,ENSG00000105726,ENSG00000107331,ENSG00000108465,ENSG00000108773,ENSG00000108840,ENSG00000109063,ENSG00000109736,ENSG00000110274,ENSG00000110697,ENSG00000111203,ENSG00000114735,ENSG00000114841,ENSG00000115694,ENSG00000116809,ENSG00000117385,ENSG00000117480,ENSG00000121310,ENSG00000122515,ENSG00000122678,ENSG00000124574,ENSG00000124608,ENSG00000125447,ENSG00000125746,ENSG00000125755,ENSG00000126001,ENSG00000126456,ENSG00000127054,ENSG00000127415,ENSG00000127419,ENSG00000127511,ENSG00000128159,ENSG00000128298,ENSG00000128482,ENSG00000128563,ENSG00000130175,ENSG00000130254,ENSG00000130475,ENSG00000130653,ENSG00000130726,ENSG00000131748,ENSG00000132005,ENSG00000132207,ENSG00000132376,ENSG00000132740,ENSG00000132781,ENSG00000133316,ENSG00000135622,ENSG00000136059,ENSG00000136271,ENSG00000137497,ENSG00000137802,ENSG00000138002,ENSG00000138834,ENSG00000140400,ENSG00000140488,ENSG00000140983,ENSG00000141002,ENSG00000141503,ENSG00000141524,ENSG00000141577,ENSG00000142330,ENSG00000142765,ENSG00000143793,ENSG00000144589,ENSG00000145020,ENSG00000145214,ENSG00000148335,ENSG00000148341,ENSG00000149091,ENSG00000149499,ENSG00000154222,ENSG00000154832,ENSG00000155229,ENSG00000158941,ENSG00000159753,ENSG00000160226,ENSG00000160323,ENSG00000161265,ENSG00000162004,ENSG00000162241,ENSG00000162572,ENSG00000164880,ENSG00000165684,ENSG00000166986,ENSG00000167657,ENSG00000167702,ENSG00000167895,ENSG00000167967,ENSG00000168067,ENSG00000168071,ENSG00000168255,ENSG00000169249,ENSG00000169592,ENSG00000172613,ENSG00000173653,ENSG00000174669,ENSG00000176248,ENSG00000176293,ENSG00000176444,ENSG00000176945,ENSG00000177239,ENSG00000177548,ENSG00000177595,ENSG00000178028,ENSG00000178950,ENSG00000180448,ENSG00000180900,ENSG00000181045,ENSG00000182179,ENSG00000182872,ENSG00000183426,ENSG00000183889,ENSG00000184381,ENSG00000185000,ENSG00000185024,ENSG00000185163,ENSG00000185324,ENSG00000185359,ENSG00000186111,ENSG00000187609,ENSG00000188566,ENSG00000188603,ENSG00000188878,ENSG00000196187,ENSG00000196284,ENSG00000197774,ENSG00000197948,ENSG00000198026,ENSG00000204227,ENSG00000204348,ENSG00000204463,ENSG00000204859,ENSG00000205560,ENSG00000205702,ENSG00000213339,ENSG00000213930,ENSG00000213983,ENSG00000215305,ENSG00000223501,ENSG00000228049,ENSG00000239382,ENSG00000242802,ENSG00000243708,ENSG00000243716,ENSG00000246922,ENSG00000262246"	0.883484947044495
"8"	"purple"	TRUE	0.00616	99	102	8	0.078	0.081	"KEGG:05231"	"keg"	6	"Choline metabolism in cancer"	1	"ENSG00000065357,ENSG00000100288,ENSG00000103197,ENSG00000105221,ENSG00000145214,ENSG00000149091,ENSG00000186111,ENSG00000243708"	NA
"9"	"purple"	TRUE	0.0358	97	102	7	0.069	0.072	"KEGG:00564"	"keg"	1	"Glycerophospholipid metabolism"	1	"ENSG00000065357,ENSG00000100288,ENSG00000130653,ENSG00000145214,ENSG00000149091,ENSG00000184381,ENSG00000243708"	NA
"10"	"purple"	TRUE	0.00988	57	163	7	0.043	0.123	"REAC:R-HSA-381070"	"rea"	5	"IRE1alpha activates chaperones"	1	"ENSG00000013573,ENSG00000044090,ENSG00000072778,ENSG00000101199,ENSG00000116809,ENSG00000154832,ENSG00000243708"	NA
